 373.47100 0.20110 0.12774 -0.15532
 376.80600 0.12559 0.09175 -0.08576
 380.14000 0.13107 0.09268 -0.09268
 383.47500 0.08376 0.04078 -0.07316
 386.80900 0.16560 0.10888 -0.12478
 390.14400 0.03219 0.01499 -0.02849
 393.47800 0.10472 0.06989 -0.07798
 396.81300 0.01656 -0.00960 0.01349
 400.14800 0.02162 -0.02039 0.00720
 403.48200 0.02622 -0.02130 0.01530
 406.81700 0.03554 -0.01859 -0.03028
 410.15100 0.07452 0.07439 -0.00450
 413.48600 0.00792 -0.00330 0.00720
 416.82000 0.01116 0.00960 -0.00570
 420.15500 0.03194 0.03118 -0.00690
 423.48900 0.04592 0.03839 -0.02519
 426.82400 0.03649 0.02489 -0.02669
 430.15900 0.08888 0.05337 -0.07106
 433.49300 0.09218 0.03929 -0.08338
 436.82800 0.09775 0.07856 -0.05817
 440.16200 0.02704 0.02070 -0.01740
 443.49700 0.06604 0.05097 -0.04198
 446.83100 0.03865 0.03509 -0.01620
 450.16600 0.02276 0.00720 -0.02159
 453.50100 0.01189 0.00660 -0.00990
 456.83500 0.01374 -0.00810 0.01110
 460.17000 0.04093 0.03808 -0.01499
 463.50400 0.02418 0.01710 0.01710
 466.83900 0.18909 -0.11244 0.15202
 470.17300 0.08497 0.08248 -0.02040
 473.50800 0.13759 0.12744 -0.05187
 476.84200 0.11368 0.10588 -0.04139
 480.17700 0.14851 0.14363 -0.03778
 483.51200 0.06050 0.05757 -0.01859
 486.84600 0.10405 0.06989 -0.07708
 490.18100 0.24900 0.21619 -0.12354
 493.51500 0.02280 0.01020 -0.02040
 496.85000 0.39801 0.14963 -0.36882
