xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
261.96	280.721	3.77652	268.609	276.25	3.75209	265.661	278.232	3.7367	3.78061e-05	40	37.4558	4.23068	2.11757	0.865722	5.62314	2.0932	0.928133	9.36522	1.93892	0.978334	0	0
5.09839	280.763	3.10523	11.9725	276.891	4.04973	8.94	278.6	3.6797	0.00345941	72	64.7696	4.69381	4.07643	0.495744	5.51169	4.13233	0.661734	9.23939	4.24021	0.888474	0	1
76.9192	280.787	5.77469	72.169	272.035	5.28686	75.0319	277.33	5.25364	0.0161763	57.5	81.3553	6.03898	4.68829	0.630318	6.89683	3.04915	0.896961	11.5197	4.31303	0.927265	0	2
115.244	257.885	3.08592	126.986	257.759	3.19389	121.118	257.824	3.15194	0.000319948	27	50.1421	5.48149	1.78619	0.945418	6.91832	1.58929	0.973256	13.2592	1.40515	0.994369	0	3
88.2533	257.276	6.11694	75.9347	251.944	5.72235	83.4348	255.203	5.85369	0.00538876	89.5	114.468	7.04641	6.60317	0.34907	10.0254	3.69397	0.929643	15.4756	5.66616	0.930562	0	4
20.3394	229.3	2.21096	26.4935	236.885	2.26564	23.6833	233.417	2.2526	0.000240409	41	44.2843	4.863	2.05346	0.906474	6.36582	1.90941	0.953956	11.2352	1.79134	0.987208	0	5
240.272	230.59	2.04211	245.984	238.346	2.08462	243.246	234.619	2.17339	0.000446873	100.5	60.1838	5.49423	3.99694	0.686131	7.18809	3.69172	0.858037	11.5314	3.80642	0.943949	0	6
142.65	248.179	3.91798	143.922	231.905	5.00776	143.209	240.945	4.59415	0.00291392	72.5	87.4975	10.3919	3.12886	0.953597	10.1439	1.79325	0.98425	18.4394	5.93775	0.946735	0	7
59.0825	220.69	0.574308	49.6811	226.318	0.540699	54.7576	223.273	0.545864	0.000112259	45	49.1127	6.32516	1.98236	0.949618	5.80216	1.90054	0.944831	12.616	1.75844	0.990239	0	8
287.923	228.432	4.34476	283.876	213.162	5.34322	286.194	221.906	4.96672	0.00264915	115.5	124.811	10.7638	6.29674	0.81104	12.0496	3.43799	0.958432	18.6933	7.04255	0.926318	0	9
174.358	204.736	1.90918	175.012	211.308	1.55256	174.737	208.553	1.66101	0.00337996	21.5	34.7279	3.43891	1.81355	0.849641	4.69987	1.7671	0.926624	7.7309	1.68518	0.975953	0	10
