Track ID,T (sec),x (micron),y (micron),Frame,principal angle
2,0.0,25.49320461,70.09481269,0,0.0
2,3.348253133,25.51160462,69.94186266,1,-1.4510708876131948
2,6.696506266,24.852942,69.66845011,2,-2.554108338536443
2,10.0447594,24.83332708,69.57872227,3,-2.4778618518382847
2,13.39301253,24.84396351,69.66229949,4,-2.5539251669439214
2,16.74126566,24.86997991,69.37951256,5,-2.2875139482943125
2,20.0895188,24.83947373,69.34978948,6,-2.2910200374846985
2,23.43777193,24.99327502,69.40552896,7,-2.19829362201563
2,26.78602506,24.95644202,69.27816879,8,-2.1522713342602495
2,30.1342782,24.9067787,69.20589962,9,-2.153968138320723
2,33.48253133,24.87154736,69.22376967,10,-2.190653187118847
2,36.83078446,25.06502692,69.22297522,11,-2.0273155387997925
2,40.17903759,25.02027918,69.21818858,12,-2.065530661073128
2,43.52729073,24.88436165,69.15674109,13,-2.146494109512727
2,46.87554386,24.96806384,69.18654642,14,-2.0950166636817134
2,50.22379699,25.08150454,69.37951256,15,-2.0930533834240928
2,53.57205013,24.78140925,69.07284584,16,-2.1791664348682582
2,56.92030326,25.08150454,69.37951256,17,-2.0930533834240928
2,60.26855639,24.86865704,69.13742777,18,-2.1488199759357394
2,63.61680952,24.69650447,69.23151253,19,-2.316095509394057
2,66.96506266,24.63247369,69.34978948,20,-2.428128333178498
2,70.31331579,24.65391355,69.37323983,21,-2.4314706014984537
2,73.66156892,24.71320577,69.37772035,22,-2.398188937323978
2,77.00982206,24.63247369,69.34978948,23,-2.428128333178498
2,80.35807519,24.72222861,69.3783229,24,-2.3928083475200834
2,83.70632832,24.62474389,69.37368157,25,-2.448614373414059
2,87.05458145,24.77100448,69.4178459,26,-2.3885120004907194
2,90.40283459,24.73650448,69.5865126,27,-2.5500911115703087
2,93.75108772,24.69050447,69.5350364,28,-2.5326362402613674
2,97.09934085,24.58101149,69.47863934,29,-2.5475094347336493
2,100.447594,24.59850445,69.5865126,30,-2.6249416832481867
2,103.7958471,24.59850445,69.5865126,31,-2.6249416832481867
2,107.1441003,24.47304988,69.40639568,32,-2.5479692181411133
2,110.4923534,24.52662944,69.49163758,33,-2.5836887827131587
2,113.8406065,24.40550442,69.37251256,34,-2.555395598242991
2,117.1888596,24.45834818,69.4711532,35,-2.5992245891190184
2,120.5371128,24.51077587,69.39922685,36,-2.5254998901070134
2,123.8853659,24.45035737,69.45054198,37,-2.588187846788632
2,127.233619,24.40693863,69.37315729,38,-2.555199062910553
2,130.5818722,24.41417585,69.37458399,39,-2.5530280927622715
2,133.9301253,24.43661981,69.35562794,40,-2.531136451703324
2,137.2783784,24.42600442,69.44851257,41,-2.5970631509470277
2,140.6266316,24.3225044,69.44851257,42,-2.637167043611019
2,143.9748847,24.43894192,69.46145007,43,-2.6006118920812216
2,147.3231378,24.42830442,69.38871256,44,-2.5560862978534797
2,150.671391,24.39150441,69.44851257,45,-2.611055473405818
2,154.0196441,24.46050443,69.33286466,46,-2.5059316841065424
2,157.3678972,24.39150441,69.44851257,47,-2.611055473405818
2,160.7161504,24.45490983,69.39629634,48,-2.5493879828853627
2,164.0644035,24.43942109,69.41017923,49,-2.565434826262123
2,167.4126566,24.46050443,69.44233346,50,-2.578105061338609
2,170.7609098,24.5008429,69.55891259,51,-2.646440059797058
2,174.1091629,24.60029666,69.51213596,52,-2.563419325069943
2,177.457416,24.45187943,69.33830422,53,-2.5133109300354173
2,180.8056692,24.42600442,69.34501255,54,-2.529133083849185
2,184.1539223,24.45024767,69.34687742,55,-2.519462600537806
2,187.5021754,24.4771596,69.46596085,56,-2.5873765266022795
2,190.8504286,24.38944471,69.34758718,57,-2.5464826699480443
2,194.1986817,24.68779859,69.53374788,58,-2.5331363517490426
2,197.5469348,24.50732586,69.37951256,59,-2.513926836538309
2,200.895188,24.47449092,69.39349905,60,-2.5386736871219124
2,204.2434411,24.46050443,69.37951256,61,-2.535816397807239
2,207.5916942,24.50229317,69.40186467,62,-2.5313341686121524
2,210.9399474,24.47562772,69.40125229,63,-2.5433361429751775
2,214.2882005,24.45564527,69.40672383,64,-2.5560076102149116
2,217.6364536,24.59850445,69.44851257,65,-2.5160137574520722
2,220.9847068,24.59850445,69.44851257,66,-2.5160137574520722
2,224.3329599,24.57550445,69.41351256,67,-2.502973644173011
2,227.681213,24.6885878,69.57309593,68,-2.566340218030355
2,231.0294662,24.52720444,69.54281259,69,-2.6224465371136163
2,234.3777193,24.41811871,69.436684,70,-2.5922771443630084
2,237.7259724,24.37770441,69.44851257,71,-2.616471834489817
2,241.0742256,24.45838135,69.42834334,72,-2.5694174423496374
2,244.4224787,24.41929609,69.37280422,73,-2.549687503435154
2,247.7707318,24.54368252,69.52318382,74,-2.5996910523761954
2,251.118985,24.48704289,69.52282028,75,-2.624664924347892
2,254.4672381,24.47128568,69.50673133,76,-2.6194069383806737
2,257.8154912,24.37770441,69.44851257,77,-2.616471834489817
2,261.1637444,24.56144889,69.50345702,78,-2.576071157238232
2,264.5119975,24.43894192,69.46145007,79,-2.6006118920812216
2,267.8602506,24.53509904,69.48767474,80,-2.5767716964995677
2,271.2085038,24.54675444,69.50752574,81,-2.5862246872311374
2,274.5567569,24.64450446,69.66241261,82,-2.6703857899818533
2,277.90501,24.61000445,69.59162371,83,-2.6237250718033156
2,281.2532632,24.57341354,69.53256713,84,-2.5929237173848665
2,284.6015163,24.50210738,69.45054198,85,-2.565176641741412
2,287.9497694,24.47562772,69.40125229,86,-2.5433361429751775
2,291.2980226,24.34178382,69.38560079,87,-2.5895312999588325
2,294.6462757,24.56559675,69.42409718,88,-2.515557689487684
2,297.9945288,24.57833522,69.59606644,89,-2.6424762919395692
2,301.342782,24.50056895,69.52641581,90,-2.6215535134656163
2,304.6910351,24.51529855,69.56723318,91,-2.6468472288647136
2,308.0392882,24.5597676,69.57924944,92,-2.636963988340679
2,311.3875414,24.61252008,69.54015321,93,-2.579545549642411
2,314.7357945,24.45716572,69.38507707,94,-2.5409727249868665
2,318.0840476,24.26594702,69.47113553,95,-2.67141639327358
2,321.4323008,24.42495897,69.39833074,96,-2.563822074707109
2,324.7805539,24.51547054,69.61107192,97,-2.6821482391498486
2,328.128807,24.45571276,69.54530425,98,-2.654506695407442
2,331.4770602,24.47128568,69.50673133,99,-2.6194069383806737
2,334.8253133,24.4480618,69.47452897,100,-2.6059723145330747
2,338.1735664,24.50287286,69.58409154,101,-2.6654584407587856
2,341.5218195,24.56950445,69.53951259,102,-2.600313879923857
2,344.8700727,24.61676916,69.60071848,103,-2.628250920362526
2,348.2183258,24.73650448,69.79351263,104,-2.7626594173307426
2,351.5665789,24.58470445,69.65551261,105,-2.6911960505015498
2,354.9148321,24.44421276,69.53380425,106,-2.6504885215902507
2,358.2630852,24.46889632,69.56879638,107,-2.667177195477099
2,361.6113383,24.42600442,69.55201259,108,-2.6710722980649395
2,364.9595915,24.4735233,69.48105975,109,-2.599772399374463
2,368.3078446,24.2220485,69.37443903,110,-2.626012762883115
2,371.6560977,23.81794181,69.25445004,111,-2.6766416223594454
2,375.0043509,23.70150429,69.31051255,112,-2.7289802054323475
2,378.352604,23.70278207,69.24790142,113,-2.699758502749563
2,381.7008571,23.70150429,69.31051255,114,-2.7289802054323475
2,385.0491103,23.48047035,69.19707185,115,-2.722044677546971
2,388.3973634,23.35650423,69.17251252,116,-2.734105490552125
2,391.7456165,23.16905419,69.15641252,117,-2.7578486630283057
2,395.0938697,23.03614703,69.09858394,118,-2.75639169090358
2,398.4421228,23.36723756,69.17404585,119,-2.7328771235944407
2,401.7903759,23.08602418,69.03175249,120,-2.725728941590545
2,405.1386291,22.76339774,69.35015085,121,-2.87528296269301
2,408.4868822,22.90433393,69.30023595,122,-2.8437991941129925
2,411.8351353,22.39050405,69.10351251,123,-2.8323470298729156
2,415.1833885,22.35660931,69.18219673,124,-2.85845222719797
2,418.5316416,22.23895045,69.12938751,125,-2.853197765508674
2,421.8798947,21.82667538,68.87088389,126,-2.8194120126726196
2,425.2281479,23.35650423,69.17251252,127,-2.734105490552125
2,428.576401,23.7705043,69.24151253,128,-2.6816903424229905
2,431.9246541,24.18450438,69.24151253,129,-2.563797938353572
