#Track ID	Time (sec)	X (micron)	Y (micron)
2		0	25.49320461	70.09481269
2	3.348253133	25.51160462	69.94186266
2	6.696506266	24.852942	69.66845011
2	10.0447594	24.83332708	69.57872227
2	13.39301253	24.84396351	69.66229949
2	16.74126566	24.86997991	69.37951256
2	20.0895188	24.83947373	69.34978948
2	23.43777193	24.99327502	69.40552896
2	26.78602506	24.95644202	69.27816879
2	30.1342782	24.9067787	69.20589962
2	33.48253133	24.87154736	69.22376967
2	36.83078446	25.06502692	69.22297522
2	40.17903759	25.02027918	69.21818858
2	43.52729073	24.88436165	69.15674109
2	46.87554386	24.96806384	69.18654642
2	50.22379699	25.08150454	69.37951256
2	53.57205013	24.78140925	69.07284584
2	56.92030326	25.08150454	69.37951256
2	60.26855639	24.86865704	69.13742777
2	63.61680952	24.69650447	69.23151253
2	66.96506266	24.63247369	69.34978948
2	70.31331579	24.65391355	69.37323983
2	73.66156892	24.71320577	69.37772035
2	77.00982206	24.63247369	69.34978948
2	80.35807519	24.72222861	69.3783229
2	83.70632832	24.62474389	69.37368157
2	87.05458145	24.77100448	69.4178459
2	90.40283459	24.73650448	69.5865126
2	93.75108772	24.69050447	69.5350364
2	97.09934085	24.58101149	69.47863934
2	100.447594	24.59850445	69.5865126
2	103.7958471	24.59850445	69.5865126
2	107.1441003	24.47304988	69.40639568
2	110.4923534	24.52662944	69.49163758
2	113.8406065	24.40550442	69.37251256
2	117.1888596	24.45834818	69.4711532
2	120.5371128	24.51077587	69.39922685
2	123.8853659	24.45035737	69.45054198
2	127.233619	24.40693863	69.37315729
2	130.5818722	24.41417585	69.37458399
2	133.9301253	24.43661981	69.35562794
2	137.2783784	24.42600442	69.44851257
2	140.6266316	24.3225044	69.44851257
2	143.9748847	24.43894192	69.46145007
2	147.3231378	24.42830442	69.38871256
2	150.671391	24.39150441	69.44851257
2	154.0196441	24.46050443	69.33286466
2	157.3678972	24.39150441	69.44851257
2	160.7161504	24.45490983	69.39629634
2	164.0644035	24.43942109	69.41017923
2	167.4126566	24.46050443	69.44233346
2	170.7609098	24.5008429	69.55891259
2	174.1091629	24.60029666	69.51213596
2	177.457416	24.45187943	69.33830422
2	180.8056692	24.42600442	69.34501255
2	184.1539223	24.45024767	69.34687742
2	187.5021754	24.4771596	69.46596085
2	190.8504286	24.38944471	69.34758718
2	194.1986817	24.68779859	69.53374788
2	197.5469348	24.50732586	69.37951256
2	200.895188	24.47449092	69.39349905
2	204.2434411	24.46050443	69.37951256
2	207.5916942	24.50229317	69.40186467
2	210.9399474	24.47562772	69.40125229
2	214.2882005	24.45564527	69.40672383
2	217.6364536	24.59850445	69.44851257
2	220.9847068	24.59850445	69.44851257
2	224.3329599	24.57550445	69.41351256
2	227.681213	24.6885878	69.57309593
2	231.0294662	24.52720444	69.54281259
2	234.3777193	24.41811871	69.436684
2	237.7259724	24.37770441	69.44851257
2	241.0742256	24.45838135	69.42834334
2	244.4224787	24.41929609	69.37280422
2	247.7707318	24.54368252	69.52318382
2	251.118985	24.48704289	69.52282028
2	254.4672381	24.47128568	69.50673133
2	257.8154912	24.37770441	69.44851257
2	261.1637444	24.56144889	69.50345702
2	264.5119975	24.43894192	69.46145007
2	267.8602506	24.53509904	69.48767474
2	271.2085038	24.54675444	69.50752574
2	274.5567569	24.64450446	69.66241261
2	277.90501	24.61000445	69.59162371
2	281.2532632	24.57341354	69.53256713
2	284.6015163	24.50210738	69.45054198
2	287.9497694	24.47562772	69.40125229
2	291.2980226	24.34178382	69.38560079
2	294.6462757	24.56559675	69.42409718
2	297.9945288	24.57833522	69.59606644
2	301.342782	24.50056895	69.52641581
2	304.6910351	24.51529855	69.56723318
2	308.0392882	24.5597676	69.57924944
2	311.3875414	24.61252008	69.54015321
2	314.7357945	24.45716572	69.38507707
2	318.0840476	24.26594702	69.47113553
2	321.4323008	24.42495897	69.39833074
2	324.7805539	24.51547054	69.61107192
2	328.128807	24.45571276	69.54530425
2	331.4770602	24.47128568	69.50673133
2	334.8253133	24.4480618	69.47452897
2	338.1735664	24.50287286	69.58409154
2	341.5218195	24.56950445	69.53951259
2	344.8700727	24.61676916	69.60071848
2	348.2183258	24.73650448	69.79351263
2	351.5665789	24.58470445	69.65551261
2	354.9148321	24.44421276	69.53380425
2	358.2630852	24.46889632	69.56879638
2	361.6113383	24.42600442	69.55201259
2	364.9595915	24.4735233	69.48105975
2	368.3078446	24.2220485	69.37443903
2	371.6560977	23.81794181	69.25445004
2	375.0043509	23.70150429	69.31051255
2	378.352604	23.70278207	69.24790142
2	381.7008571	23.70150429	69.31051255
2	385.0491103	23.48047035	69.19707185
2	388.3973634	23.35650423	69.17251252
2	391.7456165	23.16905419	69.15641252
2	395.0938697	23.03614703	69.09858394
2	398.4421228	23.36723756	69.17404585
2	401.7903759	23.08602418	69.03175249
2	405.1386291	22.76339774	69.35015085
2	408.4868822	22.90433393	69.30023595
2	411.8351353	22.39050405	69.10351251
2	415.1833885	22.35660931	69.18219673
2	418.5316416	22.23895045	69.12938751
2	421.8798947	21.82667538	68.87088389
2	425.2281479	23.35650423	69.17251252
2	428.576401	23.7705043	69.24151253
2	431.9246541	24.18450438	69.24151253
2	435.2729073	24.37507584	69.03779821
2	438.6211604	24.47123776	69.05597917
2	441.9694135	24.0839615	69.01874106
2	445.3176667	23.56147485	69.00610073
2	448.6659198	23.2236792	69.10868751
2	452.0141729	23.06005973	68.90673469
2	455.3624261	22.77000412	69.11501251
2	458.7106792	22.37714921	68.98777055
2	462.0589323	22.30770404	69.25071253
2	465.4071855	22.60156291	69.21715959
2	468.7554386	22.62050409	69.10095695
2	472.1036917	23.44193281	69.03779821
2	475.4519449	24.21125948	69.06971658
2	478.800198	24.56033423	69.09323591
2	482.1484511	24.71925447	69.15212615
2	485.4967043	24.62711421	69.05134177
2	488.8449574	24.25350439	68.98391249
2	492.1932105	24.27219189	68.96119998
2	495.5414637	24.73788448	69.11731251
2	498.8897168	25.08150454	69.37951256
2	502.2379699	24.55129392	69.31898623
2	505.5862231	24.5476028	69.24603712
2	508.9344762	24.57769492	69.3806078
2	512.2827293	24.76835064	69.35032024
2	515.6309825	24.79017115	69.37823478
2	518.9792356	24.82467116	69.35267922
2	522.3274887	24.68268447	69.33259255
2	525.6757419	24.34221869	69.37951256
2	529.023995	24.33571717	69.33400191
2	532.3722481	24.24600439	69.32701255
2	535.7205013	23.92575433	69.31980101
2	539.0687544	24.33808505	69.32609319
2	542.4170075	24.20457711	69.28291254
2	545.7652607	24.45566232	69.36619677
2	549.1135138	24.45566232	69.36619677
2	552.4617669	24.80187291	69.3129336
2	555.8100201	24.75340244	69.37810439
2	559.1582732	24.59850445	69.44851257
2	562.5065263	24.56962073	69.73574518
2	565.8547794	23.95518081	69.94774795
2	569.2030326	24.26146593	69.88905111
2	572.5512857	24.19858601	69.99769634
2	575.8995388	23.54510426	70.06491268
2	579.247792	23.39272923	70.05398768
