Spot ID,Track ID,T (sec),x (micron),y (micron),Frame
2932,2,0,25.49320461,70.09481269,0
3001,2,3.348253133,25.51160462,69.94186266,1
3066,2,6.696506266,24.852942,69.66845011,2
3135,2,10.0447594,24.83332708,69.57872227,3
3202,2,13.39301253,24.84396351,69.66229949,4
3267,2,16.74126566,24.86997991,69.37951256,5
3335,2,20.0895188,24.83947373,69.34978948,6
3405,2,23.43777193,24.99327502,69.40552896,7
3475,2,26.78602506,24.95644202,69.27816879,8
3547,2,30.1342782,24.9067787,69.20589962,9
3614,2,33.48253133,24.87154736,69.22376967,10
3683,2,36.83078446,25.06502692,69.22297522,11
3756,2,40.17903759,25.02027918,69.21818858,12
3829,2,43.52729073,24.88436165,69.15674109,13
3900,2,46.87554386,24.96806384,69.18654642,14
31334,2,50.22379699,25.08150454,69.37951256,15
4041,2,53.57205013,24.78140925,69.07284584,16
31338,2,56.92030326,25.08150454,69.37951256,17
4184,2,60.26855639,24.86865704,69.13742777,18
4253,2,63.61680952,24.69650447,69.23151253,19
4322,2,66.96506266,24.63247369,69.34978948,20
4390,2,70.31331579,24.65391355,69.37323983,21
4459,2,73.66156892,24.71320577,69.37772035,22
4525,2,77.00982206,24.63247369,69.34978948,23
4591,2,80.35807519,24.72222861,69.3783229,24
4659,2,83.70632832,24.62474389,69.37368157,25
4726,2,87.05458145,24.77100448,69.4178459,26
31343,2,90.40283459,24.73650448,69.5865126,27
4859,2,93.75108772,24.69050447,69.5350364,28
4922,2,97.09934085,24.58101149,69.47863934,29
31349,2,100.447594,24.59850445,69.5865126,30
31352,2,103.7958471,24.59850445,69.5865126,31
5125,2,107.1441003,24.47304988,69.40639568,32
5196,2,110.4923534,24.52662944,69.49163758,33
5266,2,113.8406065,24.40550442,69.37251256,34
5335,2,117.1888596,24.45834818,69.4711532,35
5408,2,120.5371128,24.51077587,69.39922685,36
5480,2,123.8853659,24.45035737,69.45054198,37
5550,2,127.233619,24.40693863,69.37315729,38
5618,2,130.5818722,24.41417585,69.37458399,39
5690,2,133.9301253,24.43661981,69.35562794,40
5767,2,137.2783784,24.42600442,69.44851257,41
31357,2,140.6266316,24.3225044,69.44851257,42
5913,2,143.9748847,24.43894192,69.46145007,43
5986,2,147.3231378,24.42830442,69.38871256,44
31362,2,150.671391,24.39150441,69.44851257,45
6131,2,154.0196441,24.46050443,69.33286466,46
31367,2,157.3678972,24.39150441,69.44851257,47
6283,2,160.7161504,24.45490983,69.39629634,48
6362,2,164.0644035,24.43942109,69.41017923,49
6439,2,167.4126566,24.46050443,69.44233346,50
6512,2,170.7609098,24.5008429,69.55891259,51
6587,2,174.1091629,24.60029666,69.51213596,52
6667,2,177.457416,24.45187943,69.33830422,53
6743,2,180.8056692,24.42600442,69.34501255,54
6815,2,184.1539223,24.45024767,69.34687742,55
6892,2,187.5021754,24.4771596,69.46596085,56
6971,2,190.8504286,24.38944471,69.34758718,57
7047,2,194.1986817,24.68779859,69.53374788,58
7128,2,197.5469348,24.50732586,69.37951256,59
7209,2,200.895188,24.47449092,69.39349905,60
31372,2,204.2434411,24.46050443,69.37951256,61
7370,2,207.5916942,24.50229317,69.40186467,62
7450,2,210.9399474,24.47562772,69.40125229,63
7530,2,214.2882005,24.45564527,69.40672383,64
31378,2,217.6364536,24.59850445,69.44851257,65
31381,2,220.9847068,24.59850445,69.44851257,66
7770,2,224.3329599,24.57550445,69.41351256,67
7854,2,227.681213,24.6885878,69.57309593,68
7938,2,231.0294662,24.52720444,69.54281259,69
8022,2,234.3777193,24.41811871,69.436684,70
8111,2,237.7259724,24.37770441,69.44851257,71
8199,2,241.0742256,24.45838135,69.42834334,72
8285,2,244.4224787,24.41929609,69.37280422,73
8373,2,247.7707318,24.54368252,69.52318382,74
8460,2,251.118985,24.48704289,69.52282028,75
8542,2,254.4672381,24.47128568,69.50673133,76
8626,2,257.8154912,24.37770441,69.44851257,77
8713,2,261.1637444,24.56144889,69.50345702,78
8794,2,264.5119975,24.43894192,69.46145007,79
8878,2,267.8602506,24.53509904,69.48767474,80
8967,2,271.2085038,24.54675444,69.50752574,81
9057,2,274.5567569,24.64450446,69.66241261,82
9145,2,277.90501,24.61000445,69.59162371,83
9231,2,281.2532632,24.57341354,69.53256713,84
9315,2,284.6015163,24.50210738,69.45054198,85
9397,2,287.9497694,24.47562772,69.40125229,86
9480,2,291.2980226,24.34178382,69.38560079,87
9566,2,294.6462757,24.56559675,69.42409718,88
9651,2,297.9945288,24.57833522,69.59606644,89
9739,2,301.342782,24.50056895,69.52641581,90
9826,2,304.6910351,24.51529855,69.56723318,91
9916,2,308.0392882,24.5597676,69.57924944,92
10003,2,311.3875414,24.61252008,69.54015321,93
10089,2,314.7357945,24.45716572,69.38507707,94
10179,2,318.0840476,24.26594702,69.47113553,95
10271,2,321.4323008,24.42495897,69.39833074,96
10362,2,324.7805539,24.51547054,69.61107192,97
10450,2,328.128807,24.45571276,69.54530425,98
10535,2,331.4770602,24.47128568,69.50673133,99
10622,2,334.8253133,24.4480618,69.47452897,100
10710,2,338.1735664,24.50287286,69.58409154,101
10796,2,341.5218195,24.56950445,69.53951259,102
10883,2,344.8700727,24.61676916,69.60071848,103
31387,2,348.2183258,24.73650448,69.79351263,104
11061,2,351.5665789,24.58470445,69.65551261,105
11157,2,354.9148321,24.44421276,69.53380425,106
11252,2,358.2630852,24.46889632,69.56879638,107
11346,2,361.6113383,24.42600442,69.55201259,108
11442,2,364.9595915,24.4735233,69.48105975,109
11539,2,368.3078446,24.2220485,69.37443903,110
11634,2,371.6560977,23.81794181,69.25445004,111
31392,2,375.0043509,23.70150429,69.31051255,112
11826,2,378.352604,23.70278207,69.24790142,113
31396,2,381.7008571,23.70150429,69.31051255,114
12022,2,385.0491103,23.48047035,69.19707185,115
31400,2,388.3973634,23.35650423,69.17251252,116
12229,2,391.7456165,23.16905419,69.15641252,117
12331,2,395.0938697,23.03614703,69.09858394,118
12432,2,398.4421228,23.36723756,69.17404585,119
12530,2,401.7903759,23.08602418,69.03175249,120
12633,2,405.1386291,22.76339774,69.35015085,121
12740,2,408.4868822,22.90433393,69.30023595,122
42211,2,411.8351353,22.39050405,69.10351251,123
12949,2,415.1833885,22.35660931,69.18219673,124
13053,2,418.5316416,22.23895045,69.12938751,125
13159,2,421.8798947,21.82667538,68.87088389,126
31405,2,425.2281479,23.35650423,69.17251252,127
31408,2,428.576401,23.7705043,69.24151253,128
31414,2,431.9246541,24.18450438,69.24151253,129
13596,2,435.2729073,24.37507584,69.03779821,130
13707,2,438.6211604,24.47123776,69.05597917,131
13813,2,441.9694135,24.0839615,69.01874106,132
13921,2,445.3176667,23.56147485,69.00610073,133
14031,2,448.6659198,23.2236792,69.10868751,134
14140,2,452.0141729,23.06005973,68.90673469,135
14252,2,455.3624261,22.77000412,69.11501251,136
14363,2,458.7106792,22.37714921,68.98777055,137
14469,2,462.0589323,22.30770404,69.25071253,138
14580,2,465.4071855,22.60156291,69.21715959,139
14693,2,468.7554386,22.62050409,69.10095695,140
14802,2,472.1036917,23.44193281,69.03779821,141
14907,2,475.4519449,24.21125948,69.06971658,142
15013,2,478.800198,24.56033423,69.09323591,143
15120,2,482.1484511,24.71925447,69.15212615,144
15230,2,485.4967043,24.62711421,69.05134177,145
15341,2,488.8449574,24.25350439,68.98391249,146
15454,2,492.1932105,24.27219189,68.96119998,147
15565,2,495.5414637,24.73788448,69.11731251,148
31420,2,498.8897168,25.08150454,69.37951256,149
15784,2,502.2379699,24.55129392,69.31898623,150
15895,2,505.5862231,24.5476028,69.24603712,151
16006,2,508.9344762,24.57769492,69.3806078,152
16124,2,512.2827293,24.76835064,69.35032024,153
16236,2,515.6309825,24.79017115,69.37823478,154
16344,2,518.9792356,24.82467116,69.35267922,155
16455,2,522.3274887,24.68268447,69.33259255,156
16567,2,525.6757419,24.34221869,69.37951256,157
16677,2,529.023995,24.33571717,69.33400191,158
16787,2,532.3722481,24.24600439,69.32701255,159
16900,2,535.7205013,23.92575433,69.31980101,160
17010,2,539.0687544,24.33808505,69.32609319,161
17121,2,542.4170075,24.20457711,69.28291254,162
17229,2,545.7652607,24.45566232,69.36619677,163
17334,2,549.1135138,24.45566232,69.36619677,164
17443,2,552.4617669,24.80187291,69.3129336,165
17552,2,555.8100201,24.75340244,69.37810439,166
31425,2,559.1582732,24.59850445,69.44851257,167
17773,2,562.5065263,24.56962073,69.73574518,168
17888,2,565.8547794,23.95518081,69.94774795,169
17992,2,569.2030326,24.26146593,69.88905111,170
18099,2,572.5512857,24.19858601,69.99769634,171
18204,2,575.8995388,23.54510426,70.06491268,172
18312,2,579.247792,23.39272923,70.05398768,173
18420,2,582.5960451,22.87350414,70.1730127,174
18528,2,585.9442982,22.52850408,70.36276274,175
18636,2,589.2925514,22.37988867,70.36674351,176
18747,2,592.6408045,22.36586119,70.48844133,177
31431,2,595.9890576,22.04550399,70.82851282,178
18970,2,599.3373108,21.63917058,71.38204625,179
19085,2,602.6855639,21.55593247,71.42651293,180
19206,2,606.033817,21.59941089,71.3612571,181
19317,2,609.3820702,21.52580177,71.46125762,182
19429,2,612.7303233,21.28412454,71.47092673,183
19545,2,616.0785764,21.21359818,71.48075822,184
19661,2,619.4268296,21.19680384,71.42363793,185
19779,2,622.7750827,21.05166171,71.78603931,186
19893,2,626.1233358,20.98494824,72.06795749,187
20012,2,629.471589,20.53133705,72.10884639,188
20129,2,632.8198421,20.68350374,72.01951304,189
20246,2,636.1680952,20.9846288,71.820388,190
20365,2,639.5163484,21.03158714,71.77342966,191
20490,2,642.8646015,21.20542884,71.38913792,192
20620,2,646.2128546,21.32320599,71.46566187,193
20736,2,649.5611078,21.20055647,71.48824978,194
31442,2,652.9093609,21.14850383,71.58751296,195
20973,2,656.257614,21.04657199,71.65494479,196
21094,2,659.6058672,21.06900381,71.50501294,197
21214,2,662.9541203,21.01332013,71.3579823,198
21335,2,666.3023734,20.89950378,71.53351295,199
2938,7,0,26.84045724,72.37060834,0
3005,7,3.348253133,26.8317164,72.34253232,1
3074,7,6.696506266,26.5950532,71.75444847,2
3140,7,10.0447594,26.61850482,71.69851298,3
3207,7,13.39301253,26.62611911,71.66932726,4
3271,7,16.74126566,27.04743932,71.2142342,5
3337,7,20.0895188,27.08976806,71.13840761,6
3409,7,23.43777193,27.08918232,71.18241611,7
3479,7,26.78602506,27.00734417,71.01703071,8
3548,7,30.1342782,27.17179904,70.97868932,9
3615,7,33.48253133,27.1678778,70.77003823,10
3687,7,36.83078446,27.14565746,70.81213994,11
3758,7,40.17903759,27.26315948,70.76327644,12
3830,7,43.52729073,27.13558183,70.59497432,13
3901,7,46.87554386,27.09099721,70.76906666,14
31104,7,50.22379699,27.01350489,70.55251277,15
4042,7,53.57205013,27.08952185,70.73963145,16
31112,7,56.92030326,26.94450488,70.82851282,17
4185,7,60.26855639,27.09177356,70.78628893,18
4255,7,63.61680952,26.89706737,71.19938789,19
4323,7,66.96506266,26.86421395,71.18605834,20
4391,7,70.31331579,26.77756936,71.18241611,21
4460,7,73.66156892,26.84650486,71.19551289,22
