,particle,x,y,time step
174,75,5.03736,5.28797,2
175,76,4.84984,4.73323,2
176,77,5.27451,4.84159,2
177,78,4.98793,4.7822,2
178,79,4.88442,4.94038,2
179,80,5.06498,5.30421,2
180,81,4.87054,5.14177,2
181,82,4.95685,5.3962,2
182,83,5.03216,4.99246,2
183,84,5.17676,5.33481,2
184,85,5.32194,5.10143,2
185,86,4.93145,5.2277,2
186,87,5.02813,4.98654,2
187,88,4.79887,5.18172,2
188,89,4.62817,4.85566,2
189,90,5.06562,5.11125,2
190,91,5.08744,4.98649,2
191,92,4.62416,4.92483,2
192,93,4.78265,5.2727,2
193,94,4.95348,5.01671,2
194,95,5.25747,4.75321,2
195,96,4.91229,4.67101,2
196,97,4.93412,5.08184,2
197,98,4.74884,4.78856,2
198,99,5.35066,5.19214,2
199,100,5.11637,5.25256,2
200,1,4.84055,5.40173,3
201,2,5.06261,5.05435,3
202,3,4.78166,5.03448,3
203,4,5.04909,5.18231,3
204,5,5.15573,4.96984,3
205,6,4.74473,4.95352,3
206,7,4.8079,5.25557,3
207,8,5.52484,5.0976,3
208,9,5.59781,5.03797,3
209,10,5.04591,5.09369,3
210,11,4.9364,4.80993,3
211,12,5.09333,4.82361,3
212,13,5.35257,5.04673,3
213,14,4.6792,4.96038,3
214,15,5.48748,4.80839,3
215,16,4.82157,5.09704,3
216,17,5.27805,5.50636,3
217,18,4.90069,5.25157,3
218,19,5.53001,5.04447,3
219,20,5.40301,5.01687,3
220,21,5.44609,4.66692,3
221,22,4.79706,4.97352,3
222,23,4.90407,4.81518,3
223,24,5.18232,5.08376,3
224,25,5.32916,4.86783,3
225,26,5.51183,4.71503,3
226,27,4.81333,4.92822,3
227,28,4.83513,5.09492,3
228,29,4.91152,4.63211,3
229,30,4.6453,5.38234,3
230,31,4.81451,4.80475,3
231,32,5.09574,5.49665,3
232,33,5.28573,5.11719,3
233,34,4.92303,4.699,3
234,35,5.25804,4.86293,3
235,36,4.81322,4.90463,3
236,37,5.2825,4.56813,3
237,38,4.97537,5.32563,3
238,39,5.20545,5.12774,3
239,40,5.21842,5.01687,3
240,41,4.85719,4.6949,3
241,42,5.00397,5.01619,3
242,43,5.12608,5.14922,3
243,44,5.49962,5.23893,3
244,45,5.03599,4.88783,3
245,46,4.66193,5.29994,3
246,47,5.08341,5.45025,3
247,48,4.59524,5.09662,3
248,49,5.12167,4.78069,3
249,50,4.98877,4.80774,3
250,51,5.28476,4.73801,3
251,52,4.77258,5.0721,3
252,53,5.20576,5.05401,3
253,54,5.16826,4.91007,3
254,55,4.96133,4.5456,3
255,56,4.61707,4.68249,3
256,57,5.47206,5.34981,3
257,58,4.73667,4.51682,3
258,59,5.19899,4.96687,3
259,60,5.15345,4.93295,3
260,61,5.19202,5.06122,3
261,62,4.85941,4.89417,3
262,63,5.0818,4.57046,3
263,64,4.58765,5.28114,3
264,65,5.20169,5.33637,3
265,66,5.12772,5.46762,3
266,67,4.86664,4.4919,3
267,68,4.92433,5.01321,3
268,69,5.04241,4.83425,3
269,70,4.52373,4.89991,3
270,71,5.08143,4.96904,3
271,72,4.9498,4.72777,3
272,73,5.06629,4.87561,3
273,74,5.264,5.45667,3
274,75,5.20747,5.39315,3
275,76,4.95491,4.90341,3
276,77,5.36387,5.02051,3
277,78,5.1444,4.65763,3
278,79,5.04696,4.82384,3
279,80,5.07873,5.10468,3
280,81,4.71069,5.26198,3
281,82,5.09527,5.25184,3
282,83,5.06625,4.79539,3
283,84,5.30102,5.49153,3
284,85,5.22412,4.92698,3
285,86,4.8413,5.40623,3
286,87,4.85152,5.08039,3
287,88,4.68025,5.34275,3
288,89,4.81571,4.92514,3
289,90,5.12258,4.91953,3
290,91,5.11425,4.78829,3
291,92,4.50137,4.76697,3
292,93,4.58468,5.30111,3
293,94,4.79855,5.14319,3
294,95,5.06411,4.70211,3
295,96,4.99354,4.48826,3
296,97,4.78405,5.21404,3
297,98,4.78391,4.59166,3
298,99,5.40697,5.38405,3
299,100,4.93785,5.16238,3
300,1,5.03999,5.41673,4
301,2,5.16534,4.88275,4
302,3,4.84516,5.22413,4
303,4,5.19548,5.31858,4
304,5,5.3265,5.07394,4
305,6,4.94024,4.91135,4
306,7,4.71753,5.43399,4
307,8,5.65508,4.94582,4
308,9,5.4888,4.8703,4
309,10,5.06089,4.89425,4
310,11,4.79088,4.94712,4
311,12,5.04017,5.01641,4
312,13,5.17108,5.13074,4
313,14,4.49885,4.87393,4
314,15,5.68725,4.81797,4
315,16,4.99552,5.19574,4
316,17,5.08803,5.56874,4
317,18,4.7151,5.17705,4
318,19,5.36523,5.15782,4
319,20,5.5225,5.17726,4
320,21,5.26824,4.57543,4
321,22,4.93558,5.11779,4
322,23,5.06354,4.69448,4
323,24,5.32628,5.22259,4
324,25,5.47353,4.72943,4
325,26,5.40075,4.54871,4
326,27,5.00857,4.97161,4
327,28,4.65144,5.17404,4
328,29,4.71954,4.68818,4
329,30,4.69638,5.18897,4
330,31,4.96008,4.6676,4
331,32,4.90557,5.43472,4
332,33,5.30033,4.91773,4
333,34,4.83475,4.51954,4
334,35,5.35797,5.03618,4
335,36,4.9945,4.82013,4
336,37,5.09105,4.51029,4
337,38,4.7925,5.24465,4
338,39,5.34026,4.98001,4
339,40,5.38946,4.91321,4
340,41,4.76267,4.51864,4
341,42,4.88158,5.17438,4
342,43,4.96917,5.02519,4
343,44,5.44989,5.43265,4
344,45,5.10444,5.07575,4
345,46,4.8199,5.4226,4
346,47,5.15288,5.2627,4
347,48,4.58634,5.29642,4
348,49,5.11274,4.58089,4
349,50,5.16567,4.71442,4
350,51,5.48012,4.69515,4
351,52,4.77505,5.27208,4
352,53,5.17786,4.85597,4
353,54,5.35762,4.97442,4
354,55,5.15692,4.58733,4
355,56,4.57554,4.87813,4
356,57,5.67134,5.36675,4
357,58,4.54518,4.4591,4
358,59,5.32682,4.81305,4
359,60,4.96474,4.8667,4
360,61,5.28934,5.23594,4
361,62,4.75837,4.72157,4
362,63,5.08281,4.77046,4
363,64,4.62165,5.08405,4
364,65,5.35359,5.20627,4
365,66,5.13995,5.268,4
366,67,4.97368,4.66084,4
367,68,4.78069,4.87403,4
368,69,5.06185,5.0333,4
369,70,4.41802,5.06969,4
370,71,5.03306,4.77497,4
371,72,5.01297,4.53801,4
372,73,4.94652,5.03578,4
373,74,5.33965,5.27153,4
374,75,5.01063,5.42854,4
375,76,5.1457,4.84344,4
376,77,5.16716,4.98442,4
377,78,4.992,4.52811,4
378,79,5.11574,4.63604,4
379,80,5.02816,5.29818,4
380,81,4.80873,5.4363,4
381,82,4.91134,5.33038,4
382,83,4.86792,4.7696,4
383,84,5.12173,5.58017,4
384,85,5.42154,4.89496,4
385,86,4.87266,5.2087,4
386,87,4.98484,4.93132,4
387,88,4.50379,5.24861,4
388,89,4.73525,4.74205,4
389,90,5.31772,4.96336,4
390,91,5.30594,4.84536,4
391,92,4.32638,4.67013,4
392,93,4.614,5.49895,4
393,94,4.93309,5.29117,4
394,95,5.18844,4.85877,4
395,96,5.17617,4.40674,4
396,97,4.7058,5.3981,4
397,98,4.67897,4.76191,4
398,99,5.31188,5.56,4
399,100,4.784,5.29018,4
400,1,5.06521,5.21833,5
401,2,5.19616,5.08036,5
402,3,4.85819,5.42371,5
403,4,5.22075,5.12019,5
404,5,5.40736,4.89101,5
405,6,5.12347,4.83118,5
406,7,4.78766,5.62129,5
407,8,5.71665,5.13611,5
408,9,5.6466,4.99318,5
409,10,5.14415,4.7124,5
410,11,4.99085,4.94356,5
411,12,5.21091,5.12057,5
412,13,5.30941,4.9863,5
413,14,4.38321,5.03711,5
414,15,5.80995,4.66003,5
415,16,4.85357,5.33664,5
416,17,4.8883,5.55845,5
417,18,4.8804,5.06447,5
418,19,5.5449,5.24567,5
419,20,5.64468,5.3356,5
420,21,5.25486,4.77499,5
421,22,5.09798,5.00106,5
422,23,4.99548,4.50641,5
423,24,5.36883,5.02717,5
424,25,5.31154,4.61213,5
425,26,5.40883,4.34887,5
426,27,4.90502,5.14272,5
427,28,4.7248,4.98798,5
428,29,4.74453,4.88661,5
429,30,4.54628,5.32115,5
430,31,4.76828,4.61091,5
431,32,4.84349,5.62484,5
432,33,5.20928,5.0958,5
433,34,4.63475,4.51967,5
434,35,5.53322,4.93981,5
435,36,5.04141,5.01455,5
436,37,5.26741,4.60461,5
437,38,4.59751,5.28916,5
438,39,5.51329,4.87971,5
439,40,5.53601,4.77711,5
440,41,4.77889,4.3193,5
441,42,4.87458,5.37425,5
442,43,5.08697,4.86357,5
443,44,5.35554,5.2563,5
444,45,5.25581,4.94504,5
445,46,4.62233,5.3915,5
446,47,5.06741,5.08188,5
447,48,4.65314,5.48493,5
448,49,4.94175,4.68464,5
449,50,5.0259,4.57136,5
450,51,5.63118,4.56408,5
451,52,4.90781,5.12249,5
452,53,5.18207,4.65601,5
453,54,5.4558,5.14866,5
454,55,5.08343,4.40133,5
455,56,4.77531,4.88783,5
456,57,5.63371,5.56318,5
457,58,4.42068,4.30257,5
458,59,5.46084,4.96151,5
459,60,5.16327,4.84254,5
460,61,5.47181,5.15405,5
461,62,4.93637,4.81276,5
462,63,5.09139,4.97028,5
463,64,4.78039,4.96239,5
464,65,5.54812,5.25273,5
465,66,4.99428,5.40503,5
466,67,4.92418,4.46707,5
467,68,4.96273,4.95688,5
468,69,5.14659,4.85215,5
469,70,4.6012,5.14997,5
470,71,4.84452,4.70824,5
471,72,5.1992,4.46508,5
472,73,4.88474,5.226,5
473,74,5.22364,5.43444,5
474,75,4.83823,5.52993,5
475,76,5.33223,4.9156,5
476,77,5.34463,5.07664,5
477,78,4.85201,4.67095,5
478,79,5.24784,4.48587,5
479,80,5.20908,5.21292,5
480,81,4.84251,5.23918,5
481,82,5.07255,5.21201,5
482,83,4.724,4.63072,5
483,84,5.21282,5.75822,5
484,85,5.2391,4.813,5
485,86,4.76326,5.37613,5
486,87,4.78503,4.92269,5
487,88,4.69268,5.31436,5
488,89,4.53596,4.75897,5
489,90,5.24911,5.15122,5
490,91,5.23538,5.0325,5
491,92,4.52571,4.65382,5
492,93,4.69737,5.31715,5
493,94,4.74426,5.22528,5
494,95,5.34174,4.73032,5
495,96,5.14319,4.604,5
496,97,4.81055,5.56847,5
497,98,4.48572,4.81343,5
498,99,5.19743,5.72402,5
499,100,4.93237,5.42429,5
500,1,4.93295,5.0683,6
501,2,5.18068,5.27976,6
502,3,5.05802,5.41545,6
