spot ID,Track ID,x (micron),y (micron),T (sec),Frame
2044,0,87.581,115.039,0.000,0
2049,0,87.764,115.039,3.331,1
2054,0,88.182,114.989,6.662,2
2062,0,88.389,114.885,9.993,3
2065,0,88.493,114.782,13.323,4
2067,0,88.700,114.264,16.654,5
2069,0,89.217,114.161,19.985,6
2071,0,89.217,114.368,23.316,7
2073,0,90.149,114.575,26.647,8
2075,0,91.080,114.419,29.978,9
2077,0,91.184,114.471,33.309,10
2079,0,91.442,114.419,36.640,11
2081,0,91.960,114.264,39.970,12
2083,0,91.908,114.109,43.301,13
2085,0,92.219,114.057,46.632,14
2087,0,92.219,114.057,49.963,15
2089,0,92.115,114.057,53.294,16
2091,0,92.115,114.057,56.625,17
2093,0,93.150,113.798,59.956,18
2095,0,93.719,113.540,63.287,19
2097,0,93.771,113.436,66.617,20
2099,0,93.616,113.436,69.948,21
2101,0,93.409,113.540,73.279,22
2107,0,93.409,113.540,76.610,23
2109,0,93.564,113.436,79.941,24
2111,0,93.564,113.436,83.272,25
2113,0,93.461,113.333,86.603,26
2115,0,93.461,113.591,89.934,27
2117,0,93.305,113.643,93.264,28
2119,0,93.771,113.177,96.595,29
2121,0,93.823,113.281,99.926,30
2123,0,93.926,113.177,103.257,31
2125,0,94.185,112.608,106.588,32
2127,0,94.858,112.401,109.919,33
2129,0,95.427,111.832,113.250,34
2131,0,95.893,111.418,116.581,35
2133,0,96.773,110.176,119.911,36
2135,0,97.652,108.882,123.242,37
2137,0,98.325,108.002,126.573,38
2139,0,98.843,107.588,129.904,39
2141,0,99.153,106.864,133.235,40
2143,0,99.515,106.088,136.566,41
2145,0,99.671,105.467,139.897,42
2147,0,100.188,104.587,143.228,43
2149,0,100.757,102.569,146.558,44
2151,0,100.757,102.569,149.889,45
2153,0,101.068,102.103,153.220,46
2155,0,101.482,101.223,156.551,47
2157,0,101.275,102.051,159.882,48
2159,0,101.275,101.482,163.213,49
2161,0,101.275,101.482,166.544,50
2163,0,101.223,100.809,169.875,51
2165,0,101.327,100.343,173.205,52
2167,0,101.327,100.343,176.536,53
2169,0,101.120,101.637,179.867,54
2171,0,101.275,101.741,183.198,55
2173,0,101.068,101.999,186.529,56
2175,0,101.327,101.534,189.860,57
2177,0,101.378,101.120,193.191,58
2179,0,101.223,101.275,196.522,59
2181,0,100.964,102.465,199.852,60
2183,0,100.964,102.620,203.183,61
2185,0,101.120,102.206,206.514,62
2187,0,101.120,102.051,209.845,63
2189,0,101.120,102.051,213.176,64
2191,0,101.120,102.051,216.507,65
2193,0,101.741,101.016,219.838,66
2195,0,101.741,101.016,223.169,67
2197,0,101.741,100.964,226.499,68
2199,0,101.585,100.499,229.830,69
2201,0,101.741,100.136,233.161,70
2203,0,101.741,99.205,236.492,71
2205,0,101.430,98.584,239.823,72
2207,0,101.482,98.066,243.154,73
2209,0,101.378,97.652,246.485,74
2211,0,101.171,96.410,249.816,75
2213,0,101.327,96.048,253.146,76
2215,0,101.275,96.566,256.477,77
2217,0,101.275,96.566,259.808,78
2219,0,101.275,96.566,263.139,79
2221,0,101.275,96.566,266.470,80
2223,0,101.275,96.566,269.801,81
2225,0,101.120,96.462,273.132,82
2227,0,101.068,95.738,276.463,83
2229,0,101.120,95.427,279.793,84
2231,0,101.120,95.427,283.124,85
2233,0,101.120,95.427,286.455,86
2235,0,101.223,95.168,289.786,87
2237,0,101.223,95.168,293.117,88
2239,0,100.964,93.719,296.448,89
2241,0,101.051,93.116,299.779,90
2243,0,101.120,93.047,303.110,91
2245,0,101.223,92.909,306.440,92
2247,0,101.223,92.909,309.771,93
2249,0,101.223,92.909,313.102,94
2251,0,101.223,92.909,316.433,95
2253,0,101.361,92.978,319.764,96
2255,0,101.361,93.185,323.095,97
2257,0,101.051,92.805,326.426,98
2259,0,100.602,92.598,329.757,99
2261,0,100.602,92.598,333.087,100
2263,0,100.602,92.598,336.418,101
2265,0,100.223,92.046,339.749,102
2267,0,99.947,91.598,343.080,103
2269,0,99.464,91.322,346.411,104
2271,0,99.464,91.322,349.742,105
2273,0,99.464,91.322,353.073,106
2275,0,99.326,91.149,356.404,107
2277,0,99.326,91.149,359.734,108
2279,0,99.326,91.149,363.065,109
2281,0,98.912,90.770,366.396,110
2283,0,98.912,90.770,369.727,111
2285,0,98.567,90.770,373.058,112
2287,0,97.635,90.425,376.389,113
2289,0,97.187,90.045,379.720,114
2291,0,96.635,90.011,383.051,115
2293,0,96.014,89.976,386.381,116
2295,0,95.358,90.149,389.712,117
2297,0,95.082,90.425,393.043,118
2299,0,94.289,90.218,396.374,119
