,spot ID,Track ID,T (sec),x (micron),y (micron),Frame,Ids,squared displacement,dt,vx,vy,speed
4461,131645,57,256.477,128.651,120.733,77,,110.97706000000001,1.0,0.0,0.1086760732512786,0.1086760732512786
4462,131647,57,259.808,128.599,120.888,78,,113.25142099999981,1.0,-0.01561092764936083,0.046532572800961014,0.04908137522065081
4463,131649,57,263.139,128.961,120.94,79,,118.20203299999991,1.0,0.10867607325128285,0.015610927649352296,0.1097915750838447
4464,131651,57,266.47,129.634,121.199,80,,131.18170899999959,1.0,0.20204142900029223,0.07775442809966987,0.21648669733169948
4465,131653,57,269.801,129.893,121.302,81,,136.51800099999994,1.0,0.07775442809967414,0.03092164515160872,0.08367735194178531
4466,131655,57,273.132,129.634,121.302,82,,133.15384999999975,1.0,-0.07775442809967414,0.0,0.07775442809967414
4467,131657,57,276.463,129.841,121.199,83,,133.85966799999989,1.0,0.06214350045032184,-0.03092164515160872,0.06941154649697093
4468,131659,57,279.793,130.048,121.302,84,,138.59546599999996,1.0,0.06214350045031331,0.03092164515160872,0.0694115464969633
4469,131661,57,283.124,130.048,121.302,85,,138.59546599999996,1.0,0.0,0.0,0.0
4470,131663,57,286.455,130.462,121.406,86,,146.39268999999976,1.0,0.12428700090062662,0.03122185529870886,0.12814859671945641
4471,131665,57,289.786,130.824,121.613,87,,155.80212099999997,1.0,0.10867607325128285,0.06214350045031331,0.12518907119048486
4472,131667,57,293.117,131.652,121.561,88,,167.9681449999997,1.0,0.24857400180125325,-0.015610927649352296,0.2490637176177268
4473,131669,57,296.448,132.325,121.199,89,,172.67961999999955,1.0,0.20204142900030075,-0.1086760732512786,0.22941496884423396
4474,131671,57,299.779,133.101,121.147,90,,186.34912399999985,1.0,0.23296307415190948,-0.015610927649352296,0.23348553484184278
4475,131673,57,303.11,133.308,121.147,91,,190.46242099999972,1.0,0.06214350045031331,0.0,0.06214350045031331
4476,131675,57,306.44,132.946,121.095,92,,182.3430529999997,1.0,-0.10867607325127432,-0.015610927649356562,0.10979157508383687
4477,131677,57,309.771,133.567,121.095,93,,194.74752799999987,1.0,0.18643050135094846,0.0,0.18643050135094846
