spot ID,Track ID,x (micron),y (micron),T (sec),Frame,vx,vy,speed,smooth avg speed normed max,smooth avg speed non normed
2044,0,87.581,115.039,0.0,0,,,,0.0,0.0
2049,0,87.764,115.039,3.331,1,0.05487256371813875,0.0,0.05487256371813875,,
2054,0,88.182,114.989,6.662,2,0.12533733133433475,-0.014992503748125085,0.12623082743391315,0.17987236637723575,0.08322625259832847
2062,0,88.389,114.885,9.993,3,0.06206896551723947,-0.03118440779610171,0.06946239104705389,0.20237724839985838,0.09363917501456136
2065,0,88.493,114.782,13.323,4,0.03118440779610171,-0.03088455772114202,0.04388989855563718,0.119333192889612,0.05521500970286246
2067,0,88.7,114.264,16.654,5,0.06206896551724373,-0.1553223388305849,0.16726501552979875,0.1851778144684753,0.08568106303909835
2069,0,89.217,114.161,19.985,6,0.15502248875562097,-0.03088455772113776,0.1580690606210365,0.35142293516737494,0.1626020414372414
2071,0,89.217,114.368,23.316,7,0.0,0.06206896551723947,0.06206896551723947,0.2140744307051224,0.09905141631006369
2073,0,90.149,114.575,26.647,8,0.2794602698650681,0.06206896551724373,0.2862701502312763,0.2880908032934882,0.1332985074309538
2075,0,91.08,114.419,29.978,9,0.27916041979010414,-0.046776611694154695,0.28305227675991745,0.6152129479889177,0.2846566665148848
2077,0,91.184,114.471,33.309,10,0.03118440779610171,0.015592203898052985,0.034865227835079865,0.2147008125316944,0.09934124077377232
2079,0,91.442,114.419,36.64,11,0.07736131934032851,-0.015592203898052985,0.07891698519631085,0.11336672604882371,0.05245434842724674
2081,0,91.96,114.264,39.97,12,0.1553223388305849,-0.046476761619190746,0.16212685869531338,0.24446508156040003,0.1131130536568721
2083,0,91.908,114.109,43.301,13,-0.015592203898048725,-0.046476761619190746,0.04902250700449139,0.1926767670596217,0.08915079958142376
2085,0,92.219,114.057,46.632,14,0.09325337331334119,-0.015592203898048725,0.09454791619446565,0.14713901601480944,0.06808065719353228
2087,0,92.219,114.057,49.963,15,0.0,0.0,0.0,0.0,0.0
2089,0,92.115,114.057,53.294,16,-0.03118440779610171,0.0,0.03118440779610171,0.0,0.0
2091,0,92.115,114.057,56.625,17,0.0,0.0,0.0,0.0,0.0
2093,0,93.15,113.798,59.956,18,0.3103448275862101,-0.07766116941529246,0.31991431547285476,0.0,0.0
2095,0,93.719,113.54,63.287,19,0.1706146926536697,-0.07736131934032851,0.18733431901117972,0.5290900789418451,0.24480794601285916
2097,0,93.771,113.436,66.617,20,0.015592203898052985,-0.03118440779610171,0.034865227835079865,0.17466626547221012,0.08081740971878716
2099,0,93.616,113.436,69.948,21,-0.046476761619190746,0.0,0.046476761619190746,0.08699980750732678,0.04025447655714555
2101,0,93.409,113.54,73.279,22,-0.06206896551723947,0.03118440779610171,0.06946239104705389,0.12279958588339737,0.05681889641829497
2107,0,93.409,113.54,76.61,23,0.0,0.0,0.0,0.0,0.0
2109,0,93.564,113.436,79.941,24,0.046476761619186485,-0.03118440779610171,0.05596924745072293,0.0,0.0
2111,0,93.564,113.436,83.272,25,0.0,0.0,0.0,0.0,0.0
2113,0,93.461,113.333,86.603,26,-0.03088455772113776,-0.03088455772114202,0.04367736039713072,0.0,0.0
2115,0,93.461,113.591,89.934,27,0.0,0.07736131934032851,0.07736131934032851,0.1256302528850378,0.05812863516052177
2117,0,93.305,113.643,93.264,28,-0.046776611694150434,0.015592203898052985,0.049306878059595195,0.13348110539925953,0.061761194444756175
2119,0,93.771,113.177,96.595,29,0.13973013493253192,-0.13973013493253192,0.1976082518938092,0.21333415835683808,0.09870889513968749
2121,0,93.823,113.281,99.926,30,0.015592203898048725,0.03118440779610171,0.03486522783507796,0.17939192901343343,0.08300395607661802
2123,0,93.926,113.177,103.257,31,0.03088455772114202,-0.03118440779610171,0.04388989855563718,0.08454397248935926,0.03911817113312877
2125,0,94.185,112.608,106.588,32,0.07766116941529246,-0.17061469265367396,0.18745834359734,0.19603733237760806,0.0907057202380039
2127,0,94.858,112.401,109.919,33,0.20179910044977567,-0.06206896551724373,0.21112894975042965,0.4299623117519643,0.19894190912339604
2129,0,95.427,111.832,113.25,34,0.17061469265367396,-0.17061469265367396,0.24128561229094297,0.4878021550427621,0.22570418231144088
2131,0,95.893,111.418,116.581,35,0.13973013493253192,-0.12413793103447894,0.18690836399097988,0.45896988341302947,0.21236360104279173
2133,0,96.773,110.176,119.911,36,0.2638680659670151,-0.37241379310344963,0.45641909417866383,0.6312485280063719,0.29207626775754825
2135,0,97.652,108.882,123.242,37,0.2635682158920554,-0.38800599700149835,0.4690595464732041,1.0,0.4626961565835129
2137,0,98.325,108.002,126.573,38,0.20179910044977567,-0.2638680659670194,0.33218855064483177,0.8531205974353107,0.39473562153554853
2139,0,98.843,107.588,129.904,39,0.1553223388305849,-0.1241379310344832,0.19883474259124118,0.5554469336367496,0.25700316137982154
2141,0,99.153,106.864,133.235,40,0.09295352323838149,-0.21709145427286045,0.23615473105727477,0.4683263233122517,0.2166927898234665
2143,0,99.515,106.088,136.566,41,0.10854572713643022,-0.23268365817091768,0.2567564208727346,0.5321855640419519,0.24624021507144012
2145,0,99.671,105.467,139.897,42,0.046776611694154695,-0.18620689655172268,0.19199234288119327,0.4798513474793716,0.22202537421012497
2147,0,100.188,104.587,143.228,43,0.15502248875562097,-0.2638680659670151,0.30603648190560495,0.5238810177545888,0.24239773342210733
