xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
49.3212	123.173	1.16652	47.1187	128.956	1.28018	48.0938	126.406	1.21712	0.00189959	18	30.1421	3.60049	1.66261	0.886998	4.44345	1.58356	0.934341	7.40254	1.41674	0.981515	0	29
98.7972	110.972	3.75115	103.309	106.714	3.85561	101.333	108.571	3.88616	0.000565954	29.5	29.2132	3.36806	2.00493	0.80352	3.89779	2.03533	0.852838	7.32698	1.84985	0.967605	0	30
313.321	102.948	2.01817	315.752	109.933	1.82435	314.686	106.863	1.89543	0.00295382	33.5	37.5563	3.80549	2.12215	0.830073	5.69555	1.97754	0.937788	8.82165	1.9158	0.976134	0	31
11.8779	107.713	1.79634	20.5287	122.718	2.01415	16.5781	115.844	2.06849	0.0019425	147	101.255	7.98512	4.25992	0.845811	9.88123	3.74171	0.925532	19.4166	4.13783	0.977029	0	32
34.3723	98.6801	1.23592	31.4317	105.89	1.15819	32.8036	102.518	1.18469	0.00080482	39	36.9706	4.34981	2.16039	0.867944	5.00944	2.12348	0.90571	9.08769	1.97511	0.976096	0	33
132.249	107.965	4.97196	129.056	98.8623	5.08345	130.729	103.629	5.04244	0.00214356	49	44.9706	5.78762	2.18744	0.925826	5.36986	2.19851	0.912348	11.1371	2.05054	0.982904	0	34
60.3859	103.507	3.59388	70.4346	97.2532	3.73922	65.4906	100.34	3.69319	0.00113821	30	53.1127	6.06358	1.66258	0.961675	6.36274	1.62375	0.966889	13.4753	1.48345	0.993922	0	35
5.24782	92.152	1.92051	7.32735	97.5976	1.90937	6.54286	95.5429	1.92908	0.000195693	22	28.1421	2.73385	1.88223	0.725246	4.34218	1.84738	0.904982	6.76968	1.66893	0.969135	0	36
189.313	85.379	0.479869	179.473	90.7492	0.563016	185.041	87.7027	0.500854	0.000284415	52.5	50.5269	7.11133	2.10612	0.955137	5.55574	2.05989	0.928725	12.8678	1.93284	0.988654	0	37
137.76	83.7217	0.640861	138.719	93.2327	2.35957	138.239	88.4444	1.71468	0.00771797	137	92.2843	6.97743	4.88082	0.714617	8.91376	6.41233	0.694623	11.7602	6.95953	0.806094	0	38
83.9446	86.9633	5.29298	79.7624	80.1422	5.16437	82.1064	83.9787	5.25635	0.00557808	30	38.6274	5.40584	1.92287	0.934599	4.65846	1.76961	0.92504	9.36164	1.69287	0.983514	0	39
250.191	78.2553	3.4333	259.448	76.7204	3.23323	255.262	77.4098	3.29856	0.000119234	39	46.1421	4.61892	2.13482	0.886781	7.35716	1.96072	0.963833	11.1825	1.94277	0.984793	0	40
12.0536	70.3756	2.47673	18.5203	76.0582	2.38608	15.7358	73.6038	2.41753	0.00203446	37	39.1127	4.33388	1.89412	0.899437	6.21346	1.77546	0.958306	10.1234	1.67275	0.986254	0	41
72.1808	72.3016	3.48524	80.9717	68.1961	3.59259	76.8644	70.1186	3.5732	0.000822277	39	43.799	4.87371	2.02743	0.909368	6.20427	1.82547	0.955735	11.1721	1.76666	0.987418	0	42
208.598	70.7057	2.81254	218.249	63.1725	4.45526	213.4	66.9188	3.87148	0.00479619	115.5	103.154	8.73792	4.83597	0.832885	12.5966	8.01441	0.771493	15.3341	8.80478	0.818718	0	43
211.869	55.1198	4.61517	212.421	50.064	4.41008	212.103	52.9655	4.59146	0.0022958	17	23.6569	3.27796	1.71811	0.851632	2.84869	1.75496	0.7877	5.97093	1.53928	0.966199	0	44
62.8122	50.7415	0.472129	53.5778	57.2883	0.659662	58.5862	53.7414	0.599009	0.00231302	37.5	48.5269	6.43538	1.79631	0.960253	5.46189	1.77343	0.94582	12.7363	1.72398	0.990797	0	45
58.9086	38.1053	4.68604	59.2022	30.3446	4.59319	59.0455	34.5	4.66753	0.00738032	26.5	35.0711	4.89013	1.83167	0.927201	4.58148	1.71499	0.927295	9.029	1.54209	0.985307	0	46
