 ,Label,Area,X,Y,XM,YM
34,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.472,5.914,43.450,5.914,43.450
35,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.101,22.983,43.701,22.983,43.701
36,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.673,33.421,47.447,33.421,47.447
37,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.546,6.177,46.425,6.177,46.425
38,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.302,10.005,9.812,10.005,9.812
39,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.292,38.385,15.757,38.385,15.757
40,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.196,19.886,19.184,19.886,19.184
41,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.546,23.314,19.405,23.314,19.405
42,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.684,13.824,34.089,13.824,34.089
43,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.292,31.931,42.090,31.931,42.090
44,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,3.395,22.365,43.624,22.365,43.624
45,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.451,5.986,43.352,5.986,43.352
46,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.631,33.436,47.471,33.436,47.471
47,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.504,6.089,46.418,6.089,46.418
48,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.313,9.987,9.804,9.987,9.804
49,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.249,38.333,15.736,38.333,15.736
50,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:6/200 - Series 1,2.048,20.150,19.161,20.150,19.161
