 ,Label,Area,X,Y,XM,YM
34,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.270,19.518,19.047,19.518,19.047
35,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.676,26.708,19.117,26.708,19.117
36,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.188,15.831,19.593,15.831,19.593
37,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.451,21.788,19.615,21.788,19.615
38,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.262,19.111,20.605,19.111,20.605
39,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.570,17.200,29.581,17.200,29.581
40,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.241,16.392,30.885,16.392,30.885
41,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.772,36.898,31.243,36.898,31.243
42,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.347,13.790,32.960,13.790,32.960
43,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.326,14.861,32.974,14.861,32.974
44,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.241,12.919,35.145,12.919,35.145
45,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.581,19.943,40.099,19.943,40.099
46,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.143,31.819,42.061,31.819,42.061
47,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.560,19.246,42.637,19.246,42.637
48,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,1.220,24.831,42.136,24.831,42.136
49,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:2/200 - Series 1,2.016,24.350,43.223,24.350,43.223
