spot ID,Track ID,x (micron),y (micron),T (sec),Frame
2005,0,70.63876279,40.93425741,0,0
2050,0,70.69051279,40.8825074,3.348253133,1
2053,0,70.69051279,40.8825074,6.696506266,2
2056,0,70.69051279,40.98600742,10.0447594,3
2059,0,70.69051279,40.98600742,13.39301253,4
2062,0,70.69051279,40.98600742,16.74126566,5
2065,0,70.69051279,40.98600742,20.0895188,6
2068,0,70.69051279,40.98600742,23.43777193,7
2071,0,70.94926284,41.03775743,26.78602506,8
2074,0,70.94926284,41.03775743,30.1342782,9
2077,0,70.94926284,41.03775743,33.48253133,10
2080,0,70.94926284,41.03775743,36.83078446,11
2083,0,70.94926284,41.03775743,40.17903759,12
2086,0,70.94926284,41.03775743,43.52729073,13
2089,0,70.94926284,41.03775743,46.87554386,14
2092,0,70.94926284,41.03775743,50.22379699,15
2095,0,70.94926284,41.03775743,53.57205013,16
2098,0,71.05276286,40.8825074,56.92030326,17
2101,0,71.05276286,40.8825074,60.26855639,18
2104,0,71.05276286,40.8825074,63.61680952,19
2107,0,71.05276286,40.8825074,66.96506266,20
2110,0,71.05276286,40.8825074,70.31331579,21
2113,0,71.62201296,40.77900738,73.66156892,22
2116,0,71.31151291,40.77900738,77.00982206,23
2119,0,71.77726299,40.98600742,80.35807519,24
2122,0,71.88076301,40.83075739,83.70632832,25
2125,0,71.88076301,40.83075739,87.05458145,26
2128,0,71.88076301,40.83075739,90.40283459,27
2131,0,72.29476309,40.83075739,93.75108772,28
2134,0,72.81226318,40.77900738,97.09934085,29
2137,0,72.81226318,40.77900738,100.447594,30
2140,0,72.86401319,40.52025733,103.7958471,31
2146,0,72.86401319,40.52025733,107.1441003,32
2149,0,72.86401319,40.52025733,110.4923534,33
2152,0,72.76051317,40.62375735,113.8406065,34
2155,0,72.76051317,40.62375735,117.1888596,35
2158,0,72.76051317,40.62375735,120.5371128,36
2161,0,72.76051317,40.62375735,123.8853659,37
2164,0,72.76051317,40.62375735,127.233619,38
2167,0,72.76051317,40.62375735,130.5818722,39
2170,0,72.76051317,40.62375735,133.9301253,40
2173,0,72.76051317,40.62375735,137.2783784,41
2176,0,72.50176312,40.52025733,140.6266316,42
2179,0,71.98426303,40.77900738,143.9748847,43
2182,0,71.15626288,41.14125745,147.3231378,44
2185,0,70.94926284,41.08950744,150.671391,45
2188,0,70.94926284,41.08950744,154.0196441,46
2191,0,70.94926284,41.08950744,157.3678972,47
2194,0,70.94926284,41.08950744,160.7161504,48
2197,0,70.94926284,41.08950744,164.0644035,49
2200,0,70.63876279,41.24475747,167.4126566,50
2206,0,70.32826273,41.34825748,170.7609098,51
2212,0,70.12126269,41.55525752,174.1091629,52
2218,0,70.12126269,41.55525752,177.457416,53
2221,0,70.12126269,41.55525752,180.8056692,54
2224,0,70.12126269,41.55525752,184.1539223,55
2227,0,70.12126269,41.55525752,187.5021754,56
2230,0,70.43176275,41.76225756,190.8504286,57
2233,0,70.69051279,41.76225756,194.1986817,58
2239,0,70.69051279,41.76225756,197.5469348,59
2242,0,70.69051279,41.76225756,200.895188,60
2245,0,70.69051279,41.76225756,204.2434411,61
2248,0,70.69051279,41.76225756,207.5916942,62
2251,0,70.69051279,41.76225756,210.9399474,63
2254,0,70.7422628,41.9692576,214.2882005,64
2257,0,71.00101285,42.12450762,217.6364536,65
2260,0,71.00101285,42.12450762,220.9847068,66
2263,0,71.20801289,42.38325767,224.3329599,67
2266,0,71.20801289,42.38325767,227.681213,68
2269,0,71.00101285,41.65875754,231.0294662,69
2272,0,71.00101285,41.65875754,234.3777193,70
2275,0,71.15626288,41.08950744,237.7259724,71
2278,0,71.46676294,41.19300746,241.0742256,72
2284,0,71.51851294,40.98600742,244.4224787,73
2287,0,71.829013,40.98600742,247.7707318,74
2290,0,71.829013,40.98600742,251.118985,75
2293,0,71.98426303,40.93425741,254.4672381,76
2299,0,72.55351313,40.98600742,257.8154912,77
2302,0,72.55351313,40.98600742,261.1637444,78
2305,0,72.96751321,41.08950744,264.5119975,79
2308,0,72.9157632,41.03775743,267.8602506,80
2311,0,73.27801326,41.03775743,271.2085038,81
2314,0,73.27801326,41.03775743,274.5567569,82
2317,0,73.27801326,41.03775743,277.90501,83
2320,0,73.27801326,41.03775743,281.2532632,84
2323,0,73.27801326,41.03775743,284.6015163,85
2326,0,73.27801326,41.03775743,287.9497694,86
2329,0,73.12276324,40.98600742,291.2980226,87
2332,0,73.32976327,40.8825074,294.6462757,88
2335,0,73.32976327,40.8825074,297.9945288,89
2338,0,73.32976327,40.8825074,301.342782,90
2341,0,73.32976327,40.8825074,304.6910351,91
2344,0,73.32976327,40.93425741,308.0392882,92
2347,0,73.32976327,40.93425741,311.3875414,93
2350,0,73.32976327,40.93425741,314.7357945,94
2353,0,73.32976327,40.93425741,318.0840476,95
2356,0,72.86401319,40.77900738,321.4323008,96
2359,0,72.65701315,40.77900738,324.7805539,97
2362,0,72.3982631,40.83075739,328.128807,98
2365,0,71.57026295,40.67550736,331.4770602,99
2368,0,71.20801289,40.83075739,334.8253133,100
2371,0,71.20801289,40.77900738,338.1735664,101
2374,0,71.10451287,40.77900738,341.5218195,102
2377,0,71.15626288,40.8825074,344.8700727,103
2380,0,71.15626288,40.8825074,348.2183258,104
2383,0,71.15626288,40.8825074,351.5665789,105
2386,0,71.15626288,40.8825074,354.9148321,106
2389,0,71.15626288,40.8825074,358.2630852,107
2392,0,71.00101285,40.67550736,361.6113383,108
2395,0,71.00101285,40.67550736,364.9595915,109
2398,0,70.94926284,40.52025733,368.3078446,110
2404,0,70.94926284,40.52025733,371.6560977,111
2407,0,71.2597629,40.57200734,375.0043509,112
2413,0,72.19126307,40.67550736,378.352604,113
2416,0,72.60526314,40.77900738,381.7008571,114
2419,0,73.07101323,40.67550736,385.0491103,115
2422,0,73.32976327,40.62375735,388.3973634,116
2425,0,73.58851332,40.57200734,391.7456165,117
2428,0,73.69201334,40.52025733,395.0938697,118
2431,0,73.69201334,40.62375735,398.4421228,119
2434,0,73.84726337,40.72725737,401.7903759,120
2437,0,73.84726337,40.72725737,405.1386291,121
2440,0,73.84726337,40.72725737,408.4868822,122
2443,0,74.0542634,40.72725737,411.8351353,123
2446,0,74.0542634,40.72725737,415.1833885,124
2449,0,74.26126344,40.67550736,418.5316416,125
2452,0,74.26126344,40.67550736,421.8798947,126
2455,0,74.31301345,40.67550736,425.2281479,127
2461,0,74.31301345,40.67550736,428.576401,128
2464,0,74.72701353,40.67550736,431.9246541,129
2470,0,75.1410136,40.52025733,435.2729073,130
2476,0,74.98576357,40.67550736,438.6211604,131
2482,0,74.98576357,40.67550736,441.9694135,132
2485,0,75.24451362,40.57200734,445.3176667,133
2488,0,75.39976365,40.46850732,448.6659198,134
2491,0,75.86551373,40.46850732,452.0141729,135
2494,0,76.69351388,40.57200734,455.3624261,136
2497,0,76.69351388,40.57200734,458.7106792,137
2500,0,76.7970139,40.62375735,462.0589323,138
2503,0,76.90051392,40.62375735,465.4071855,139
2506,0,77.366264,40.83075739,468.7554386,140
2509,0,77.8837641,40.77900738,472.1036917,141
2512,0,77.8837641,40.8825074,475.4519449,142
2515,0,77.8837641,40.8825074,478.800198,143
2518,0,77.8837641,40.8825074,482.1484511,144
2521,0,77.8837641,40.8825074,485.4967043,145
2524,0,77.8837641,40.8825074,488.8449574,146
2527,0,78.4530142,41.08950744,492.1932105,147
2530,0,78.4530142,41.08950744,495.5414637,148
2533,0,78.66001424,41.24475747,498.8897168,149
2536,0,79.0222643,41.29650747,502.2379699,150
2539,0,79.0222643,41.29650747,505.5862231,151
2542,0,79.22926434,41.40000749,508.9344762,152
2545,0,79.22926434,41.40000749,512.2827293,153
2548,0,79.22926434,41.40000749,515.6309825,154
2551,0,79.22926434,41.40000749,518.9792356,155
2554,0,80.00551448,41.50350751,522.3274887,156
2557,0,80.00551448,41.50350751,525.6757419,157
2560,0,80.26426453,41.86575758,529.023995,158
2563,0,80.26426453,41.86575758,532.3722481,159
2566,0,80.62651459,42.12450762,535.7205013,160
2569,0,80.62651459,42.12450762,539.0687544,161
2572,0,81.04051467,42.33150766,542.4170075,162
2575,0,81.40276473,42.69375773,545.7652607,163
2578,0,81.40276473,42.69375773,549.1135138,164
2581,0,81.40276473,42.69375773,552.4617669,165
2584,0,81.40276473,42.69375773,555.8100201,166
2587,0,81.40276473,42.69375773,559.1582732,167
2590,0,81.40276473,42.84900776,562.5065263,168
2593,0,81.35101472,42.84900776,565.8547794,169
2596,0,81.35101472,42.84900776,569.2030326,170
2599,0,81.40276473,43.00425778,572.5512857,171
2602,0,81.40276473,43.00425778,575.8995388,172
2605,0,81.40276473,43.00425778,579.247792,173
2608,0,81.04051467,43.05600779,582.5960451,174
2611,0,81.04051467,43.05600779,585.9442982,175
2614,0,81.04051467,43.05600779,589.2925514,176
2617,0,81.40276473,43.15950781,592.6408045,177
2620,0,81.40276473,43.15950781,595.9890576,178
2623,0,81.40276473,43.15950781,599.3373108,179
2626,0,81.40276473,43.15950781,602.6855639,180
2629,0,81.40276473,43.31475784,606.033817,181
2635,0,81.35101472,43.83225793,609.3820702,182
2638,0,81.35101472,43.83225793,612.7303233,183
2641,0,81.55801476,44.09100798,616.0785764,184
2647,0,81.55801476,44.09100798,619.4268296,185
2650,0,81.55801476,44.09100798,622.7750827,186
2653,0,81.55801476,44.09100798,626.1233358,187
2656,0,81.55801476,44.29800802,629.471589,188
2662,0,82.07551486,44.55675806,632.8198421,189
2668,0,82.07551486,44.55675806,636.1680952,190
2671,0,82.07551486,44.55675806,639.5163484,191
2674,0,82.07551486,44.55675806,642.8646015,192
2677,0,82.07551486,44.55675806,646.2128546,193
2680,0,82.07551486,44.55675806,649.5611078,194
2683,0,82.07551486,44.55675806,652.9093609,195
2686,0,82.07551486,44.55675806,656.257614,196
2689,0,82.07551486,44.55675806,659.6058672,197
2692,0,82.07551486,44.55675806,662.9541203,198
2695,0,82.07551486,44.55675806,666.3023734,199
2698,0,82.07551486,44.55675806,669.6506266,200
4703,1,57.89101048,49.749009,0,0
4749,1,58.37401057,46.4025084,3.348253133,1
4752,1,58.47751058,46.57500843,6.696506266,2
4755,1,58.13251052,49.64550899,10.0447594,3
4758,1,57.9945105,49.09350889,13.39301253,4
4761,1,57.9945105,49.09350889,16.74126566,5
4764,1,58.47751058,46.26450837,20.0895188,6
4767,1,58.47751058,46.26450837,23.43777193,7
4770,1,58.47751058,46.26450837,26.78602506,8
4773,1,58.47751058,46.26450837,30.1342782,9
4776,1,58.47751058,46.26450837,33.48253133,10
4779,1,58.47751058,46.26450837,36.83078446,11
4782,1,58.47751058,46.26450837,40.17903759,12
4785,1,58.47751058,46.26450837,43.52729073,13
4788,1,58.09801052,49.68000899,46.87554386,14
4791,1,58.47751058,46.16100836,50.22379699,15
4794,1,58.47751058,46.23000837,53.57205013,16
4797,1,58.47751058,46.23000837,56.92030326,17
4800,1,58.44301058,46.43700841,60.26855639,18
4803,1,58.47751058,46.81650847,63.61680952,19
4806,1,58.47751058,46.29900838,66.96506266,20
4809,1,58.0290105,49.714509,70.31331579,21
4812,1,58.0290105,49.714509,73.66156892,22
4815,1,58.47751058,46.23000837,77.00982206,23
4818,1,57.9945105,49.81800902,80.35807519,24
4821,1,58.51201059,46.16100836,83.70632832,25
4824,1,58.30501055,48.71400882,87.05458145,26
4827,1,58.44301058,46.33350839,90.40283459,27
4830,1,58.37401057,46.9545085,93.75108772,28
4833,1,58.51201059,46.33350839,97.09934085,29
4836,1,58.51201059,46.33350839,100.447594,30
4839,1,58.51201059,46.33350839,103.7958471,31
4842,1,58.0290105,48.02400869,107.1441003,32
4845,1,58.44301058,46.26450837,110.4923534,33
4848,1,58.44301058,47.29950856,113.8406065,34
4851,1,58.51201059,46.33350839,117.1888596,35
