,spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation,distance to nearest AC
3276,39439,16,82.90351501,63.13501143,277.90501,83,Before_Contact,1174.597447617789,0.1448276131934046,-0.124137952023988,0.1907492298176021,0.03146255609781402,65.2311630768959
3277,39442,16,83.24851507,62.75551136,281.2532632,84,Before_Contact,1209.7229280630995,0.1034482938530703,-0.1137931244377807,0.1537869457087416,0.029108214909787038,64.7651547253948
3278,39445,16,83.66251514,62.37601129,284.6015163,85,Before_Contact,1248.1787291110306,0.124137952023988,-0.1137931244377807,0.1684016220290713,0.025790734508608096,64.23623564964356
3279,39448,16,84.00751521,62.16901125,287.9497694,86,Before_Contact,1274.3404340401316,0.1034482968515734,-0.0620689775112455,0.1206404082004979,0.01990488259318686,63.838024522948935
3280,39451,16,84.04201521,62.03101123,291.2980226,87,Before_Contact,1283.8160171722625,0.0103448275862094,-0.041379316341829,0.042652822634681,0.003638526650468233,63.75299047657386
3281,39454,16,84.04201521,61.96201122,294.6462757,88,Before_Contact,1287.8533464880925,0.0,-0.0206896581709134,0.0206896581709134,0.0008561239104585329,63.72647882683663
3282,39457,16,84.04201521,61.92751121,297.9945288,89,Before_Contact,1289.8755821902923,0.0,-0.0103448305847082,0.0103448305847082,0.00021403100863362287,63.71324688520157
3283,39460,16,84.04201521,61.92751121,301.342782,90,Before_Contact,1289.8755821902923,0.0,0.0,0.0,0.0,63.71324688520157
3284,39463,16,84.18001524,61.75501118,304.6910351,91,Before_Contact,1305.7642353294432,0.04137931934033,-0.0517241469265373,0.0662392288930587,0.0,63.51975625549643
3285,39466,16,84.49051529,61.51351113,308.0392882,92,Before_Contact,1333.128092848244,0.0931034632683663,-0.0724138080959517,0.1179492029456806,0.007598100387737495,63.1406652410408
3286,39469,16,84.66301532,60.89251102,311.3875414,93,Before_Contact,1377.7874790745052,0.0517241469265351,-0.1862069295352315,0.1932573620388534,0.018299650074962898,62.74706518749843
3287,39472,16,85.24951543,60.34051092,314.7357945,94,Before_Contact,1437.0036284339271,0.1758621019490263,-0.165517271364318,0.2415024762229552,0.039916780085820086,61.99778278657123
