Frame total,Track ID,Classification
382,5,Back
400,26,Back
400,27,Back
400,36,Back
400,40,Back
400,69,Back
400,70,Leading_edge
214,71,Back
400,72,Back
400,74,Back
400,75,Back
400,83,Back
400,84,Back
400,87,Back
400,88,Leading_edge
400,89,Leading_edge
218,91,Back
400,95,Back
400,100,Back
400,101,Back
400,102,Back
400,103,Leading_edge
400,105,Back
400,110,Back
400,111,Leading_edge
400,112,Back
400,113,Leading_edge
400,114,Leading_edge
400,115,Leading_edge
400,116,Leading_edge
400,118,Leading_edge
400,119,Leading_edge
400,120,Leading_edge
