,Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame,is main track,which main track id,frame range
126,2313,0,92.67,93.56,419.69,126,False,,
127,2315,0,92.67,93.56,423.02,127,False,,
128,2317,0,92.77,93.56,426.35,128,False,,
129,2319,0,92.77,94.22,429.68,129,False,,
130,2321,0,92.81,95.01,433.01,130,False,,
131,2323,0,92.84,95.43,436.34,131,False,,
132,2325,0,92.91,95.74,439.68,132,False,,
133,2327,0,92.91,95.74,443.01,133,False,,
134,2329,0,92.91,95.77,446.34,134,False,,
135,2331,0,92.98,96.63,449.67,135,False,,
136,2333,0,92.98,96.84,453.0,136,False,,
137,2335,0,92.94,96.74,456.33,137,False,,
138,2337,0,92.94,97.22,459.66,138,False,,
139,2339,0,92.94,97.22,462.99,139,False,,
140,2341,0,92.94,97.5,466.32,140,False,,
141,2343,0,93.01,98.19,469.65,141,False,,
142,2345,0,93.01,98.19,472.98,142,False,,
143,2347,0,93.01,98.39,476.32,143,False,,
144,2349,0,93.01,98.39,479.65,144,False,,
145,2351,0,93.01,98.39,482.98,145,False,,
146,2353,0,93.08,98.81,486.31,146,False,,
147,2355,0,93.12,99.19,489.64,147,False,,
148,2357,0,93.12,99.19,492.97,148,False,,
149,2359,0,93.12,99.19,496.3,149,False,,
150,2361,0,93.12,99.19,499.63,150,False,,
151,2363,0,93.12,99.19,502.96,151,False,,
152,2365,0,93.12,99.19,506.29,152,False,,
153,2367,0,93.18,98.88,509.62,153,False,,
154,2369,0,93.18,98.88,512.95,154,False,,
155,2371,0,93.18,98.88,516.29,155,False,,
156,2373,0,93.08,98.36,519.62,156,False,,
157,2375,0,93.08,98.5,522.95,157,False,,
158,2377,0,93.12,98.77,526.28,158,False,,
159,2379,0,93.12,98.77,529.61,159,False,,
160,2381,0,93.12,98.77,532.94,160,False,,
161,2383,0,93.12,98.77,536.27,161,False,,
162,2385,0,93.12,98.95,539.6,162,False,,
163,2387,0,93.12,99.05,542.93,163,False,,
164,2389,0,93.12,99.05,546.26,164,False,,
165,2391,0,93.22,98.57,549.59,165,False,,
166,2393,0,93.15,98.22,552.93,166,False,,
167,2395,0,93.12,98.01,556.26,167,False,,
168,2397,0,93.18,98.01,559.59,168,False,,
169,2399,0,93.18,98.01,562.92,169,False,,
170,2401,0,93.18,97.84,566.25,170,False,,
171,2403,0,93.18,97.84,569.58,171,False,,
172,2405,0,93.08,97.6,572.91,172,False,,
173,2407,0,93.08,97.6,576.24,173,False,,
174,2409,0,92.91,97.43,579.57,174,False,,
175,2411,0,92.91,97.6,582.9,175,False,,
176,2413,0,92.53,97.7,586.23,176,False,,
177,2415,0,92.81,98.08,589.56,177,False,,
178,2417,0,93.05,98.01,592.9,178,False,,
179,2419,0,92.87,98.08,596.23,179,False,,
180,2421,0,92.49,97.98,599.56,180,False,,
181,2423,0,92.39,98.22,602.89,181,False,,
182,2425,0,92.29,98.29,606.22,182,False,,
183,2427,0,92.49,98.53,609.55,183,False,,
184,2429,0,92.63,98.88,612.88,184,False,,
185,2431,0,92.6,98.39,616.21,185,False,,
186,2433,0,92.39,98.19,619.54,186,False,,
187,2435,0,92.39,97.95,622.87,187,False,,
188,2437,0,92.39,97.95,626.2,188,False,,
189,2439,0,92.39,97.95,629.54,189,False,,
190,2441,0,92.46,97.95,632.87,190,False,,
191,2443,0,92.46,97.95,636.2,191,False,,
192,2445,0,92.46,97.95,639.53,192,False,,
193,2447,0,92.46,97.91,642.86,193,False,,
194,2449,0,92.6,97.84,646.19,194,False,,
195,2451,0,92.43,97.7,649.52,195,False,,
196,2453,0,92.43,97.7,652.85,196,False,,
197,2455,0,92.43,97.7,656.18,197,False,,
198,2457,0,92.46,97.98,659.51,198,False,,
199,2459,0,92.56,97.98,662.84,199,False,,
200,4682,1,32.19,140.45,0.0,0,False,,
201,4684,1,30.95,139.62,3.33,1,False,,
202,4460,1,30.47,139.57,6.66,2,False,,
203,4689,1,30.53,139.21,9.99,3,False,,
204,4692,1,30.53,139.21,13.32,4,False,,
205,4696,1,29.7,138.79,16.65,5,False,,
206,4698,1,29.29,138.59,19.99,6,False,,
207,4700,1,29.29,138.59,23.32,7,False,,
208,4702,1,29.5,138.69,26.65,8,False,,
209,4704,1,29.6,138.79,29.98,9,False,,
210,4706,1,29.6,138.79,33.31,10,False,,
211,4708,1,29.6,138.79,36.64,11,False,,
212,4710,1,29.6,138.79,39.97,12,False,,
213,4712,1,29.6,138.79,43.3,13,False,,
214,4714,1,29.6,138.79,46.63,14,False,,
215,4716,1,29.6,138.79,49.96,15,False,,
216,4718,1,29.6,138.79,53.29,16,False,,
217,4720,1,29.6,138.79,56.62,17,False,,
218,4722,1,29.5,138.79,59.96,18,False,,
219,4724,1,29.19,138.59,63.29,19,False,,
220,4726,1,29.5,138.69,66.62,20,False,,
221,4728,1,29.5,138.69,69.95,21,False,,
222,4730,1,29.5,138.69,73.28,22,False,,
223,4732,1,28.57,138.17,76.61,23,False,,
