Spot ID,Track_ID,X (micron),Y (micron),T (sec),Frame
2395,0,93.12,98.01,556.26,167
2397,0,93.18,98.01,559.59,168
2399,0,93.18,98.01,562.92,169
2401,0,93.18,97.84,566.25,170
2403,0,93.18,97.84,569.58,171
2405,0,93.08,97.6,572.91,172
2407,0,93.08,97.6,576.24,173
2409,0,92.91,97.43,579.57,174
2411,0,92.91,97.6,582.9,175
2413,0,92.53,97.7,586.23,176
2415,0,92.81,98.08,589.56,177
2417,0,93.05,98.01,592.9,178
2419,0,92.87,98.08,596.23,179
2421,0,92.49,97.98,599.56,180
2423,0,92.39,98.22,602.89,181
2425,0,92.29,98.29,606.22,182
2427,0,92.49,98.53,609.55,183
2429,0,92.63,98.88,612.88,184
2431,0,92.6,98.39,616.21,185
2433,0,92.39,98.19,619.54,186
2435,0,92.39,97.95,622.87,187
2437,0,92.39,97.95,626.2,188
2439,0,92.39,97.95,629.54,189
2441,0,92.46,97.95,632.87,190
2443,0,92.46,97.95,636.2,191
2445,0,92.46,97.95,639.53,192
2447,0,92.46,97.91,642.86,193
2449,0,92.6,97.84,646.19,194
2451,0,92.43,97.7,649.52,195
2453,0,92.43,97.7,652.85,196
2455,0,92.43,97.7,656.18,197
2457,0,92.46,97.98,659.51,198
2459,0,92.56,97.98,662.84,199
4682,1,32.19,140.45,0,0
4684,1,30.95,139.62,3.33,1
4460,1,30.47,139.57,6.66,2
4689,1,30.53,139.21,9.99,3
4692,1,30.53,139.21,13.32,4
4696,1,29.7,138.79,16.65,5
4698,1,29.29,138.59,19.99,6
4700,1,29.29,138.59,23.32,7
4702,1,29.5,138.69,26.65,8
4704,1,29.6,138.79,29.98,9
4706,1,29.6,138.79,33.31,10
4708,1,29.6,138.79,36.64,11
4710,1,29.6,138.79,39.97,12
4712,1,29.6,138.79,43.3,13
4714,1,29.6,138.79,46.63,14
4716,1,29.6,138.79,49.96,15
4718,1,29.6,138.79,53.29,16
4720,1,29.6,138.79,56.62,17
4722,1,29.5,138.79,59.96,18
4724,1,29.19,138.59,63.29,19
4726,1,29.5,138.69,66.62,20
4728,1,29.5,138.69,69.95,21
4730,1,29.5,138.69,73.28,22
4732,1,28.57,138.17,76.61,23
4734,1,27.74,137.86,79.94,24
4736,1,27.01,137.41,83.27,25
4738,1,26.67,137.28,86.6,26
4740,1,25.98,137.14,89.93,27
4742,1,25.36,136.86,93.26,28
4744,1,25.36,136.86,96.6,29
4746,1,25.01,136.59,99.93,30
4748,1,24.12,136.03,103.26,31
4750,1,23.01,135.34,106.59,32
4752,1,21.84,134.52,109.92,33
4754,1,21.7,133.89,113.25,34
4756,1,21.08,133.89,116.58,35
4758,1,21.08,133.76,119.91,36
4760,1,20.73,133.41,123.24,37
4762,1,20.32,133.14,126.57,38
4764,1,20.32,133.14,129.9,39
4766,1,20.04,132.79,133.23,40
4768,1,20.04,132.79,136.57,41
4770,1,19.63,132.17,139.9,42
4772,1,19.63,132.17,143.23,43
4774,1,19.15,131.69,146.56,44
4776,1,18.87,131.48,149.89,45
4778,1,18.32,130.93,153.22,46
4780,1,17.84,130.65,156.55,47
4782,1,17.7,130.72,159.88,48
4784,1,17.22,130.03,163.21,49
4786,1,17.22,130.03,166.54,50
4788,1,16.94,129.34,169.87,51
4790,1,16.59,129.13,173.21,52
4792,1,16.32,128.65,176.54,53
4794,1,16.11,128.03,179.87,54
4796,1,16.11,128.03,183.2,55
4798,1,15.84,127.41,186.53,56
4800,1,15.7,126.72,189.86,57
4802,1,15.49,126.3,193.19,58
4804,1,15.49,126.3,196.52,59
4806,1,15.01,125.27,199.85,60
4808,1,15.01,125.06,203.18,61
4810,1,15.01,125.06,206.51,62
4812,1,15.01,125.06,209.85,63
4814,1,15.01,125.06,213.18,64
4816,1,15.01,125.06,216.51,65
4818,1,15.01,125.06,219.84,66
4820,1,14.94,124.92,223.17,67
4822,1,14.87,124.72,226.5,68
4824,1,14.59,123.96,229.83,69
4828,1,14.59,123.96,233.16,70
4830,1,14.59,123.96,236.49,71
4832,1,14.59,123.96,239.82,72
4834,1,14.59,123.96,243.15,73
4836,1,14.59,123.96,246.48,74
4838,1,14.59,123.54,249.82,75
4840,1,14.59,123.54,253.15,76
4842,1,14.59,123.54,256.48,77
4844,1,14.46,123.13,259.81,78
4846,1,14.46,123.13,263.14,79
4848,1,14.32,122.51,266.47,80
4850,1,14.32,122.51,269.8,81
4852,1,14.32,122.51,273.13,82
4854,1,14.32,122.51,276.46,83
4856,1,14.32,122.44,279.79,84
4858,1,14.32,122.44,283.12,85
4860,1,14.11,121.61,286.46,86
4862,1,14.11,121.61,289.79,87
4864,1,13.83,121.27,293.12,88
