Spot ID,Track ID,x (micrón),y (micrón),t (sec),Frame
2001,0,32.90850293,33.86125301,0,0
2064,0,32.88275293,33.88700302,3.334562814,1
2068,0,32.77975292,33.47500298,6.669125628,2
2071,0,32.72825291,33.06300294,10.00368844,3
2073,0,32.85700292,33.21750296,13.33825126,4
2077,0,32.77975292,33.08875294,16.67281407,5
2079,0,32.83125292,32.70250291,20.00737688,6
2081,0,32.80550292,33.01150294,23.3419397,7
2085,0,32.83125292,33.52650298,26.67650251,8
2087,0,32.72825291,33.55225299,30.01106533,9
2091,0,32.56516956,33.56083632,33.34562814,10
2093,0,32.63383624,33.44066964,36.68019095,11
2095,0,32.66816957,33.81833634,40.01475377,12
2097,0,32.53083623,34.14450304,43.34931658,13
2099,0,32.83983626,33.81833634,46.6838794,14
2103,0,32.9256696,33.3548363,50.01844221,15
2107,0,32.94283627,33.28616963,53.35300503,16
2109,0,32.94283627,33.26900296,56.68756784,17
2111,0,32.90850293,33.3033363,60.02213065,18
2113,0,32.9256696,33.21750296,63.35669347,19
2117,0,32.89133626,32.99433627,66.69125628,20
2121,0,32.94283627,32.94283627,70.0258191,21
2125,0,32.90850293,32.85700292,73.36038191,22
2127,0,32.9256696,32.68533624,76.69494472,23
2129,0,32.9771696,32.80550292,80.02950754,24
2131,0,32.75400292,33.11450295,83.36407035,25
2133,0,32.68533624,33.21750296,86.69863317,26
2135,0,32.63383624,33.66383633,90.03319598,27
2137,0,32.44500289,33.86983635,93.36775879,28
2139,0,32.46216956,33.81833634,96.70232161,29
2141,0,32.70250291,33.66383633,100.0368844,30
2145,0,32.80550292,33.59516966,103.3714472,31
2147,0,32.66816957,33.681003,106.7060101,32
2149,0,32.58233623,33.76683634,110.0405729,33
2151,0,32.61666957,33.71533633,113.3751357,34
2153,0,32.44500289,33.80116967,116.7096985,35
2155,0,32.58233623,33.732503,120.0442613,36
2161,0,32.5995029,33.80116967,123.3788241,37
2163,0,32.51366956,33.81833634,126.7133869,38
2165,0,32.42783622,33.86983635,130.0479497,39
2167,0,32.47933622,33.83550301,133.3825126,40
2171,0,32.47933622,33.81833634,136.7170754,41
2173,0,32.47933622,33.76683634,140.0516382,42
2175,0,32.53083623,33.80116967,143.386201,43
2177,0,32.46216956,33.83550301,146.7207638,44
2179,0,32.46216956,33.86983635,150.0553266,45
2181,0,32.47933622,33.88700302,153.3898894,46
2185,0,32.42783622,33.93850302,156.7244523,47
2187,0,32.35916955,34.02433636,160.0590151,48
2189,0,32.35916955,34.21316971,163.3935779,49
2191,0,32.30766954,34.38483639,166.7281407,50
2193,0,32.2218362,34.50500307,170.0627035,51
2199,0,32.23900287,34.50500307,173.3972663,52
2201,0,32.23900287,34.52216974,176.7318291,53
2203,0,32.20466953,34.53933641,180.066392,54
2205,0,32.23900287,34.4878364,183.4009548,55
2207,0,32.23900287,34.45350307,186.7355176,56
2209,0,32.42783622,34.33333639,190.0700804,57
2211,0,32.78833625,33.95566969,193.4046432,58
2215,0,32.75400292,33.97283636,196.739206,59
2219,0,32.77116958,34.0586697,200.0737688,60
2223,0,32.89133626,34.59083641,203.4083317,61
2227,0,32.80550292,34.47066973,206.7428945,62
2231,0,32.94283627,34.45350307,210.0774573,63
2235,0,32.82266959,35.07150312,213.4120201,64
2239,0,32.75400292,35.05433645,216.7465829,65
2243,0,32.68533624,35.15733646,220.0811457,66
2247,0,32.73683625,35.14016979,223.4157085,67
2249,0,32.68533624,35.36333648,226.7502714,68
2251,0,32.5995029,35.74100318,230.0848342,69
2255,0,32.56516956,35.84400319,233.419397,70
2257,0,32.5480029,35.91266986,236.7539598,71
2261,0,32.46216956,36.20450322,240.0885226,72
2265,0,32.1703362,37.06283663,243.4230854,73
2269,0,31.89566951,38.52200343,246.7576482,74
2273,0,31.87850284,38.5391701,250.0922111,75
2277,0,31.87850284,38.55633676,253.4267739,76
2279,0,32.18750286,39.26017016,256.7613367,77
2283,0,32.2218362,39.36317017,260.0958995,78
2285,0,32.32483621,39.56917019,263.4304623,79
2287,0,32.47933622,40.03267023,266.7650251,80
2289,0,32.51366956,39.99833689,270.0995879,81
2293,0,32.68533624,40.41033693,273.4341508,82
2295,0,32.99433627,40.83950363,276.7687136,83
2299,0,33.32050297,41.234337,280.1032764,84
2303,0,33.50933632,41.37167035,283.4378392,85
2307,0,33.86983635,41.59483704,286.772402,86
2311,0,34.17883638,41.90383706,290.1069648,87
2315,0,34.52216974,42.12700375,293.4415276,88
2319,0,34.71100309,42.19567042,296.7760905,89
2323,0,35.00283645,42.40167044,300.1106533,90
2325,0,35.67233651,42.6935038,303.4452161,91
2329,0,36.13583655,42.96817049,306.7797789,92
2335,0,36.35900324,42.98533716,310.1143417,93
2339,0,36.30750323,42.88233715,313.4489045,94
2343,0,36.46200325,42.89950382,316.7834673,95
2345,0,36.54783659,42.96817049,320.1180302,96
2347,0,36.7538366,43.0196705,323.452593,97
2349,0,36.63366993,43.05400383,326.7871558,98
2351,0,36.7023366,43.0196705,330.1217186,99
2353,0,36.7538366,43.10550384,333.4562814,100
2355,0,36.83966995,43.10550384,336.7908442,101
2357,0,36.97700329,43.19133718,340.125407,102
2359,0,37.68083669,43.41450386,343.4599698,103
2363,0,37.88683671,43.43167053,346.7945327,104
2365,0,38.11000339,43.58617055,350.1290955,105
2371,0,38.19583673,43.62050388,353.4636583,106
2375,0,38.23017007,43.65483722,356.7982211,107
2379,0,38.19583673,43.62050388,360.1327839,108
2381,0,38.14433673,43.56900388,363.4673467,109
2383,0,38.12717006,43.62050388,366.8019095,110
2385,0,38.09283672,43.56900388,370.1364724,111
2387,0,38.2130034,43.58617055,373.4710352,112
2389,0,38.11000339,43.56900388,376.805598,113
2391,0,38.14433673,43.62050388,380.1401608,114
2393,0,37.69800336,43.48317054,383.4747236,115
2397,0,37.76667003,43.48317054,386.8092864,116
2401,0,37.71517002,43.4488372,390.1438492,117
2403,0,38.00700338,43.53467054,393.4784121,118
2405,0,38.00700338,43.5003372,396.8129749,119
2407,0,37.93833671,43.5003372,400.1475377,120
2409,0,37.69800336,43.43167053,403.4821005,121
2413,0,37.88683671,43.48317054,406.8166633,122
2415,0,38.00700338,43.5003372,410.1512261,123
2417,0,37.98983671,43.51750387,413.4857889,124
2419,0,38.00700338,43.55183721,416.8203518,125
2421,0,38.02417005,43.53467054,420.1549146,126
2423,0,37.85250337,43.51750387,423.4894774,127
2425,0,37.86967004,43.53467054,426.8240402,128
2429,0,37.92117004,43.56900388,430.158603,129
2433,0,37.88683671,43.53467054,433.4931658,130
2435,0,37.81817003,43.46600387,436.8277286,131
2437,0,37.8353367,43.4488372,440.1622915,132
2439,0,37.80100336,43.53467054,443.4968543,133
2441,0,37.74950336,43.4488372,446.8314171,134
2443,0,37.8353367,43.5003372,450.1659799,135
2447,0,37.71517002,43.43167053,453.5005427,136
2451,0,37.71517002,43.43167053,456.8351055,137
2455,0,37.66367002,43.41450386,460.1696683,138
2459,0,37.68083669,43.4488372,463.5042312,139
2461,0,37.64650335,43.38017053,466.838794,140
2463,0,37.64650335,43.3973372,470.1733568,141
2465,0,37.66367002,43.43167053,473.5079196,142
2469,0,37.71517002,43.4488372,476.8424824,143
2471,0,37.69800336,43.48317054,480.1770452,144
2473,0,37.71517002,43.3973372,483.511608,145
2477,0,37.90400337,43.46600387,486.8461709,146
2479,0,37.81817003,43.5003372,490.1807337,147
2481,0,37.64650335,43.41450386,493.5152965,148
2483,0,37.86967004,43.48317054,496.8498593,149
2485,0,37.64650335,43.41450386,500.1844221,150
2487,0,37.62933668,43.41450386,503.5189849,151
2489,0,37.64650335,43.3973372,506.8535477,152
2493,0,37.54350334,43.38017053,510.1881106,153
2495,0,37.80100336,43.48317054,513.5226734,154
2499,0,37.93833671,43.5003372,516.8572362,155
2503,0,37.98983671,43.4488372,520.191799,156
2505,0,37.93833671,43.4488372,523.5263618,157
2507,0,37.90400337,43.48317054,526.8609246,158
2509,0,37.95550338,43.51750387,530.1954874,159
2511,0,37.69800336,43.46600387,533.5300503,160
2513,0,37.69800336,43.4488372,536.8646131,161
2517,0,37.62933668,43.38017053,540.1991759,162
2519,0,37.86967004,43.46600387,543.5337387,163
2523,0,37.92117004,43.5003372,546.8683015,164
2525,0,37.86967004,43.48317054,550.2028643,165
2527,0,37.86967004,43.4488372,553.5374271,166
2531,0,37.95550338,43.5003372,556.8719899,167
2535,0,38.04133672,43.53467054,560.2065528,168
2539,0,38.11000339,43.55183721,563.5411156,169
2541,0,38.1615034,43.60333721,566.8756784,170
2545,0,38.09283672,43.60333721,570.2102412,171
2549,0,38.09283672,43.60333721,573.544804,172
2551,0,38.09283672,43.60333721,576.8793668,173
2553,0,38.02417005,43.56900388,580.2139296,174
2555,0,38.04133672,43.62050388,583.5484925,175
2557,0,38.07567006,43.63767055,586.8830553,176
2561,0,38.11000339,43.65483722,590.2176181,177
2565,0,38.00700338,43.63767055,593.5521809,178
2567,0,37.98983671,43.62050388,596.8867437,179
2569,0,38.02417005,43.58617055,600.2213065,180
2573,0,37.71517002,43.51750387,603.5558693,181
2575,0,37.86967004,43.55183721,606.8904322,182
