Spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Info,Obs,vx,vy,speed
2001,0,32.90850293,33.86125301,0.0,0,Isolated,None,0.0,0.0,0.0
2064,0,32.88275293,33.88700302,3.334562814,1,Isolated,None,-0.007721139430283375,0.007721142428786503,0.010919342219542523
2068,0,32.77975292,33.47500298,6.669125628,2,Isolated,None,-0.030884560719640887,-0.12353824287856142,0.1273403060478795
2071,0,32.72825291,33.06300294,10.00368844,3,Isolated,None,-0.015442281859069878,-0.12353824287856142,0.1244996446683178
2073,0,32.85700292,33.21750296,13.33825126,4,Isolated,None,0.03860570014992426,0.04632684257871077,0.06030403325962958
2077,0,32.77975292,33.08875294,16.67281407,5,Isolated,None,-0.023163418290854384,-0.03860570314842526,0.04502159773377017
2079,0,32.83125292,32.70250291,20.00737688,6,Isolated,None,0.01544227886056888,-0.11581710044977492,0.11684205036287588
2081,0,32.80550292,33.01150294,23.3419397,7,Isolated,None,-0.007721139430283375,0.09265368215892053,0.09297483967024706
2085,0,32.83125292,33.52650298,26.67650251,8,Isolated,None,0.007721139430283375,0.15442280059969918,0.15461570857825646
2087,0,32.72825291,33.55225299,30.01106533,9,Isolated,None,-0.030884560719638757,0.007721142428786503,0.03183507705740101
2091,0,32.56516956,33.56083632,33.34562814,10,Isolated,None,-0.048900554722638934,0.002573712143928169,0.04896823711735607
2093,0,32.63383624,33.44066964,36.68019095,11,Isolated,None,0.020589709145427213,-0.03603198800599609,0.04149988291980515
2095,0,32.66816957,33.81833634,40.01475377,12,Isolated,None,0.010294851574213674,0.11324338830584675,0.11371037315884545
2097,0,32.53083623,34.14450304,43.34931658,13,Isolated,None,-0.041179412293854564,0.09780110944527574,0.10611692139142591
2099,0,32.83983626,33.81833634,46.6838794,14,Isolated,None,0.09265368215892053,-0.09780110944527574,0.1347210519047898
2103,0,32.9256696,33.3548363,50.01844221,15,Isolated,None,0.025737133433283554,-0.1389805217391303,0.14134350165551834
2107,0,32.94283627,33.28616963,53.35300503,16,Isolated,None,0.005147427286357336,-0.020589706146926217,0.02122338349286247
2109,0,32.94283627,33.26900296,56.68756784,17,Isolated,None,0.0,-0.005147427286357336,0.005147427286357336
2111,0,32.90850293,33.3033363,60.02213065,18,Isolated,None,-0.010294854572714672,0.010294854572712541,0.014559122959390255
2113,0,32.9256696,33.21750296,63.35669347,19,Isolated,None,0.005147427286357336,-0.025737133433283554,0.026246829237661796
2117,0,32.89133626,32.99433627,66.69125628,20,Isolated,None,-0.010294854572712541,-0.06691654872563699,0.06770382946350856
2121,0,32.94283627,32.94283627,70.0258191,21,Isolated,None,0.015442281859069878,-0.01544227886056888,0.021838682318824347
2125,0,32.90850293,32.85700292,73.36038191,22,Isolated,None,-0.010294854572714672,-0.02573713643178455,0.02771974426977341
2127,0,32.9256696,32.68533624,76.69494472,23,Isolated,None,0.005147427286357336,-0.05147426686656711,0.0517309980294108
2129,0,32.9771696,32.80550292,80.02950754,24,Isolated,None,0.01544227886057101,0.036031988005998224,0.03920163435460361
2131,0,32.75400292,33.11450295,83.36407035,25,Isolated,None,-0.06691654572713812,0.09265368215892053,0.11429142098013496
2133,0,32.68533624,33.21750296,86.69863317,26,Isolated,None,-0.020589709145427213,0.030884560719638757,0.03711862354045934
2135,0,32.63383624,33.66383633,90.03319598,27,Isolated,None,-0.01544227886056888,0.1338330944527751,0.13472104938432228
2137,0,32.44500289,33.86983635,93.36775879,28,Isolated,None,-0.056621694152924444,0.061769121439279644,0.08379403685303505
2139,0,32.46216956,33.81833634,96.70232161,29,Isolated,None,0.005147427286357336,-0.015442281859069878,0.016277594314986925
2141,0,32.70250291,33.66383633,100.0368844,30,Isolated,None,0.07206397301349332,-0.04632683958020977,0.0856702531336285
2145,0,32.80550292,33.59516966,103.3714472,31,Isolated,None,0.030884560719640887,-0.020589706146926217,0.03711862187719199
2147,0,32.66816957,33.681003,106.7060101,32,Isolated,None,-0.04117941529235343,0.025737133433281423,0.04856072776619646
2149,0,32.58233623,33.76683634,110.0405729,33,Isolated,None,-0.025737133433283554,0.025737133433283554,0.03639780315795562
2151,0,32.61666957,33.71533633,113.3751357,34,Isolated,None,0.010294854572712541,-0.015442281859069878,0.01855931301768088
2153,0,32.44500289,33.80116967,116.7096985,35,Isolated,None,-0.05147426686656711,0.025737133433283554,0.057549979902804575
2155,0,32.58233623,33.732503,120.0442613,36,Isolated,None,0.041179412293854564,-0.020589706146926217,0.046039982581274196
2161,0,32.5995029,33.80116967,123.3788241,37,Isolated,None,0.005147427286355206,0.020589706146926217,0.021223383492861955
2163,0,32.51366956,33.81833634,126.7133869,38,Isolated,None,-0.025737133433283554,0.005147427286357336,0.026246829237661796
2165,0,32.42783622,33.86983635,130.0479497,39,Isolated,None,-0.025737133433281423,0.015442281859069878,0.03001439831776561
2167,0,32.47933622,33.83550301,133.3825126,40,Isolated,None,0.01544227886056888,-0.010294854572714672,0.0185593105227785
2171,0,32.47933622,33.81833634,136.7170754,41,Isolated,None,0.0,-0.005147427286355206,0.005147427286355206
2173,0,32.47933622,33.76683634,140.0516382,42,Isolated,None,0.0,-0.01544227886057101,0.01544227886057101
2175,0,32.53083623,33.80116967,143.386201,43,Isolated,None,0.015442281859069878,0.010294851574213674,0.018559311354413136
2177,0,32.46216956,33.83550301,146.7207638,44,Isolated,None,-0.020589706146926217,0.010294854572712541,0.023019991961120916
2179,0,32.46216956,33.86983635,150.0553266,45,Isolated,None,0.0,0.010294854572714672,0.010294854572714672
2181,0,32.47933622,33.88700302,153.3898894,46,Isolated,None,0.005147424287856338,0.005147427286357336,0.007279559359435801
2185,0,32.42783622,33.93850302,156.7244523,47,Isolated,None,-0.01544227886056888,0.01544227886056888,0.021838680198563856
2187,0,32.35916955,34.02433636,160.0590151,48,Isolated,None,-0.020589706146928347,0.025737133433283554,0.03295961220311157
2189,0,32.35916955,34.21316971,163.3935779,49,Isolated,None,0.0,0.056621694152924444,0.056621694152924444
2191,0,32.30766954,34.38483639,166.7281407,50,Isolated,None,-0.015442281859069878,0.05147426686656498,0.05374071285780742
2193,0,32.2218362,34.50500307,170.0627035,51,Isolated,None,-0.025737133433283554,0.036031988005998224,0.04427983962286948
2199,0,32.23900287,34.50500307,173.3972663,52,Isolated,None,0.005147427286357336,0.0,0.005147427286357336
2201,0,32.23900287,34.52216974,176.7318291,53,Isolated,None,0.0,0.005147427286357336,0.005147427286357336
2203,0,32.20466953,34.53933641,180.066392,54,Isolated,None,-0.010294854572714672,0.005147427286355206,0.011509997321531327
2205,0,32.23900287,34.4878364,183.4009548,55,Isolated,None,0.010294854572714672,-0.015442281859069878,0.01855931301768206
2207,0,32.23900287,34.45350307,186.7355176,56,Isolated,None,0.0,-0.010294851574213674,0.010294851574213674
2209,0,32.42783622,34.33333639,190.0700804,57,Isolated,None,0.056621694152924444,-0.03603198800599609,0.06711423402238577
2211,0,32.78833625,33.95566969,193.4046432,58,Isolated,None,0.10809596101948941,-0.11324338830584675,0.15655287216693203
2215,0,32.75400292,33.97283636,196.739206,59,Isolated,None,-0.010294851574213674,0.005147427286357336,0.011509994639591532
2219,0,32.77116958,34.0586697,200.0737688,60,Isolated,None,0.005147424287856338,0.025737133433283554,0.02624682864960747
2223,0,32.89133626,34.59083641,203.4083317,61,Isolated,None,0.036031988005998224,0.15957022788605651,0.16358778006707103
2227,0,32.80550292,34.47066973,206.7428945,62,Isolated,None,-0.025737133433283554,-0.036031988005998224,0.04427983962286948
2231,0,32.94283627,34.45350307,210.0774573,63,Isolated,None,0.04117941529235343,-0.005147424287856338,0.041499882175969185
2235,0,32.82266959,35.07150312,213.4120201,64,Isolated,None,-0.036031988005998224,0.1853073613193422,0.188777970957423
2239,0,32.75400292,35.05433645,216.7465829,65,Isolated,None,-0.020589706146926217,-0.005147427286357336,0.02122338349286247
2243,0,32.68533624,35.15733646,220.0811457,66,Isolated,None,-0.020589709145427213,0.030884560719640887,0.03711862354046111
2247,0,32.73683625,35.14016979,223.4157085,67,Isolated,None,0.015442281859072008,-0.005147427286357336,0.016277594314988948
2249,0,32.68533624,35.36333648,226.7502714,68,Isolated,None,-0.015442281859072008,0.06691654872563699,0.06867523980566484
2251,0,32.5995029,35.74100318,230.0848342,69,Isolated,None,-0.025737133433283554,0.11324338830584675,0.11613124055288236
2255,0,32.56516956,35.84400319,233.419397,70,Isolated,None,-0.010294854572712541,0.030884560719640887,0.0325551857853474
2257,0,32.5480029,35.91266986,236.7539598,71,Isolated,None,-0.005147424287856338,0.020589706146926217,0.021223382765619258
2261,0,32.46216956,36.20450322,240.0885226,72,Isolated,None,-0.025737133433283554,0.0875062548725632,0.09121263442738968
2265,0,32.1703362,37.06283663,243.4230854,73,Isolated,None,-0.0875062548725632,0.2573713373313344,0.27184067010206825
2269,0,31.89566951,38.52200343,246.7576482,74,Isolated,None,-0.08235882758620693,0.43753127436281813,0.4452152204573943
2273,0,31.87850284,38.5391701,250.0922111,75,Isolated,None,-0.005147427286357336,0.005147427286357336,0.0072795614796958815
2277,0,31.87850284,38.55633676,253.4267739,76,Isolated,None,0.0,0.005147424287856338,0.005147424287856338
