Spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Info,Obs,vx,vy,speed
2001,0,32.90850293,33.86125301,0.0,0,Isolated,No obs,0.0,0.0,0.0
2064,0,32.88275293,33.88700302,3.334562814,1,Isolated,No obs,-0.0077211394302833,0.0077211424287865,0.0109193422195425
2068,0,32.77975292,33.47500298,6.669125628,2,Isolated,No obs,-0.0308845607196408,-0.1235382428785614,0.1273403060478795
2071,0,32.72825291,33.06300294,10.00368844,3,Isolated,No obs,-0.0154422818590698,-0.1235382428785614,0.1244996446683178
2073,0,32.85700292,33.21750296,13.33825126,4,Isolated,No obs,0.0386057001499242,0.0463268425787107,0.0603040332596295
2077,0,32.77975292,33.08875294,16.67281407,5,Isolated,No obs,-0.0231634182908543,-0.0386057031484252,0.0450215977337701
2079,0,32.83125292,32.70250291,20.00737688,6,Isolated,No obs,0.0154422788605688,-0.1158171004497749,0.1168420503628758
2081,0,32.80550292,33.01150294,23.3419397,7,Isolated,No obs,-0.0077211394302833,0.0926536821589205,0.092974839670247
2085,0,32.83125292,33.52650298,26.67650251,8,Isolated,No obs,0.0077211394302833,0.1544228005996991,0.1546157085782564
2087,0,32.72825291,33.55225299,30.01106533,9,Isolated,No obs,-0.0308845607196387,0.0077211424287865,0.031835077057401
2091,0,32.56516956,33.56083632,33.34562814,10,Isolated,No obs,-0.0489005547226389,0.0025737121439281,0.048968237117356
2093,0,32.63383624,33.44066964,36.68019095,11,Isolated,No obs,0.0205897091454272,-0.036031988005996,0.0414998829198051
2095,0,32.66816957,33.81833634,40.01475377,12,Isolated,No obs,0.0102948515742136,0.1132433883058467,0.1137103731588454
2097,0,32.53083623,34.14450304,43.34931658,13,Isolated,No obs,-0.0411794122938545,0.0978011094452757,0.1061169213914259
2099,0,32.83983626,33.81833634,46.6838794,14,Isolated,No obs,0.0926536821589205,-0.0978011094452757,0.1347210519047898
2103,0,32.9256696,33.3548363,50.01844221,15,Isolated,No obs,0.0257371334332835,-0.1389805217391303,0.1413435016555183
