spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Classification
2635,0,73.12276324,140.6047754,330.9574962,99,Back
2638,0,73.07101323,140.6824005,334.3005013,100,Back
2641,0,73.35563828,140.5789004,337.6435063,101,Back
2644,0,73.35563828,141.3034006,340.9865113,102,Back
2647,0,73.32976327,141.5880256,344.3295163,103,Back
2650,0,73.4591383,141.5621506,347.6725213,104,Back
2653,0,73.4591383,141.5880256,351.0155263,105,Back
2656,0,73.53676331,141.8209007,354.3585313,106,Back
2659,0,73.74376335,142.2349007,357.7015363,107,Back
2662,0,73.79551336,142.4160258,361.0445414,108,Back
2665,0,73.79551336,142.3901508,364.3875464,109,Back
2668,0,73.4850133,140.3719004,367.7305514,110,Back
2671,0,74.36476346,139.5180253,371.0735564,111,Back
2674,0,74.72701353,138.9746502,374.4165614,112,Back
2677,0,75.58088868,138.6641501,377.7595664,113,Back
2680,0,75.29626363,138.14665,381.1025714,114,Back
2683,0,75.91726374,137.1116498,384.4455764,115,Back
2686,0,76.71938889,135.7920246,387.7885815,116,Back
2689,0,76.87463891,135.1968995,391.1315865,117,Back
2692,0,77.13338896,134.9898994,394.4745915,118,Back
2695,0,77.78026408,133.9807743,397.8175965,119,Back
2698,0,77.62501405,133.4632742,401.1606015,120,Back
2701,0,78.24601416,133.2045241,404.5036065,121,Back
2704,0,78.68588924,133.2303991,407.8466115,122,Back
2707,0,78.68588924,133.2303991,411.1896165,123,Back
2710,0,78.78938926,133.1786491,414.5326216,124,Back
2713,0,78.91876428,133.0233991,417.8756266,125,Back
2716,0,78.94463929,132.9457741,421.2186316,126,Back
2719,0,79.61738941,132.738774,424.5616366,127,Back
2722,0,79.90201446,132.738774,427.9046416,128,Back
2725,0,79.90201446,132.738774,431.2476466,129,Back
2728,0,79.90201446,132.842274,434.5906516,130,Back
2731,0,79.97963948,132.816399,437.9336566,131,Back
2734,0,79.82438945,132.842274,441.2766617,132,Back
2737,0,80.0831395,132.790524,444.6196667,133,Back
2740,0,80.0831395,132.790524,447.9626717,134,Back
2743,0,80.0831395,132.790524,451.3056767,135,Back
2746,0,80.0831395,132.790524,454.6486817,136,Back
2749,0,80.0831395,132.790524,457.9916867,137,Back
2752,0,80.00551448,132.790524,461.3346917,138,Back
2755,0,80.05726449,132.764649,464.6776967,139,Back
2758,0,80.05726449,132.764649,468.0207018,140,Back
2761,0,80.05726449,132.764649,471.3637068,141,Back
2764,0,80.05726449,132.764649,474.7067118,142,Back
2767,0,80.05726449,132.764649,478.0497168,143,Back
2770,0,80.05726449,132.764649,481.3927218,144,Back
2773,0,80.21251452,132.764649,484.7357268,145,Back
2776,0,80.21251452,132.764649,488.0787318,146,Back
2779,0,80.21251452,132.764649,491.4217368,147,Back
2782,0,80.21251452,132.764649,494.7647419,148,Back
2785,0,80.03138949,132.764649,498.1077469,149,Back
2788,0,79.85026445,132.764649,501.4507519,150,Back
2791,0,79.90201446,132.764649,504.7937569,151,Back
2794,0,79.90201446,132.764649,508.1367619,152,Back
2797,0,79.90201446,132.764649,511.4797669,153,Back
2800,0,79.97963948,132.687024,514.8227719,154,Back
2803,0,79.97963948,132.687024,518.1657769,155,Back
2806,0,79.95376447,132.816399,521.508782,156,Back
2809,0,80.00551448,132.764649,524.851787,157,Back
2812,0,79.33276436,132.842274,528.194792,158,Back
2815,0,79.33276436,132.842274,531.537797,159,Back
2818,0,79.97963948,132.687024,534.880802,160,Back
2821,0,75.60676368,133.1527741,538.223807,161,Back
2824,0,76.7711389,132.9716491,541.566812,162,Back
2827,0,76.7711389,132.9716491,544.909817,163,Back
2830,0,76.61588887,133.0492741,548.2528221,164,Back
2833,0,74.5717635,133.7737742,551.5958271,165,Back
2836,0,74.93401356,132.583524,554.9388321,166,Back
2839,0,74.31301345,132.816399,558.2818371,167,Back
2842,0,72.96751321,131.6520238,561.6248421,168,Back
2845,0,76.7970139,134.9295244,564.9678471,169,Back
2848,0,77.38351401,134.4465243,568.3108521,170,Back
2851,0,76.83151391,134.4810243,571.6538571,171,Back
2854,0,75.10651359,132.411024,574.9968622,172,Back
2857,0,75.21001361,132.756024,578.3398672,173,Back
2860,0,74.72701353,132.1695239,581.6828722,174,Back
2863,0,73.62301333,132.9285241,585.0258772,175,Back
2866,0,74.65801351,130.2375236,588.3688822,176,Back
2869,0,75.24451362,131.5140238,591.7118872,177,Back
2872,0,74.38201346,132.376524,595.0548922,178,Back
2875,0,75.58951368,133.5840242,598.3978972,179,Back
2878,0,75.93451374,133.1700241,601.7409023,180,Back
2881,0,75.65851369,133.2735241,605.0839073,181,Back
2884,0,75.34801364,132.0660239,608.4269123,182,Back
2952,0,75.1410136,131.5830238,611.7699173,183,Back
2893,0,74.72701353,131.2380238,615.1129223,184,Back
2896,0,74.72701353,131.3070238,618.4559273,185,Back
2899,0,74.72701353,131.3070238,621.7989323,186,Back
2902,0,74.83051354,131.3760238,625.1419373,187,Back
2905,0,74.83051354,131.3760238,628.4849424,188,Back
2908,0,74.83051354,131.3760238,631.8279474,189,Back
2911,0,74.83051354,131.2725238,635.1709524,190,Back
2914,0,74.83051354,131.1690237,638.5139574,191,Back
2917,0,74.69251352,130.6860237,641.8569624,192,Back
2920,0,74.69251352,130.2030236,645.1999674,193,Back
2923,0,75.17551361,129.9270235,648.5429724,194,Back
2926,0,75.17551361,129.9270235,651.8859774,195,Back
2929,0,75.17551361,129.9270235,655.2289825,196,Back
2932,0,75.03751358,129.8235235,658.5719875,197,Back
2935,0,75.03751358,129.8235235,661.9149925,198,Back
2938,0,75.34801364,129.8235235,665.2579975,199,Back
2941,0,75.34801364,129.7545235,668.6010025,200,Back
2944,0,75.34801364,129.6855235,671.9440075,201,Back
2958,2,86.72273134,32.9814954,0,0,Back
2961,2,87.04351575,33.22350601,3.343005013,1,Back
2964,2,87.40576582,32.96475597,6.686010025,2,Back
2967,2,87.76801589,32.86125595,10.02901504,3,Back
2970,2,88.07851594,33.12000599,13.37202005,4,Back
2973,2,88.13026595,33.12000599,16.71502506,5,Back
2976,2,88.44076601,33.22350601,20.05803008,6,Back
2979,2,88.64776605,33.171756,23.40103509,7,Back
2982,2,88.90651609,33.12000599,26.7440401,8,Back
2985,2,88.9410161,33.08550599,30.08704511,9,Back
2988,2,89.14801614,32.94750596,33.43005013,10,Back
2991,2,89.56201621,33.154506,36.77305514,11,Back
2994,2,90.28651634,33.05100598,40.11606015,12,Back
2997,2,91.1490165,32.98200597,43.45906516,13,Back
3000,2,91.80451662,32.77500593,46.80207018,14,Back
3003,2,92.39101672,32.25750584,50.14507519,15,Back
3006,2,92.49451674,32.15400582,53.4880802,16,Back
3009,2,92.87401681,32.11950581,56.83108521,17,Back
3012,2,92.66701677,31.91250578,60.17409023,18,Back
3015,2,92.8050168,31.77450575,63.51709524,19,Back
3018,2,92.8050168,31.77450575,66.86010025,20,Back
3021,2,93.04651684,31.74000574,70.20310526,21,Back
3024,2,93.84001699,31.70550574,73.54611028,22,Back
3027,2,94.73701715,31.53300571,76.88911529,23,Back
3030,2,95.08201721,31.56750571,80.2321203,24,Back
3033,2,95.11651722,31.08450563,83.57512531,25,Back
3036,2,95.63401731,31.15350564,86.91813033,26,Back
3039,2,95.53051729,30.9465056,90.26113534,27,Back
3042,2,96.01351738,31.25700566,93.60414035,28,Back
3045,2,96.49651747,31.39500568,96.94714536,29,Back
3048,2,97.49701765,31.98150579,100.2901504,30,Back
3051,2,98.08351775,31.84350576,103.6331554,31,Back
3054,2,98.29051779,31.94700578,106.9761604,32,Back
3057,2,98.56651784,32.01600579,110.3191654,33,Back
3060,2,99.63601803,32.36100586,113.6621704,34,Back
3063,2,100.7055182,33.18900601,117.0051754,35,Back
3066,2,101.0850183,33.29250603,120.3481805,36,Back
3069,2,101.6370184,33.25800602,123.6911855,37,Back
3072,2,102.0510185,33.39600604,127.0341905,38,Back
3075,2,102.1545185,33.39600604,130.3771955,39,Back
3078,2,102.8445186,33.18900601,133.7202005,40,Back
3081,2,103.8105188,33.46500606,137.0632055,41,Back
3084,2,104.742019,33.60300608,140.4062105,42,Back
3087,2,105.6045191,34.01700616,143.7492155,43,Back
3090,2,106.4670193,34.39650623,147.0922206,44,Back
3093,2,107.0190194,34.67250628,150.4352256,45,Back
3096,2,108.3645196,35.08650635,153.7782306,46,Back
3099,2,109.0890197,35.60400644,157.1212356,47,Back
3102,2,109.2701448,35.65575645,160.4642406,48,Back
3105,2,110.0722699,36.04388152,163.8072456,49,Back
3108,2,110.770895,36.12150654,167.1502506,50,Back
3111,2,111.1848951,36.53550661,170.4932556,51,Back
3114,2,111.6506452,36.58725662,173.8362607,52,Back
3117,2,111.5471452,36.58725662,177.1792657,53,Back
3120,2,111.5471452,36.43200659,180.5222707,54,Back
3123,2,111.7023952,36.35438158,183.8652757,55,Back
3126,2,112.5303954,36.61313163,187.2082807,56,Back
3129,2,112.6338954,36.92363168,190.5512857,57,Back
3132,2,112.6338954,36.92363168,193.8942907,58,Back
3135,2,112.7115204,36.79425666,197.2372957,59,Back
3138,2,112.7632704,36.66488164,200.5803008,60,Back
3141,2,112.7373954,36.58725662,203.9233058,61,Back
3144,2,112.8667704,36.43200659,207.2663108,62,Back
3147,2,112.8150204,36.30263157,210.6093158,63,Back
3150,2,112.8150204,36.22500656,213.9523208,64,Back
3153,2,113.0737705,36.12150654,217.2953258,65,Back
3156,2,113.0737705,35.8886315,220.6383308,66,Back
3159,2,113.1513955,35.96625651,223.9813358,67,Back
3162,2,112.9185204,35.75925647,227.3243409,68,Back
3165,2,112.3233953,35.73338147,230.6673459,69,Back
3168,2,111.8576452,35.86275649,234.0103509,70,Back
3171,2,111.4695202,35.42288141,237.3533559,71,Back
3174,2,111.2107701,35.24175638,240.6963609,72,Back
3177,2,111.1331451,35.21588137,244.0393659,73,Back
3180,2,110.9778951,35.13825636,247.3823709,74,Back
3194,2,110.770895,35.03475634,250.7253759,75,Back
3183,2,110.512145,34.62075627,254.068381,76,Back
3186,2,110.27927,34.28438121,257.411386,77,Back
3189,2,110.1240199,34.05150616,260.754391,78,Back
3201,2,110.0463949,33.76688111,264.097396,79,Back
3207,2,109.9687699,33.84450613,267.440401,80,Back
3210,2,109.9428949,33.89625614,270.783406,81,Back
3213,2,109.9428949,33.84450613,274.126411,82,Back
3216,2,110.0722699,34.02563116,277.469416,83,Back
3219,2,109.9170199,33.92213114,280.8124211,84,Back
3222,2,109.9170199,33.84450613,284.1554261,85,Back
3225,2,109.9170199,33.84450613,287.4984311,86,Back
3228,2,109.7617699,33.99975615,290.8414361,87,Back
3231,2,109.4512698,33.87038113,294.1844411,88,Back
3234,2,109.4512698,33.81863112,297.5274461,89,Back
3237,2,109.3995198,33.7151311,300.8704511,90,Back
3240,2,109.1148947,33.22350601,304.2134561,91,Back
3243,2,108.9596447,32.91300596,307.5564612,92,Back
3246,2,108.8820197,32.65425591,310.8994662,93,Back
3249,2,108.8043947,32.70600592,314.2424712,94,Back
3252,2,108.8043947,32.6025059,317.5854762,95,Back
3255,2,108.6491447,32.68013092,320.9284812,96,Back
3258,2,108.1833946,33.24938102,324.2714862,97,Back
3261,2,108.3127696,33.53400607,327.6144912,98,Back
3264,2,108.1057696,33.66338109,330.9574962,99,Back
3267,2,107.3812694,33.6892561,334.3005013,100,Back
3270,2,107.3812694,33.81863112,337.6435063,101,Back
3273,2,107.7693945,33.7151311,340.9865113,102,Back
3276,2,107.9505195,33.79275612,344.3295163,103,Back
3279,2,108.3903946,33.79275612,347.6725213,104,Back
3282,2,108.7008947,33.81863112,351.0155263,105,Back
3285,2,109.1148947,33.94800614,354.3585313,106,Back
3288,2,109.2442698,33.92213114,357.7015363,107,Back
3291,2,109.2960198,33.92213114,361.0445414,108,Back
3294,2,109.3736448,34.2585062,364.3875464,109,Back
3297,2,109.3995198,34.2585062,367.7305514,110,Back
3300,2,109.2442698,34.20675619,371.0735564,111,Back
3303,2,109.1148947,34.12913118,374.4165614,112,Back
3306,2,109.1148947,34.2585062,377.7595664,113,Back
3309,2,108.9855197,34.15500618,381.1025714,114,Back
3312,2,108.8561447,34.28438121,384.4455764,115,Back
3315,2,108.8561447,34.28438121,387.7885815,116,Back
3318,2,108.8820197,34.2326312,391.1315865,117,Back
3321,2,108.8820197,34.2326312,394.4745915,118,Back
3324,2,108.8820197,34.2326312,397.8175965,119,Back
3327,2,108.2351446,34.67250628,401.1606015,120,Back
3330,2,108.2351446,34.67250628,404.5036065,121,Back
3333,2,108.2351446,34.67250628,407.8466115,122,Back
3336,2,108.2351446,34.67250628,411.1896165,123,Back
3339,2,107.7952695,34.75013129,414.5326216,124,Back
3342,2,107.7952695,34.75013129,417.8756266,125,Back
3345,2,107.7952695,34.75013129,421.2186316,126,Back
3348,2,107.2001444,35.06063135,424.5616366,127,Back
3351,2,107.0707694,35.03475634,427.9046416,128,Back
3354,2,107.0707694,35.03475634,431.2476466,129,Back
3357,2,107.1742694,35.03475634,434.5906516,130,Back
3360,2,107.0707694,35.11238136,437.9336566,131,Back
3363,2,106.8120193,35.19000637,441.2766617,132,Back
3366,2,106.7085193,35.24175638,444.6196667,133,Back
3369,2,105.7252691,35.39700641,447.9626717,134,Back
3372,2,105.104269,35.42288141,451.3056767,135,Back
3375,2,104.3021439,35.52638143,454.6486817,136,Back
3378,2,104.1210188,36.04388152,457.9916867,137,Back
3381,2,103.5000187,36.4837566,461.3346917,138,Back
3384,2,102.9048936,36.74250665,464.6776967,139,Back
3387,2,102.1027685,36.79425666,468.0207018,140,Back
3390,2,101.6111434,36.76838166,471.3637068,141,Back
3393,2,101.5593934,36.69075664,474.7067118,142,Back
3396,2,101.4041434,36.63900663,478.0497168,143,Back
3399,2,101.1712683,36.74250665,481.3927218,144,Back
3402,2,100.8090182,37.07888171,484.7357268,145,Back
3405,2,100.3173932,37.36350676,488.0787318,146,Back
3408,2,99.77401806,37.67400682,491.4217368,147,Back
3411,2,98.8942679,38.03625688,494.7647419,148,Back
3414,2,98.68726786,38.70900701,498.1077469,149,Back
3417,2,98.06626775,38.83838203,501.4507519,150,Back
3420,2,97.88514272,38.94188205,504.7937569,151,Back
3423,2,97.47114264,38.99363206,508.1367619,152,Back
3426,2,96.85014253,38.63138199,511.4797669,153,Back
3429,2,96.28089243,38.45025696,514.8227719,154,Back
3432,2,96.09976739,38.45025696,518.1657769,155,Back
3435,2,95.87551735,38.60550699,521.508782,156,Back
3438,2,95.61676731,38.19150691,524.851787,157,Back
3441,2,95.46151728,38.00175688,528.194792,158,Back
3444,2,95.27176724,37.67400682,531.537797,159,Back
3447,2,95.15101722,37.89825686,534.880802,160,Back
3450,2,95.0475172,37.74300683,538.223807,161,Back
3453,2,95.0475172,37.74300683,541.566812,162,Back
3456,2,94.96126719,37.65675682,544.909817,163,Back
3459,2,94.87501717,37.63950681,548.2528221,164,Back
3462,2,95.0302672,37.77750684,551.5958271,165,Back
3465,2,95.39251727,37.89825686,554.9388321,166,Back
3468,2,95.47876728,38.17425691,558.2818371,167,Back
3471,2,96.08251739,38.41575695,561.6248421,168,Back
3474,2,96.77251752,38.691757,564.9678471,169,Back
3477,2,96.78976752,39.2092571,568.3108521,170,Back
3480,2,97.2210176,39.93375723,571.6538571,171,Back
3483,2,97.54876766,40.38225731,574.9968622,172,Back
3486,2,97.75576769,40.72725737,578.3398672,173,Back
3489,2,97.61776767,40.98600742,581.6828722,174,Back
3492,2,97.65226768,41.53800752,585.0258772,175,Back
3495,2,98.16976777,42.14175763,588.3688822,176,Back
3498,2,98.84251789,42.65925772,591.7118872,177,Back
3501,2,98.99776792,43.0905078,595.0548922,178,Back
3504,2,99.17026795,43.34925785,598.3978972,179,Back
3507,2,99.69639305,43.72875791,601.7409023,180,Back
3510,2,100.3173932,44.09100798,605.0839073,181,Back
3513,2,100.3173932,44.06513298,608.4269123,182,Back
3516,2,100.9125183,44.58263307,611.7699173,183,Back
3519,2,101.1195183,44.94488314,615.1129223,184,Back
3522,2,101.3782683,45.10013316,618.4559273,185,Back
3525,2,101.8698934,45.46238323,621.7989323,186,Back
3528,2,102.0510185,45.51413324,625.1419373,187,Back
3531,2,101.9992685,45.82463329,628.4849424,188,Back
3534,2,101.9216434,45.92813331,631.8279474,189,Back
3537,2,102.0510185,45.97988332,635.1709524,190,Back
3540,2,102.0510185,45.97988332,638.5139574,191,Back
3543,2,102.2062685,46.13513335,641.8569624,192,Back
3546,2,102.2062685,46.13513335,645.1999674,193,Back
3549,2,102.2062685,46.13513335,648.5429724,194,Back
3552,2,102.2062685,46.13513335,651.8859774,195,Back
3555,2,102.4391435,46.26450837,655.2289825,196,Back
3558,2,102.2062685,46.10925835,658.5719875,197,Back
3567,2,102.4650185,46.34213339,661.9149925,198,Back
3570,2,102.4650185,46.34213339,665.2579975,199,Back
3573,2,102.4650185,46.34213339,668.6010025,200,Back
3576,2,102.6720186,46.34213339,671.9440075,201,Back
5577,3,86.42251564,21.99375398,0,0,Back
5637,3,86.57776567,23.59800427,3.343005013,1,Back
5640,3,86.94001574,23.85675432,6.686010025,2,Back
5643,3,86.94001574,23.85675432,10.02901504,3,Back
5646,3,86.78476571,24.11550436,13.37202005,4,Back
5649,3,86.7330157,24.52950444,16.71502506,5,Back
5652,3,86.94001574,25.56450463,20.05803008,6,Back
