,spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation,distance to nearest AC
65,2533,0,62.92801139,146.2455265,217.2953258,65,Back,2031.492062340308,0.2482759070464771,-0.1008620689655098,0.2679814974503915,0.0664566217598111,11.76048550743516
66,2536,0,63.67838653,146.1679015,220.6383308,66,Back,2082.321261693519,0.2250000419790092,-0.023275862068969,0.2262007618148302,0.0582097411130659,11.422009530337817
67,2539,0,63.91126157,145.9350264,223.9813358,67,Back,2087.2341658752384,0.0698275982009005,-0.0698276161919043,0.0987511491252143,0.0173365104895836,11.126750233231444
68,2542,0,64.22176162,145.6504014,227.3243409,68,Back,2095.4761315993283,0.0931034632683641,-0.0853448275862085,0.1263012053318704,0.0124606170888696,10.760865252440766
69,2545,0,64.76513672,145.2105263,230.6673459,69,Back,2113.746772289987,0.1629310644677678,-0.1318965817091438,0.2096264297152359,0.0264261374011274,10.18712502130234
70,2548,0,65.56726187,144.7189012,234.0103509,70,Back,2150.4424904050456,0.24051728635682,-0.1474138230884537,0.2820982103346324,0.0586311168510591,9.526029578590318
71,2551,0,65.80013691,144.7447762,237.3533559,71,Back,2169.9209383025063,0.0698275982009026,0.0077586206896506,0.070257310406196,0.0156510164943408,9.509209695742898
72,2554,0,66.49876204,144.3049011,240.6963609,72,Back,2203.046797287777,0.2094827976011983,-0.1318965817091438,0.2475474717248824,0.0136043450731547,8.978364848670735
73,2557,0,67.06801214,144.1755261,244.0393659,73,Back,2242.309217208764,0.1706896851574185,-0.0387931034482704,0.1750424905395455,0.0408732305071598,8.80920577653224
74,2560,0,67.04213713,143.9944011,247.3823709,74,Back,2231.303716549124,-0.0077586236881538,-0.0543103448275888,0.0548617334471485,0.000782549790622,8.629288310396523
75,2563,0,67.17151216,143.916776,250.7253759,75,Back,2237.9662884371533,0.0387931124437797,-0.0232758920539747,0.0452401671524766,0.0009631405624775,8.547131844290458
76,2566,0,67.27501218,143.9685261,254.068381,76,Back,2248.893684620624,0.0310344887556217,0.0155172713643155,0.0346976253210017,0.000842746078684,8.596601748538173
77,2569,0,67.27501218,143.9685261,257.411386,77,Back,2248.893684620624,0.0,0.0,0.0,0.0,8.596601748538173
78,2572,0,67.71488726,143.813276,260.754391,78,Back,2277.229154842132,0.1318965757121418,-0.0465517541229353,0.1398705562172074,0.0,8.445744870819063
79,2575,0,68.20651235,143.528651,264.097396,79,Back,2304.05531918232,0.1474138200899548,-0.0853448275862085,0.1703366488728519,0.0234163295119682,8.194356785788841
80,2578,0,68.98276249,142.6489008,267.440401,80,Back,2327.5946023806614,0.2327586626686662,-0.2637931634182877,0.3518002673585302,0.0568252256733715,7.443733591176667
81,2581,0,69.47438757,142.3125258,270.783406,81,Back,2353.963709998248,0.1474138170914559,-0.1008620689655184,0.1786168816922919,0.0609185671664182,7.239791888783567
82,2584,0,69.65551261,142.3125258,274.126411,82,Back,2369.5029507253985,0.0543103568215885,0.0,0.0543103568215885,0.0080060970066693,7.293480320485881
83,2587,0,69.88838765,142.1831507,277.469416,83,Back,2383.6855248340976,0.0698275982008984,-0.0387931334332846,0.0798799140715532,0.0037923617742853,7.246764942033315
84,2590,0,70.22476271,142.0020257,280.8124211,84,Back,2404.6810974927776,0.1008620869565201,-0.0543103448275888,0.1145546775147843,0.0091498257354083,7.201475009985592
85,2593,0,70.04363768,142.3384008,284.1554261,85,Back,2404.204850585741,-0.0543103538230854,0.1008620989505241,0.1145546923399214,-0.0109557110039807,7.446313816835576
86,2596,0,70.04363768,142.2607757,287.4984311,86,Back,2400.661099173117,0.0,-0.0232758920539662,0.0232758920539662,-0.0023476553275088,7.373753131727869
87,2599,0,70.04363768,142.2607757,290.8414361,87,Back,2400.661099173117,0.0,0.0,0.0,0.0,7.373753131727869
88,2602,0,70.84576282,142.2349007,294.1844411,88,Back,2469.710502048936,0.2405172833583211,-0.0077586206896591,0.2406423898424236,0.0,7.673543956107566
89,2605,0,71.31151291,141.9761507,297.5274461,89,Back,2499.3664868431124,0.1396551994002999,-0.0775862068965493,0.1597598016402489,0.0341914511166845,7.669132944993676
90,2608,0,71.59613796,141.6656506,300.8704511,90,Back,2510.982808216513,0.0853448425787071,-0.0931034782608734,0.1263012265144612,0.019142396735253,7.557303177583474
91,2611,0,72.11363805,141.2516506,304.2134561,91,Back,2539.547036124189,0.155172440779614,-0.1241379310344789,0.1987176698208387,0.0248008406943083,7.52816959865998
92,2614,0,72.65701315,140.6824005,307.5564612,92,Back,2564.759441693574,0.1629310644677636,-0.1706896851574227,0.2359692784828962,0.0464714753166525,7.463939150299474
93,2617,0,72.78638817,140.6565255,310.8994662,93,Back,2575.578817989264,0.0387931094452766,-0.0077586206896591,0.0395613641756603,0.0076449191387071,7.537270042085933
94,2620,0,72.9416382,140.4754004,314.2424712,94,Back,2582.2817850076976,0.0465517331334347,-0.0543103748125859,0.0715309769960546,0.0022272600759967,7.524788949945347
95,2623,0,73.01926322,140.2684004,317.5854762,95,Back,2580.819787634844,0.0232758680659667,-0.0620689655172479,0.066289686336606,0.0044545207801271,7.444297241588685
96,2626,0,72.99338821,140.3977754,320.9284812,96,Back,2583.8192172574154,-0.0077586236881538,0.0387931034482789,0.0395613588831735,-0.0025884365015772,7.510754019909873
97,2629,0,73.04513822,140.3460254,324.2714862,97,Back,2586.4535394714767,0.0155172443778087,-0.0155172413793098,0.0219446953294959,-0.000722354409864,7.5149514377080315
98,2632,0,73.12276324,140.7082755,327.6144912,98,Back,2608.912897616621,0.0232758680659667,0.1086207196401833,0.1110865733082787,-0.0013243165925658,7.815971083027096
99,2635,0,73.12276324,140.6047754,330.9574962,99,Back,2604.5280115830697,0.0,-0.0310345127436339,0.0310345127436339,-0.0033709911078959,7.745689972227164
100,2638,0,73.07101323,140.6824005,334.3005013,100,Back,2603.009330006936,-0.0155172443778087,0.0232758920539747,0.0279741313357345,-0.0007223559685685,7.760507936544839
101,2641,0,73.35563828,140.5789004,337.6435063,101,Back,2625.125444069598,0.0853448425787071,-0.0310345127436254,0.0908123512305377,-0.0020466727472477,7.901906305111547
102,2644,0,73.35563828,141.3034006,340.9865113,102,Back,2656.232046932749,0.0,0.2172414392803581,0.2172414392803581,-0.0067419822157897,8.39692655419361
103,2647,0,73.32976327,141.5880256,344.3295163,103,Back,2666.324326370488,-0.0077586236881538,0.0853448275862085,0.0856967667841327,0.0185404331799619,8.582441485670419
104,2650,0,73.4591383,141.5621506,347.6725213,104,Back,2677.270911623525,0.0387931124437797,-0.0077586206896591,0.0395613671159345,-0.0009631393062092,8.65364443719566
105,2653,0,73.4591383,141.5880256,351.0155263,105,Back,2678.4146676899013,0.0,0.0077586206896591,0.0077586206896591,-6.019619500600625e-05,8.672169284820411
