,spot ID,Track ID,x (micron),y (micron),t (sec),Frame,Classification,squared displacement,vx,vy,speed
0,2001,0,26.66850483,119.4735216,0.0,0,Back,0.0,,,
1,2338,0,27.56550499,118.9905215,3.343005013,1,Back,1.0378983836400357,0.2689655652173916,-0.14482761619190349,0.30547915425531125
2,2343,0,28.1865051,118.8525215,6.686010025,2,Back,2.6899659439200927,0.18620692953523257,-0.041379310344829154,0.1907492278662033
3,2347,0,28.87650523,118.6455215,10.02901504,3,Back,5.560849932000163,0.20689659070464703,-0.06206896551723947,0.2160063789002225
4,2350,0,29.2905053,118.4557714,13.37202005,4,Back,7.910701934280249,0.12413795202398806,-0.05689658170914474,0.13655567415122427
5,2353,0,29.91150541,117.9900214,16.71502506,5,Back,12.717825605280362,0.18620692953523257,-0.13965517241379308,0.23275864707646274
6,2356,0,30.99825561,117.7312713,20.05803008,6,Back,21.78217792476069,0.3258621289355325,-0.07758623688155931,0.33497126925728876
7,2359,0,31.61925572,117.8347713,23.40103509,7,Back,27.195436920585895,0.18620692953523257,0.031034482758619735,0.1887754214060563
8,2362,0,33.37875604,117.0585212,26.7440401,8,Back,50.8596982333066,0.5275863028485749,-0.23275865067466225,0.5766488501829494
9,2365,0,34.31025621,117.3690212,30.08704511,9,Back,62.82528608733202,0.2793103958020988,0.09310344827586346,0.29441900292607043
10,2368,0,34.56900626,118.1452714,33.43005013,10,Back,64.18217143923212,0.07758622188905646,0.23275868065966798,0.24534919043976322
11,2371,0,34.46550624,118.5592715,36.77305514,11,Back,61.62908423289206,-0.03103448875562173,0.12413796101948892,0.1279584809944185
12,2374,0,35.29350639,118.5592715,40.11606015,12,Back,75.22650515535241,0.24827590704647498,0.0,0.24827590704647498
13,2377,0,36.01800652,118.8180215,43.45906516,13,Back,87.84286223241287,0.2172414182908554,0.0775862068965536,0.23068041382314455
14,2380,0,36.4837566,119.2320216,46.80207018,14,Back,96.39748955848813,0.1396551964017989,0.12413796101948892,0.18685236752072792
15,2383,0,37.05300671,119.7495217,50.14507519,15,Back,107.9140553509235,0.17068968815592164,0.15517244377811293,0.23068042168948236
16,2386,0,37.62225681,120.2670218,53.4880802,16,Back,120.61432500675403,0.17068968515742278,0.15517244377810865,0.23068041947077
17,2389,0,38.1397569,120.7327719,56.83108521,17,Back,133.17533537152943,0.1551724407796098,0.13965520239880305,0.20876317188276325
18,2392,0,38.29500693,121.0432719,60.17409023,18,Back,137.63966708565448,0.046551733133432596,0.0931034482758592,0.10409282366513993
19,2395,0,38.76075702,121.302022,63.51709524,19,Back,149.56597673935994,0.1396551994002999,0.07758623688155931,0.15975981620225707
20,2398,0,38.91600704,121.8712721,66.86010025,20,Back,155.75051784420506,0.0465517301349316,0.17068968515742278,0.17692380336657818
21,2401,0,39.38175713,122.5957722,70.20310526,21,Back,171.37523285265559,0.1396551994002999,0.21724140929535238,0.258258406701831
22,2404,0,39.74400719,123.4755223,73.54611028,22,Back,186.98477156916599,0.10862070764617719,0.263793133433282,0.2852810462966399
23,2407,0,39.74400719,124.4070225,76.88911529,23,Back,195.30819309666632,0.0,0.27931040479760183,0.27931040479760183
24,2410,0,39.74400719,124.9590226,80.2321203,24,Back,201.0594831873665,0.0,0.16551727136431807,0.16551727136431807
25,2413,0,39.81300721,125.9595228,83.57512531,25,Back,214.84615438422722,0.020689661169416573,0.3000000599700164,0.30071265031807143
26,2416,0,39.81300721,126.5805229,86.91813033,26,Back,223.28741029602753,0.0,0.18620692653673265,0.18620692653673265
27,2419,0,39.50250715,127.7190231,90.26113534,27,Back,232.69991053626768,-0.09310346626686733,0.3413793703148413,0.3538476083110684
28,2422,0,39.57150716,128.4780233,93.60414035,28,Back,247.56851999328825,0.020689658170915576,0.22758626686656327,0.2285247706956248
29,2425,0,39.50250715,129.1680234,96.94714536,29,Back,258.6949806999688,-0.020689658170915576,0.20689658170915148,0.20792849126120483
30,2428,0,39.57150716,130.0995235,100.2901504,30,Back,279.39938550678926,0.020689658170915576,0.27931037481259186,0.2800756102076364
31,2431,0,40.29600729,131.0310237,103.6331554,31,Back,319.2846780888103,0.21724141829085325,0.27931040479759756,0.3538476169896009
32,2434,0,40.74450737,131.6865238,106.9761604,32,Back,347.2912702432915,0.13448278260869634,0.19655175412294207,0.23815585415224072
33,2437,0,41.57250752,132.825024,110.3191654,33,Back,400.3919125207335,0.24827590704647712,0.34137937031484555,0.42211467694965477
34,2440,0,41.91750759,133.7565242,113.6621704,34,Back,436.5362484460944,0.10344829685157347,0.27931040479759756,0.29785206453823526
35,2443,0,42.64200772,135.1365245,117.0051754,35,Back,500.48245442224714,0.2172414182908554,0.4137931934033002,0.46735280113413613
36,2446,0,43.19400782,136.0335246,120.3481805,36,Back,547.3259484325079,0.16551727136431807,0.26896554722638244,0.3158139210273617
37,2449,0,43.78050792,136.9305248,123.6911855,37,Back,597.5676104769798,0.17586209895052324,0.2689655772113967,0.3213564369542695
38,2452,0,43.91850795,137.3100249,127.0341905,38,Back,615.7034576109206,0.04137931934033002,0.11379313343328376,0.12108313377854958
39,2455,0,44.53950806,137.6895249,130.3771955,39,Back,651.1955326722818,0.18620692953523366,0.11379310344827805,0.2182244051414277
40,2458,0,45.33300821,138.207025,133.7202005,40,Back,699.3078360598427,0.2379310794602698,0.15517244377810438,0.2840592999378795
41,2461,0,45.81600829,138.5175251,137.0632055,41,Back,729.3009580587243,0.1448276101949015,0.09310347826087345,0.17217228098343612
42,2464,0,46.29900838,138.9660252,140.4062105,42,Back,765.314366222575,0.1448276131934025,0.13448278860569407,0.1976376937086183
43,2467,0,47.19600854,139.6905253,143.7492155,43,Back,830.1056471698772,0.2689655652173927,0.21724140929535238,0.34574022789565917
44,2470,0,48.0757587,139.9837753,147.0922206,44,Back,878.9410250929934,0.263793151424288,0.08793103448275875,0.2780623914943649
45,2473,0,48.46388377,140.5530254,150.4352256,45,Back,919.3840235924099,0.11637933133433312,0.17068968515742278,0.2065892479800597
46,2476,0,48.74850882,141.0187755,153.7782306,46,Back,951.7245418138814,0.08534484257870927,0.13965520239880305,0.16366831615140212
47,2479,0,49.36950894,141.4069006,157.1212356,47,Back,996.4087019598782,0.18620693253373466,0.11637934032983399,0.21958408999567827
48,2482,0,50.06813406,141.7432757,160.4642406,48,Back,1043.4845957759371,0.2094827946026973,0.10086209895052412,0.23249990158978817
49,2485,0,51.43950931,142.4936508,163.8072456,49,Back,1143.5290113328733,0.41120697151424285,0.2250000299850116,0.4687389325788625
50,2488,0,51.75000937,142.8041508,167.1502506,50,Back,1173.4001288579334,0.09310346626686733,0.0931034482758592,0.1316681719769865
51,2491,0,51.62063434,143.554526,170.4932556,51,Back,1202.5035399966328,-0.038793112443777665,0.2250000599700173,0.22831980325759516
52,2494,0,51.9570094,143.9944011,173.8362607,52,Back,1240.7819948404313,0.10086208695652013,0.13189658170914384,0.16604176839512846
53,2497,0,52.24163446,144.5636512,177.1792657,53,Back,1283.4995624175808,0.08534484557721239,0.17068968515742278,0.19083687087598755
54,2500,0,53.0437596,145.1070263,180.5222707,54,Back,1352.73062738733,0.24051728335832118,0.1629310644677636,0.29050833957507227
55,2503,0,53.48363468,145.3399013,183.8652757,55,Back,1388.1207876569338,0.131896575712144,0.06982758620689866,0.14924006995465794
56,2506,0,53.74238473,145.1329013,187.2082807,56,Back,1391.3987394283954,0.07758622188905433,-0.06206896551724799,0.09935883608114023
57,2509,0,54.6738849,145.4434013,190.5512857,57,Back,1458.7359644976254,0.2793103958020988,0.09310344827586772,0.2944190029260718
58,2512,0,56.07113515,145.9350264,193.8942907,58,Back,1564.7259060150066,0.4189655922038999,0.14741382308845372,0.4441429980178889
59,2515,0,57.85651047,146.6077765,197.2372957,59,Back,1708.9594847788462,0.5353449235382309,0.20172416791604253,0.5720898767497761
60,2518,0,58.47751058,146.9959016,200.5803008,60,Back,1769.2942476679332,0.18620692953523152,0.11637934032983399,0.21958408745295277
61,2521,0,59.6677608,147.3581517,203.9233058,61,Back,1866.5034903874075,0.3568966176911553,0.10862071964018331,0.37305985639644745
62,2524,0,60.52163595,147.3064017,207.2663108,62,Back,1920.703701288889,0.2560345277361299,-0.015517241379309868,0.2565043160905618
63,2527,0,61.37551111,146.9959016,210.6093158,63,Back,1962.0576857843594,0.25603453073463306,-0.09310347826087345,0.2724370360152538
64,2530,0,62.10001124,146.5819015,213.9523208,64,Back,1990.2559072845943,0.2172414182908554,-0.12413796101949318,0.2502080478064197
65,2533,0,62.92801139,146.2455265,217.2953258,65,Back,2031.4920623403082,0.24827590704647712,-0.10086206896550988,0.26798149745039157
66,2536,0,63.67838653,146.1679015,220.6383308,66,Back,2082.321261693519,0.2250000419790092,-0.023275862068969064,0.22620076181483026
