,Track ID,x (micron),y (micron),t (sec),Frame,Group,Classification,Together,squared displacement,dt,vx,vy,speed,diff time autocorrelation
1,21,9.21850082,90.69150807,3.334562814,1,A,P,FALSE,0.04243600824000235,1.0,0.0,-0.061769121439281774,0.061769121439281774,0.0
2,21,9.270000825,90.58850806,6.669125628,2,A,P,FALSE,0.09813326905500543,1.0,0.015442280359820443,-0.030884560719640887,0.034529988612168425,0.0019077121816903696
3,21,9.32150083,90.38250804,10.00368844,3,A,P,FALSE,0.27583405356000024,1.0,0.015442280359819911,-0.06176912143927751,0.06367015302393651,0.002146176204401526
4,21,9.270000825,90.38250804,13.33825126,4,A,P,FALSE,0.26787730201500015,1.0,-0.015442280359819911,0.0,0.015442280359819911,-0.00023846402271127977
5,21,9.270000825,90.22800803,16.67281407,5,A,P,FALSE,0.45088258085500943,1.0,0.0,-0.0463268395802119,0.0463268395802119,-0.0
6,21,9.21850082,90.25375803,20.00737688,6,A,P,FALSE,0.41441413975000635,1.0,-0.015442280359820443,0.007721139430285505,0.01726499397084186,-0.00035769598776328533
7,21,9.295750827,90.22800803,23.3419397,7,A,P,FALSE,0.4541978939215096,1.0,0.023163420389805615,-0.007721139430285505,0.024416388722675025,-0.0004173120258536692
8,21,9.295750827,90.35675804,26.67650251,8,A,P,FALSE,0.2983781801565025,1.0,0.0,0.03860570014992639,0.03860570014992639,-0.0002980799936613757
9,21,9.295750827,90.35675804,30.01106533,9,A,P,FALSE,0.2983781801565025,1.0,0.0,0.0,0.0,0.0
10,21,9.295750827,90.35675804,33.34562814,10,A,P,FALSE,0.2983781801565025,1.0,0.0,0.0,0.0,0.0
11,21,9.55325085,90.76875808,36.68019095,11,A,P,Y,0.12863414766000242,1.0,0.07721140119939988,0.12353824287855929,0.1456821812326291,0.0
12,21,9.347250832,90.76875808,40.01475377,12,A,P,Y,0.033153130665001695,1.0,-0.06176912083957998,0.0,0.06176912083957998,-0.004769280370879022
13,21,8.858000788,90.66575807,43.34931658,13,A,P,Y,0.18366834484200398,1.0,-0.14670166236881568,-0.030884560719640887,0.1499174233790695,0.009061632710226638
14,21,8.626250768,90.04775801,46.6838794,14,A,P,Y,1.0728353225540195,1.0,-0.06949026086956515,-0.18530736431784106,0.1979083515826083,0.015917473333078847
15,21,8.420250749,89.867508,50.01844221,15,A,P,Y,1.6981033612515162,1.0,-0.06176912113943061,-0.054047979010493144,0.08207684424645212,0.014307840878803284
16,21,8.137000724,89.55850797,53.35300503,16,A,P,Y,2.962563779008045,1.0,-0.08493254122938507,-0.09265368215892267,0.12569105527955385,0.010253952696447927
17,21,7.673500683,89.12075793,56.68756784,17,A,P,Y,5.543866554390062,1.0,-0.1389805220389804,-0.1312593823088448,0.19116644828611268,0.023965634006977383
18,21,7.493250667,88.63150789,60.02213065,18,A,P,Y,8.111244996826596,1.0,-0.05404798080959534,-0.1467016611694158,0.15634117058363245,0.026767586016849313
19,21,6.669250594,87.91050782,63.35669347,19,A,P,Y,15.420847327741093,1.0,-0.2470764836581708,-0.2161919250374777,0.3283073822324084,0.045069699581670904
20,21,5.742250511,86.5457577,66.69125628,20,A,P,Y,31.0220476676878,1.0,-0.27796104437781116,-0.40922042578710965,0.4946955620106035,0.15714778905439386
21,21,5.974000532,85.87625764,70.0258191,21,A,P,Y,35.739738200457246,1.0,0.06949026116941526,-0.20074964317840782,0.2124366155672124,0.06283526888934085
22,21,6.257250557,85.72175763,73.36038191,22,A,P,Y,35.557395944307814,1.0,0.08493254122938533,-0.0463268395802119,0.0967456077823274,0.015202080987122996
23,21,6.875250612,85.3612576,76.69494472,23,A,P,Y,36.14089102531728,1.0,0.18530736281859084,-0.10809596101948941,0.21453101291773138,0.02074636947811736
24,21,7.390250658,84.79475755,80.02950754,24,A,P,Y,40.58606280832335,1.0,0.15442280239880057,-0.1698650824587712,0.22956599952829282,0.04697741160361378
25,21,7.75075069,84.61450753,83.36407035,25,A,P,Y,41.63038648107539,1.0,0.10809596161919041,-0.05404798200899627,0.12085495967324746,0.0258733462419169
26,21,8.780750781,84.53725752,86.69863317,26,A,P,Y,40.64441240982989,1.0,0.30884560449775106,-0.023163421289355383,0.3097130147465706,0.03463689878715844
27,21,9.373000834,84.51150752,90.03319598,27,A,P,Y,40.804873534366415,1.0,0.17758622278860592,-0.007721139430285505,0.1777539943810723,0.055025572333076846
28,21,9.476000843,84.56300753,93.36775879,28,A,P,Y,40.19220360648543,1.0,0.030884560419789722,0.015442281859069878,0.03452998901445815,0.005365440416081291
29,21,9.785000871,84.69175754,96.70232161,29,A,P,Y,38.83226219660836,1.0,0.09265368155922034,0.03860570014992639,0.10037482149694431,0.003457728329313597
30,21,9.862250878,85.02650757,100.0368844,30,A,P,Y,34.88306124301522,1.0,0.023163420389805085,0.10037482158920817,0.10301285770825024,0.0060212164414946805
31,21,10.04250089,85.30975759,103.3714472,31,A,P,Y,31.90193176561024,1.0,0.05404797961019494,0.08493253973013404,0.10067134848086046,0.009777024595461098
32,21,10.40300093,85.3870076,106.7060101,32,A,P,Y,31.768656160880234,1.0,0.10809596401799094,0.023163421289355383,0.11054990512346428,0.007809696658132749
33,21,11.30425101,85.15525758,110.0405729,33,A,P,Y,37.32379477468036,1.0,0.27023990404797615,-0.06949026086956728,0.27903136399978384,0.02760221075616636
34,21,11.81925105,84.74325754,113.3751357,34,A,P,Y,44.638701591020364,1.0,0.15442280059970026,-0.12353824287855929,0.19775767696495802,0.050315907541881796
