,Track ID,x (micron),y (micron),t (sec),Frame,Group,Classification,squared displacement,dt,vx,vy,speed
1979,32,30.88283608,87.77317448,650.2397487,195,K,THREE,33.99779896458644,1.0,0.0,-0.041179412293856694,0.041179412293856694
1980,32,31.02016943,87.30967444,653.5743116,196,K,THREE,37.77283551033646,1.0,0.04117941529235343,-0.1389805217391303,0.14495285325477725
1981,32,30.93433609,87.17234109,656.9088744,197,K,THREE,37.58806209555809,1.0,-0.025737133433283554,-0.0411794152923513,0.048560727766195785
1982,32,30.91716942,86.93200774,660.2434372,198,K,THREE,38.81664340548422,1.0,-0.005147427286356271,-0.07206397301349332,0.07224757583585638
1983,32,31.02016943,86.15950767,663.578,199,K,THREE,45.275757403232646,1.0,0.030884560719639822,-0.23163420389805298,0.23368410409424492
1984,33,63.53383899,86.39984102,0.0,0,B,P,0.0,,,,
1985,33,63.60250566,86.26250768,3.334562814,1,B,P,0.023575557844443765,1.0,0.020589706146926217,-0.041179412293852434,0.046039982581272294
1986,33,64.04883903,85.7131743,6.669125628,2,B,P,0.7367362255555443,1.0,0.13383309445277297,-0.16471765517241171,0.21223384060112183
1987,33,64.49517241,85.0608409,10.00368844,3,B,P,2.717083265768887,1.0,0.13383309745127397,-0.19560221889055573,0.23700532907154445
1988,33,65.25050581,84.58017419,13.33825126,4,B,P,6.258132343091196,1.0,0.22648677661169778,-0.14412794902548978,0.26845693447972485
1989,33,65.93717254,83.96217414,16.67281407,5,B,P,11.718231970404542,1.0,0.2058970704647673,-0.18530736131933795,0.2770061764385571
1990,33,66.24617256,83.85917413,20.00737688,6,B,P,13.811741640891233,1.0,0.09265367916041954,-0.030884560719640887,0.0976655535632044
1991,33,66.41783924,83.48150743,23.3419397,7,B,P,16.83412838452241,1.0,0.05147426686656711,-0.11324338830584889,0.12439318769305593
1992,33,66.52083925,83.51584077,26.67650251,8,B,P,17.2396279952401,1.0,0.030884560719636626,0.010294854572714672,0.032555185785344026
1993,33,66.72683927,83.1725074,30.01106533,9,B,P,20.610933082862353,1.0,0.061769121439281774,-0.10294853673163308,0.12005759275683127
1994,33,67.27617265,82.7948407,33.34562814,10,B,P,27.001088529969167,1.0,0.164717655172416,-0.11324338830584889,0.19988989699454102
1995,33,67.65383935,82.27984066,36.68019095,11,B,P,33.948805932800184,1.0,0.11324338830584461,-0.15442280059969704,0.19149534286776296
1996,33,68.37483942,80.97517387,40.01475377,12,B,P,52.86229885154921,1.0,0.21619192503748197,-0.39120443478260836,0.44696740176996386
1997,33,68.5465061,80.94084054,43.34931658,13,B,P,54.92751779631601,1.0,0.05147426686656711,-0.010294851574215806,0.052493657887269604
1998,33,68.5465061,80.94084054,46.6838794,14,B,P,54.92751779631601,1.0,0.0,0.0,0.0
1999,33,68.85550613,79.84217377,50.01844221,15,B,P,71.32314091067822,1.0,0.09265368215891841,-0.3294353133433266,0.34221678873956735
2000,33,69.13017282,79.05250704,53.35300503,16,B,P,85.30226895046512,1.0,0.082358827586208,-0.2367816281859093,0.2506960628485117
2001,33,69.19883949,78.77784034,56.68756784,17,B,P,90.18712503092067,1.0,0.020589706146926217,-0.08235883058470686,0.08489353906215254
2002,33,69.02717281,78.19417363,60.02213065,18,B,P,97.50969377326521,1.0,-0.05147426686656711,-0.17501250674662752,0.18242526597812297
2003,33,69.19883949,77.78217359,63.35669347,19,B,P,106.35642259908298,1.0,0.05147426686656711,-0.12353824287855929,0.13383309606734978
2004,33,68.88983946,77.19850687,66.69125628,20,B,P,113.35129117459638,1.0,-0.09265368215891841,-0.1750125097451264,0.19802546145608105
2005,33,69.02717281,76.3745068,70.0258191,21,B,P,130.68404268065856,1.0,0.0411794152923513,-0.2470764827586197,0.25048459548680924
2006,33,69.13017282,75.58484006,73.36038191,22,B,P,148.2831981016032,1.0,0.030884560719640887,-0.23678163118440818,0.23878734672757324
2007,33,69.47350618,74.41750662,76.69494472,23,B,P,178.85598400138588,1.0,0.10294853373313421,-0.35002501949025705,0.3648505377095628
2008,33,69.64517287,73.69650656,80.02950754,24,B,P,198.72310819545913,1.0,0.05147426986506597,-0.21619192203897883,0.22223534285313293
2009,33,69.61083953,73.55917321,83.36407035,25,B,P,201.81268536993056,1.0,-0.010294854572710411,-0.04117941529235556,0.04244676989469921
2010,33,69.43917285,73.0785065,86.69863317,26,B,P,212.33092139180602,1.0,-0.05147426686656711,-0.1441279490254855,0.15304399968552676
2011,33,69.23317283,72.97550649,90.03319598,27,B,P,212.69516379311938,1.0,-0.061769121439281774,-0.030884560719640887,0.06905997722433685
2012,33,69.23317283,72.97550649,93.36775879,28,B,P,212.69516379311938,1.0,0.0,0.0,0.0
2013,33,69.23317283,72.97550649,96.70232161,29,B,P,212.69516379311938,1.0,0.0,0.0,0.0
2014,33,69.23317283,72.97550649,100.0368844,30,B,P,212.69516379311938,1.0,0.0,0.0,0.0
2015,33,69.23317283,72.97550649,103.3714472,31,B,P,212.69516379311938,1.0,0.0,0.0,0.0
2016,33,69.16450616,72.90683982,106.7060101,32,B,P,213.76549416251714,1.0,-0.020589706146926217,-0.020589706146926217,0.02911824167825974
2017,33,69.02717281,72.59783979,110.0405729,33,B,P,220.67195441087733,1.0,-0.04117941529235556,-0.09265368215892267,0.1013925493388294
2018,33,68.88983946,72.39183978,113.3751357,34,B,P,224.9108397744818,1.0,-0.0411794152923513,-0.06176911844077865,0.07423724292274651
2019,33,68.88983946,72.11717309,116.7096985,35,B,P,232.68134423329084,1.0,0.0,-0.082358827586208,0.082358827586208
2020,33,68.88983946,71.60217304,120.0442613,36,B,P,247.65771868095754,1.0,0.0,-0.15442280359820018,0.15442280359820018
2021,33,68.82117279,71.43050636,123.3788241,37,B,P,252.03687887569987,1.0,-0.020589706146926217,-0.05147426686656711,0.055439481857854155
2022,33,68.68383945,70.84683964,126.7133869,38,B,P,268.418356664282,1.0,-0.041179412293856694,-0.1750125097451264,0.17979188681404784
