1.82459 1.98836 1.64052 2.11896
2.17541 4.01164 4.86648 2.47277
1.95608 5.99339 3.97858 3.18331
1.97381 7.95807 3.45888 4.58061
2.02767 9.88298 1.11382 3.97336
1.96051 12.1163 1.92137 5.48775
1.95152 13.9461 4.96991 3.37579
2 16 5.07756 5.43626
2 18 3.40139 0.99348
1.99228 20.0502 0.177434 2.56139
2 22 4.87369 1.58306
2 24 5.61489 5.15694
2 26 0.709427 5.54609
1.96226 27.9769 2.27322 4.36756
1.96232 29.9813 5.51017 2.08842
4.08841 1.97101 1.20796 2.40159
3.91159 4.02899 1.63315 2.35424
4 6 3.86837 4.26829
4.00043 7.98888 4.07543 5.89901
3.99957 10.0111 5.33076 3.91472
3.90646 11.9532 0.361972 1.64897
4 14 1.88551 4.69278
3.89326 15.9694 1.9035 4.31757
4.15607 17.9945 4.6189 5.36355
4.00772 19.9498 0.172397 3.16174
4 22 1.69985 0.230997
4 24 3.85648 3.14235
4 26 2.51266 5.79402
3.98852 28.0586 3.26072 1.53658
4 0 5.73841 3.21513
6 2 3.3811 5.89094
6.04511 3.96961 0.100204 4.895
5.95123 5.92553 5.89206 4.67852
5.85313 7.9662 3.4465 2.40907
6 10 0.47393 2.88898
6.09354 12.0468 5.78118 5.449
6 14 0.274617 0.636285
6 16 1.78109 1.34968
6 18 3.72902 0.281511
6 20 3.56712 5.41066
6.0106 21.9887 2.68442 5.70683
6 24 5.72044 0.0154526
6.01079 26.0586 2.50763 0.892881
6.01148 27.9414 3.36383 4.48498
6 0 3.06373 1.26439
8.02759 2.07496 0.585619 2.03093
8 4 4.78351 4.08529
8.03794 5.98295 3.8073 5.82645
8.05596 8.0986 5.93128 1.51388
8 10 4.92864 3.91511
7.96453 11.9397 5.78309 1.68589
7.94845 13.9687 4.31809 3.24012
8.03121 16.0144 3.15643 6.2482
7.99677 18.0895 1.99977 1.7561
8 20 5.12006 1.59928
7.99046 21.9576 3.02121 5.36522
8 24 1.66045 0.528896
8 26 6.02682 0.845969
8 28 3.80019 5.07596
8 0 3.98882 6.26529
10 2 0.436215 0.992221
9.99953 3.99827 2.2672 2.47008
9.96632 6.01619 4.18489 2.37626
10.0909 7.9352 0.481534 2.50451
10 10 4.41804 2.97135
10.0355 12.0603 3.34253 0.178656
10 14 6.16989 2.21653
9.97625 15.9525 1.96604 5.4195
10.0646 17.9758 4.77877 0.193375
9.93544 20.0242 4.31971 2.78011
10.036 22.1169 6.10622 1.13767
10.0692 24.0198 3.76901 5.19009
10.0417 25.9814 0.754014 5.442
9.93544 27.9707 1.56381 3.80024
10 0 5.2095 3.45048
12 2 3.53521 4.28959
12 4 4.65595 5.465
12 6 3.09269 0.588997
12.0253 8.0653 1.8063 0.813741
11.9813 10.0764 2.54314 1.80363
12 12 5.04341 0.651137
12 14 2.81541 0.43568
12 16 1.89874 0.558374
12 18 4.00109 0.114747
12 20 1.44081 4.1402
12.0219 21.9947 3.66074 1.21923
11.9813 24.0341 3.62918 1.55024
12 26 1.75804 3.97048
12 28 2.88457 3.983
12.0156 0.0638127 1.59381 1.03513
13.9505 1.98302 4.4386 1.83258
14 4 2.61173 5.32632
14.0144 5.91444 5.05011 5.28685
14 8 0.507416 1.82838
13.9446 9.94043 2.99214 4.6229
14 12 0.858028 2.61848
14 14 1.23122 2.6704
14 16 5.51599 5.77044
14 18 5.57249 5.09856
14 20 5.35022 0.250709
14.0761 22.0267 0.0115419 0.497948
14 24 1.9606 1.49936
14.0118 25.9442 2.10752 0.441911
13.952 28.0495 0.996394 3.56337
14.0079 0.0693815 1.25205 1.5425
16.0563 1.96744 0.049847 5.41303
16.1635 3.90189 4.52022 0.0479071
15.6677 6.08293 4.80012 3.85088
16.1688 8.01517 4.7679 3.876
16 10 2.33425 6.13077
16 12 4.99628 4.41483
16 14 5.10942 0.970329
16 16 0.438157 5.54819
16 18 0.332945 6.28128
16.0649 19.9832 1.28512 3.10017
16.0845 22.0041 4.59014 1.62925
15.8506 24.0127 4.55321 2.53534
15.9529 25.9503 5.72886 2.91318
15.9871 28.0016 3.79715 0.946426
16.0099 29.9869 2.02469 5.41566
18.018 2.00646 1.60485 6.0598
