frame,Area,X,Y,x,y,particle
8,2.185,31.277,41.922,31.277,41.922,11
8,2.398,6.693,43.332,6.693,43.332,13
8,1.061,48.001,44.809,48.001,44.809,5
8,1.273,24.352,46.276,24.352,46.276,1
8,2.61,33.416,47.505,33.416,47.505,4
8,2.631,6.068,46.271,6.068,46.271,3
8,1.305,11.886,34.627,11.886,34.627,14
8,1.772,2.101,48.087,2.101,48.087,32
8,2.727,13.857,34.018,13.857,34.018,29
8,1.857,38.064,29.547,38.064,29.547,33
8,1.337,16.577,31.018,16.577,31.018,24
8,1.432,5.211,10.162,5.211,10.162,0
8,2.345,38.162,15.759,38.162,15.759,17
8,1.655,29.478,18.893,29.478,18.893,21
8,2.525,24.7,19.348,24.7,19.348,20
8,1.464,7.877,11.358,7.877,11.358,16
8,1.273,18.737,20.526,18.737,20.526,22
8,1.018,16.191,27.884,16.191,27.884,38
8,1.528,37.411,29.054,37.411,29.054,37
8,1.125,15.483,19.495,15.483,19.495,19
9,2.451,7.385,42.987,7.385,42.987,13
9,1.4,11.726,34.841,11.726,34.841,14
9,3.087,19.78,40.84,19.78,40.84,12
9,1.135,28.152,40.942,28.152,40.942,15
9,1.061,48.878,41.789,48.878,41.789,30
9,2.175,31.381,41.943,31.381,41.943,11
9,2.567,6.159,46.218,6.159,46.218,3
9,1.167,24.541,46.159,24.541,46.159,1
9,2.673,33.4,47.508,33.4,47.508,4
9,1.772,2.092,48.288,2.092,48.288,32
9,1.072,48.037,44.735,48.037,44.735,5
9,2.578,13.776,34.084,13.776,34.084,29
9,1.241,16.621,30.825,16.621,30.825,24
9,1.814,38.243,29.396,38.243,29.396,33
9,1.39,5.246,10.146,5.246,10.146,0
9,2.26,38.073,15.723,38.073,15.723,17
9,2.631,24.869,19.26,24.869,19.26,20
9,1.379,7.873,11.344,7.873,11.344,16
9,1.262,15.513,19.535,15.513,19.535,19
9,1.316,18.729,20.532,18.729,20.532,22
9,1.464,16.798,26.581,16.798,26.581,38
9,1.464,37.657,28.828,37.657,28.828,37
9,1.581,29.61,18.856,29.61,18.856,21
10,2.504,7.496,42.919,7.496,42.919,13
10,1.156,28.138,40.939,28.138,40.939,15
10,1.018,48.908,41.777,48.908,41.777,30
10,2.185,31.589,42.015,31.589,42.015,11
10,1.018,48.057,44.604,48.057,44.604,5
10,1.825,2.114,48.337,2.114,48.337,32
10,1.072,24.641,46.137,24.641,46.137,1
10,2.843,33.43,47.43,33.43,47.43,4
10,1.57,20.201,39.539,20.201,39.539,12
