,Track ID,x (micron),y (micron),T (sec),Frame,principal angle,squared displacement,dt,vx,vy,speed
0,8,38.617,15.689,0.0,0.0,0.0,0.0,,,,
1,8,38.411,15.683,3.335,1.0,-3.1124746720827527,0.04247199999999834,1.0,-0.06176911544227765,-0.0017991004497751807,0.06179531037991317
2,8,38.459,15.65,6.669,2.0,-2.899594607567658,0.026484999999998128,1.0,0.014392803598201446,-0.00989505247376296,0.017466106002052173
3,8,38.677,15.661,10.004,3.0,-0.4366271598135332,0.004384000000000299,1.0,0.06536731634182802,0.0032983508245874762,0.0654504787140222
4,8,38.317,15.681,13.338,4.0,-3.1149323052151923,0.0900639999999983,1.0,-0.10794602698650657,0.005997001499250247,0.10811248202290805
5,8,38.285,15.683,16.673,5.0,-3.123522331563568,0.1102600000000005,1.0,-0.009595202398801673,0.0005997001499252378,0.00961392476274855
6,8,38.259,15.691,20.007,6.0,3.1360061195291355,0.12816799999999784,1.0,-0.007796101949024362,0.002398800599700418,0.008156803903288625
7,8,38.064,15.693,23.342,7.0,3.134359506678635,0.305824999999997,1.0,-0.05847076461769124,0.0005997001499247051,0.05847383992220174
8,8,38.004,15.66,26.677,8.0,-3.0943195797556746,0.37660999999999945,1.0,-0.017991004497751806,-0.00989505247376296,0.020532615671088966
9,8,37.855,15.614,30.011,9.0,-3.043483454025523,0.5862690000000006,1.0,-0.044677661169415565,-0.013793103448275675,0.046758348027961145
10,8,37.689,15.604,33.346,10.0,-3.050252692657304,0.8684089999999951,1.0,-0.04977511244377716,-0.002998500749625656,0.0498653469408984
11,8,37.845,15.596,36.68,11.0,-3.021704051420165,0.6046329999999976,1.0,0.046776611694152564,-0.0023988005996998856,0.04683807901593159
12,8,37.749,15.554,40.015,12.0,-2.987298874539059,0.7716489999999913,1.0,-0.028785607196400758,-0.012593703148425731,0.03141993858453812
13,8,37.951,15.573,43.349,13.0,-2.969148385771052,0.4570119999999957,1.0,0.06056971514242824,0.005697151424287895,0.06083706047127989
14,8,38.199,15.601,46.684,14.0,-2.934096427154592,0.18246799999999924,1.0,0.07436281859070391,0.008395802098950666,0.07483527431391351
15,8,37.723,15.589,50.018,15.0,-3.030198874729307,0.809235999999997,1.0,-0.14272863568215866,-0.0035982008995503615,0.14277398395157256
16,8,37.475,15.567,53.353,16.0,-3.035166176404182,1.3190479999999905,1.0,-0.07436281859070391,-0.006596701649175485,0.07465484084372677
17,8,37.081,15.506,56.688,17.0,-3.023010989172616,2.392784999999982,1.0,-0.11814092953523189,-0.018290854572713625,0.11954846127177374
18,8,37.156,15.495,60.022,18.0,-3.009579165450498,2.1721569999999963,1.0,0.022488755622187627,-0.003298350824588009,0.02272934771603743
19,8,36.992,15.478,63.357,19.0,-3.0124689418796566,2.685146,1.0,-0.04917541229385352,-0.005097451274362657,0.04943890354533544
20,8,36.515,15.484,66.691,20.0,-3.0443739373041456,4.460428999999986,1.0,-0.14302848575712046,0.0017991004497751807,0.1430398004067511
21,8,36.448,15.478,70.026,21.0,-3.044617935497671,4.749081999999987,1.0,-0.020089955022488806,-0.0017991004497751807,0.02017035089516304
22,8,36.491,15.469,73.36,22.0,-3.0384789495508477,4.56827599999999,1.0,0.012893553223388084,-0.002698650674662771,0.013172943110337914
23,8,36.372,15.415,76.695,23.0,-3.020144308749135,5.115100999999989,1.0,-0.035682158920539664,-0.016191904047976092,0.03918410675171137
24,8,36.249,15.395,80.03,24.0,-3.018069346136852,5.693859999999976,1.0,-0.03688155922038907,-0.005997001499250247,0.037365939537352406
25,8,36.018,15.369,83.364,25.0,-3.0190849475821477,6.857200999999983,1.0,-0.06926536731634232,-0.007796101949025427,0.06970272817521149
26,8,35.925,15.337,86.699,26.0,-3.011572514970889,7.370768000000002,1.0,-0.0278860569715153,-0.009595202398800608,0.029490677891370116
27,8,35.786,15.269,90.033,27.0,-2.994309477230587,8.190960999999977,1.0,-0.04167916041978884,-0.02038980509745116,0.04639931643042318
28,8,35.791,15.253,93.368,28.0,-2.988517906448589,8.176372000000002,1.0,0.0014992503748112302,-0.004797601199400304,0.00502640318268032
29,8,35.791,15.251,96.702,29.0,-2.98782672013937,8.178120000000003,1.0,0.0,-0.0005997001499252378,0.0005997001499252378
30,8,35.709,15.311,100.037,30.0,-3.0123311761247664,8.599347999999967,1.0,-0.02458770614692463,0.017991004497751272,0.0304668924638799
31,8,35.635,15.292,103.371,31.0,-3.009238819208125,9.049932999999998,1.0,-0.02218890554722794,-0.005697151424287895,0.022908624221787487
32,8,35.26,15.246,106.706,32.0,-3.0103876984148537,11.465697999999996,1.0,-0.11244377811094453,-0.013793103448275675,0.11328659646488706
33,8,35.232,15.246,110.041,33.0,-3.011460736787608,11.654473999999986,1.0,-0.008395802098950134,0.0,0.008395802098950134
34,8,34.926,15.241,113.375,34.0,-3.020807166167298,13.824184999999966,1.0,-0.09175412293852996,-0.001499250374812828,0.09176637089863174
35,8,34.492,15.176,116.71,35.0,-3.017864281465716,17.278794,1.0,-0.1301349325337345,-0.01949025487256357,0.13158636213740815
36,8,34.369,15.027,120.044,36.0,-2.9869980775950773,18.48374799999998,1.0,-0.03688155922038907,-0.044677661169415565,0.05793395220504268
37,8,34.397,14.905,123.379,37.0,-2.9579048806811628,18.423055999999992,1.0,0.008395802098950134,-0.03658170914542725,0.03753279814889067
38,8,34.105,14.802,126.713,38.0,-2.947481084152129,21.144913000000003,1.0,-0.08755622188905596,-0.030884557721139357,0.09284367451321598
39,8,34.067,14.803,130.048,39.0,-2.9492740513037266,21.487495999999975,1.0,-0.011394302848574723,0.0002998500749628852,0.011398247561467215
40,8,33.978,14.816,133.383,40.0,-2.955581012789318,22.282449999999958,1.0,-0.02668665667166376,0.0038980509745127137,0.026969843264489975
41,8,34.037,14.717,136.717,41.0,-2.9324684090566806,21.921183999999982,1.0,0.017691154422787857,-0.029685157421289417,0.03455698939343039
42,8,33.594,14.517,140.052,42.0,-2.912367013816643,26.604112999999963,1.0,-0.13283358320839517,-0.05997001499250407,0.14574348536446768
43,8,33.332,14.488,143.386,43.0,-2.918140587309102,29.373625999999962,1.0,-0.07856071964018005,-0.008695652173913018,0.07904050251050185
44,8,33.092,14.373,146.721,44.0,-2.907759753704779,32.257480999999984,1.0,-0.07196401799100509,-0.03448275862068972,0.07979900079263183
45,8,32.9,14.343,150.055,45.0,-2.9103654982350915,34.49580499999998,1.0,-0.05757121439280365,-0.00899550224887537,0.058269750191430235
46,8,32.461,14.178,153.39,46.0,-2.9008994052087003,40.179456999999985,1.0,-0.13163418290854575,-0.04947526236881534,0.14062489003182757
47,8,32.396,14.185,156.724,47.0,-2.904382516916867,40.96285699999995,1.0,-0.019490254872563038,0.0020989505247375334,0.01960294947967686
48,8,32.367,14.171,160.059,48.0,-2.903326311403937,41.366824,1.0,-0.008695652173914083,-0.004197901049475599,0.009655917354186761
49,8,32.347,14.194,163.394,49.0,-2.907526069088486,41.54792499999995,1.0,-0.005997001499249182,0.00689655172413837,0.0091392807521004
50,8,32.243,14.127,166.728,50.0,-2.901270620267875,43.06771999999994,1.0,-0.03118440779610171,-0.020089955022488806,0.03709546579299406
51,8,32.369,14.174,170.063,51.0,-2.90370633768325,41.33272899999997,1.0,0.03778110944527666,0.014092953523238028,0.04032398256526903
52,8,32.38,14.112,173.397,52.0,-2.893937276780249,41.38709799999994,1.0,0.0032983508245885414,-0.01859070464767598,0.018881033273080824
53,8,32.415,14.117,176.732,53.0,-2.893353956522991,40.93598799999998,1.0,0.010494752623687133,0.001499250374812828,0.010601301067263601
54,8,32.418,14.15,180.066,54.0,-2.898246797061999,40.796121999999976,1.0,0.0008995502248875904,0.00989505247376296,0.009935856986974894
55,8,32.44,14.174,183.401,55.0,-2.9010756929239063,40.450554,1.0,0.0065967016491749525,0.0071964017991001895,0.009762411152083279
56,8,32.374,14.106,186.736,56.0,-2.893262468460933,41.48093799999994,1.0,-0.019790104947524857,-0.02038980509745116,0.02841465125153031
57,8,32.203,13.974,190.07,57.0,-2.8803208139944623,44.08062099999992,1.0,-0.05127436281859052,-0.03958020989505238,0.06477386276723707
58,8,31.84,13.632,193.405,58.0,-2.846903563529459,50.15897799999996,1.0,-0.10884557721139523,-0.10254872563718156,0.14954464486664756
59,8,31.848,13.459,196.739,59.0,-2.823347431599093,50.79226099999998,1.0,0.0023988005996998856,-0.05187406296851575,0.051929496947097975
60,8,31.719,13.339,200.074,60.0,-2.8132461177819192,53.10490399999995,1.0,-0.03868065967016426,-0.03598200899550202,0.05282895421898355
61,8,31.725,13.341,203.408,61.0,-2.813240388291084,53.01276799999995,1.0,0.0017991004497751807,0.0005997001499247051,0.0018964183869075335
62,8,31.618,13.207,206.743,62.0,-2.800806109341451,55.146324999999976,1.0,-0.032083958020990365,-0.040179910044977084,0.05141794952655271
63,8,31.447,13.087,210.077,63.0,-2.79347130604478,58.17930399999997,1.0,-0.05127436281859052,-0.035982008995502544,0.06263996530813921
64,8,31.218,12.985,213.412,64.0,-2.791216532356112,62.05681699999996,1.0,-0.06866566716641655,-0.030584707646177007,0.0751691305604316
65,8,31.052,13.044,216.747,65.0,-2.8052417160631893,64.22524999999996,1.0,-0.04977511244377822,0.017691154422788923,0.0528255502915183
66,8,30.995,13.106,220.081,66.0,-2.8148517677163163,64.76677299999994,1.0,-0.01709145427286315,0.01859070464767598,0.025253358359998247
67,8,31.161,13.202,223.416,67.0,-2.8196409324286145,61.77710499999994,1.0,0.04977511244377822,0.028785607196401827,0.05749933043485207
68,8,31.282,13.217,226.75,68.0,-2.816532882200667,59.91300899999995,1.0,0.03628185907046437,0.004497751124437952,0.03655958236613789
69,8,31.549,13.383,230.085,69.0,-2.8262222763374067,55.27425999999998,1.0,0.08005997001499235,0.04977511244377769,0.0942717381699955
70,8,31.717,13.461,233.419,70.0,-2.8292626160389416,52.573983999999975,1.0,0.050374812593702925,0.023388305847076817,0.055539486802158144
71,8,32.073,13.777,236.754,71.0,-2.8573291710294058,46.479679999999966,1.0,0.10674662668665717,0.09475262368815561,0.14273367509025253
72,8,32.642,14.322,240.089,72.0,-2.91667699642261,37.569313999999935,1.0,0.17061469265367396,0.16341829085457268,0.23625179604637367
73,8,32.941,14.591,243.423,73.0,-2.950506800355856,33.42257999999994,1.0,0.08965517241379295,0.08065967016491758,0.120598641500061
74,8,32.937,14.732,246.758,74.0,-2.9746744201262505,33.178249,1.0,-0.0011994002998515407,0.042278860569715145,0.04229586991838208
75,8,33.286,15.078,250.092,75.0,-3.027477944649628,28.792881999999956,1.0,0.10464767616192017,0.1037481259370315,0.14735945765893774
76,8,33.218,15.267,253.427,76.0,-3.0635886253973377,29.327284999999936,1.0,-0.020389805097450628,0.05667166416791606,0.06022808042328001
77,8,33.304,15.448,256.761,77.0,-3.0962632893198694,28.28604999999995,1.0,0.02578710644677617,0.05427286356821617,0.0600875908885651
78,8,33.386,15.622,260.096,78.0,-3.12878509546628,27.367849999999944,1.0,0.02458770614692676,0.052173913043478105,0.05767731352824986
79,8,33.391,15.778,263.43,79.0,3.1245640662748846,27.31899699999999,1.0,0.0014992503748112302,0.0467766116941531,0.046800631975134184
80,8,33.47,15.778,266.765,80.0,3.124302750491349,26.499529999999982,1.0,0.02368815592203917,0.0,0.02368815592203917
81,8,33.454,15.763,270.1,81.0,3.127260882641563,26.662044999999967,1.0,-0.004797601199399771,-0.004497751124437952,0.006576225547064591
82,8,33.464,15.74,273.434,82.0,3.13169582943145,26.556009999999986,1.0,0.002998500749624591,-0.006896551724137837,0.007520201621579558
83,8,33.425,15.692,276.769,83.0,3.141014841635607,26.956873,1.0,-0.011694152923538674,-0.014392803598200913,0.018544702963797864
84,8,33.419,15.832,280.103,84.0,3.1140890097438447,27.039653000000005,1.0,-0.0017991004497751807,0.04197901049475279,0.04201754496096775
85,8,33.405,15.852,283.438,85.0,3.1103288604597443,27.191512999999958,1.0,-0.004197901049474001,0.005997001499250247,0.007320273232822982
86,8,33.743,16.292,286.772,86.0,3.0185004440770733,24.119484999999955,1.0,0.10134932533733162,0.13193403298350864,0.16636788994762733
87,8,34.284,17.213,290.107,87.0,2.803386929595987,21.09746499999999,1.0,0.1622188905547217,0.2761619190404796,0.32028171034407377
88,8,34.617,17.9,293.442,88.0,2.636640570298157,20.888520999999994,1.0,0.09985007496251827,0.20599700149924965,0.22892095163331463
89,8,34.799,18.3,296.776,89.0,2.541777215034644,21.394444999999987,1.0,0.05457271364317906,0.11994002998500813,0.13177174153506915
90,8,34.9,18.901,300.111,90.0,2.428947944678575,24.13303299999999,1.0,0.03028485757121412,0.18020989505247348,0.18273691163235803
91,8,35.037,19.038,303.445,91.0,2.389520291429528,24.032200999999986,1.0,0.041079460269865205,0.041079460269865205,0.058095129848610094
92,8,35.243,19.313,306.78,92.0,2.32048518352136,24.517251999999957,1.0,0.06176911544227978,0.08245877061469223,0.10302850321055876
93,8,35.655,19.656,310.114,93.0,2.2121563707496423,24.510532999999967,1.0,0.12353823088455743,0.10284857571214392,0.16074676984655964
94,8,36.411,20.411,313.449,94.0,2.007840771450686,27.163719999999994,1.0,0.22668665667166424,0.2263868065967024,0.3203713884135562
95,8,37.166,20.755,316.783,95.0,1.8497476382987368,27.76975699999999,1.0,0.2263868065967003,0.10314842578710574,0.24877818220939282
96,8,38.062,21.398,320.118,96.0,1.6677067245063306,32.900706,1.0,0.26866566716641704,0.19280359820089976,0.3306878712520161
97,8,38.389,21.641,323.453,97.0,1.6090840581258776,35.47828799999998,1.0,0.09805097451274522,0.07286356821589161,0.12216011286852556
98,8,38.756,21.955,326.787,98.0,1.548616753488972,39.28207699999997,1.0,0.11004497751124358,0.0941529235382309,0.14482634458635646
99,8,39.363,22.403,330.122,99.0,1.460139105621001,45.63431199999999,1.0,0.18200899550224867,0.13433283358320852,0.22621358186950571
100,8,39.707,22.548,333.456,100.0,1.4131988740925248,48.23398099999998,1.0,0.10314842578710681,0.04347826086956509,0.11193729008065291
101,8,40.119,23.089,336.791,101.0,1.370543780276457,57.01600399999998,1.0,0.12353823088455743,0.16221889055472274,0.20390356284992014
102,8,40.668,23.158,340.125,102.0,1.3028004620367966,59.99256200000002,1.0,0.16461769115442262,0.020689655172414577,0.16591276645323677
103,8,41.08,23.227,343.46,103.0,1.2549874020435623,62.88781300000001,1.0,0.12353823088455743,0.020689655172413512,0.1252587574632592
104,8,42.041,23.501,346.795,104.0,1.157714564138315,72.75112000000001,1.0,0.28815592203898005,0.08215892053973041,0.29963965630468287
105,8,42.837,23.705,350.129,105.0,1.0862155721094051,82.06465600000001,1.0,0.23868065967016686,0.061169415292352945,0.24639430729583497
106,8,43.758,23.776,353.464,106.0,1.0045313172032142,91.82945000000005,1.0,0.2761619190404796,0.021289355322339283,0.2769813029396772
107,8,44.925,23.295,356.798,107.0,0.8784162923134172,97.64210000000003,1.0,0.3499250374812577,-0.14422788605697096,0.37848278028560584
108,8,45.654,23.257,360.133,108.0,0.8217395681165844,106.79399300000011,1.0,0.21859070464767805,-0.01139430284857579,0.21888747404950673
109,8,46.443,23.143,363.467,109.0,0.7610574218655467,116.80839200000003,1.0,0.2365817091454256,-0.034182908545727364,0.23903844113199935
110,8,47.406,22.921,366.802,110.0,0.6885174641446229,129.548345,1.0,0.2887556221889058,-0.06656671664167955,0.29632910270534646
111,8,48.267,22.62,370.136,111.0,0.6228618766937614,141.16126100000014,1.0,0.2581709145427299,-0.09025487256371766,0.2734925284853728
112,8,48.977,22.403,373.471,112.0,0.5750169041100512,152.40739599999998,1.0,0.21289355322338643,-0.06506746626686725,0.22261500436958148
113,8,49.492,22.197,376.806,113.0,0.5392692822363082,160.619689,1.0,0.15442278860569733,-0.06176911544227871,0.1663184333237944
114,8,49.904,21.991,380.14,114.0,0.5092248339024742,167.11157300000013,1.0,0.12353823088455956,-0.06176911544227871,0.1381199410389691
115,8,49.904,21.991,383.475,115.0,0.5092248339024742,167.11157300000013,1.0,0.0,0.0,0.0
116,8,49.749,21.888,386.809,116.0,0.5080971090625693,162.34902500000013,1.0,-0.046476761619190746,-0.030884557721138826,0.05580273538311037
117,8,49.749,21.888,390.144,117.0,0.5080971090625693,162.34902500000013,1.0,0.0,0.0,0.0
118,8,49.698,21.836,393.478,118.0,0.5064699785982317,160.57417000000004,1.0,-0.015292353823089036,-0.01559220389805192,0.021839709426843833
119,8,49.627,21.714,396.813,119.0,0.5007138834888896,157.52072500000008,1.0,-0.021289355322338218,-0.03658170914542725,0.04232561983056369
120,8,49.595,22.059,400.148,120.0,0.525771899270259,161.09338400000004,1.0,-0.009595202398801673,0.10344827586206969,0.1038923177521266
121,8,49.595,22.059,403.482,121.0,0.525771899270259,161.09338400000004,1.0,0.0,0.0,0.0
122,8,49.801,21.51,406.817,122.0,0.4798936519743197,158.96589700000013,1.0,0.06176911544227978,-0.16461769115442262,0.17582493527237414
123,8,49.952,21.17,410.151,123.0,0.4503984109575403,158.52358600000005,1.0,0.0452773613193392,-0.10194902548725633,0.11155107908865443
124,8,50.214,20.756,413.486,124.0,0.4119263247413381,160.16489800000002,1.0,0.07856071964018005,-0.1241379310344832,0.14690817741672885
125,8,50.352,20.286,416.82,125.0,0.3733603790216772,158.842634,1.0,0.041379310344827024,-0.14092953523238347,0.1468787977395959
126,8,50.419,19.587,420.155,126.0,0.3190027493848292,154.481608,1.0,0.020089955022488806,-0.20959520239880108,0.2105558243350205
127,8,50.191,19.144,423.489,127.0,0.2900928525775406,145.8945010000001,1.0,-0.0683658170914526,-0.13283358320839622,0.1493942628569246
128,8,50.444,18.718,426.824,128.0,0.2507199036590536,149.05277000000012,1.0,0.07586206896551728,-0.1277361319340325,0.14856504605457319
129,8,50.469,18.63,430.159,129.0,0.2432308645530587,149.11938500000008,1.0,0.007496251874062543,-0.02638680659670194,0.027430956135926783
130,8,50.417,18.486,433.493,130.0,0.232738539993688,147.06320900000009,1.0,-0.015592203898050855,-0.043178410794602204,0.04590742838741692
131,8,50.4,18.511,436.828,131.0,0.2350698710480019,146.80277300000003,1.0,-0.005097451274363722,0.007496251874062543,0.00906519727606071
132,8,50.58,18.324,440.162,132.0,0.2168006497929472,150.05659400000005,1.0,0.053973013493253286,-0.05607196401799029,0.07782770287229156
133,8,50.659,18.206,443.497,133.0,0.2060519030065777,151.34505300000004,1.0,0.02368815592203917,-0.035382308845577845,0.042579766441711436
