 ,Label,Area,X,Y,XM,YM
34,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.101,33.013,36.017,33.013,36.017
35,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,4.339,29.491,40.032,29.491,40.032
36,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,4.063,19.598,41.267,19.598,41.267
37,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,8.710,48.601,44.552,48.601,44.552
38,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,3.225,31.809,42.070,31.809,42.070
39,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,9.697,23.528,43.424,23.528,43.424
40,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,3.862,33.474,47.478,33.474,47.478
41,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:3/200 - Series 1,2.514,23.221,47.779,23.221,47.779
42,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,5.421,54.163,14.159,54.163,14.159
43,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,3.130,38.680,15.715,38.680,15.715
44,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,1.867,4.035,18.555,4.035,18.555
45,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,5.082,54.053,21.457,54.053,21.457
46,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.567,52.716,27.215,52.716,27.215
47,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,4.318,29.501,40.031,29.501,40.031
48,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,4.074,19.740,40.916,19.740,40.916
49,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,8.699,48.602,44.555,48.602,44.555
50,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,3.204,31.921,42.096,31.921,42.096
51,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,9.866,22.859,43.670,22.859,43.670
52,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,3.798,33.429,47.438,33.429,47.438
53,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:4/200 - Series 1,2.419,23.448,47.466,23.448,47.466
54,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.833,53.785,12.775,53.785,12.775
55,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,2.472,54.577,16.039,54.577,16.039
56,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,3.172,38.381,15.770,38.381,15.770
57,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,1.888,4.155,18.453,4.155,18.453
58,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,5.421,54.125,21.301,54.125,21.301
59,Video 1_ Twitching motility_PA01WT_2X_13-07-23-1_ 150 frames selection.tif:c:1/2; t:5/200 - Series 1,4.604,17.403,20.076,17.403,20.076
