#Track ID	T (sec)	x (micron)	y (micron)
0	0.000	175.640	112.712
0	3.336	175.536	112.660
0	6.672	175.484	112.712
0	10.008	175.484	112.556
0	13.344	175.433	112.574
0	16.680	175.364	112.470
0	20.016	174.846	112.263
0	23.352	173.225	111.263
0	26.688	172.949	111.090
0	30.024	172.569	110.814
0	33.360	172.121	110.400
0	36.696	171.845	110.366
0	40.031	171.569	110.262
0	43.367	171.362	110.366
0	46.703	171.017	110.435
0	50.039	170.844	110.504
0	53.375	170.223	110.400
0	56.711	170.016	110.400
0	60.047	169.982	110.297
0	63.383	170.292	110.331
0	66.719	170.154	110.228
0	70.055	169.499	109.883
0	73.391	169.326	109.469
0	76.727	168.326	109.262
0	80.063	168.119	109.262
0	83.399	167.498	108.951
0	86.735	166.877	108.020
0	90.071	166.497	107.640
0	93.407	165.462	107.157
0	96.743	165.083	106.778
0	100.079	164.393	105.605
0	103.415	163.979	105.053
0	106.751	162.254	104.570
0	110.087	161.150	103.983
0	113.423	160.529	103.707
0	116.759	160.253	103.707
0	120.094	159.873	103.535
0	123.430	159.873	103.535
0	126.766	159.459	103.500
0	130.102	158.976	103.397
0	133.438	158.010	103.086
0	136.774	156.975	103.155
0	140.110	156.803	103.190
0	143.446	156.665	103.190
0	146.782	156.458	103.224
0	150.118	155.492	103.500
0	153.454	154.767	103.604
0	156.790	154.664	103.569
0	160.126	155.009	103.742
0	163.462	154.560	103.845
0	166.798	154.526	103.845
0	170.134	154.491	103.914
0	173.470	154.836	103.742
0	176.806	154.733	103.776
0	180.142	154.733	103.914
0	183.478	154.733	103.914
0	186.814	154.526	103.811
0	190.150	154.526	103.673
0	193.486	154.560	103.362
0	196.821	154.422	102.776
0	200.157	154.043	102.776
0	203.493	153.525	102.707
0	206.829	154.215	102.224
0	210.165	153.974	102.396
0	213.501	154.146	102.500
0	216.837	153.249	102.327
0	220.173	153.525	102.293
0	223.509	153.077	102.258
0	226.845	152.732	102.224
0	230.181	152.352	102.362
0	233.517	152.387	102.086
0	236.853	152.283	102.086
0	240.189	152.076	102.155
0	243.525	151.973	102.258
0	246.861	152.145	102.465
0	250.197	152.180	102.879
0	253.533	152.180	102.879
0	256.869	151.766	102.741
0	260.205	151.110	102.293
0	263.541	150.420	101.913
0	266.877	150.006	101.913
0	270.213	150.800	102.638
0	273.549	150.662	102.500
0	276.884	150.351	102.638
0	280.220	150.049	102.491
0	283.556	150.127	102.180
0	286.892	150.075	102.232
0	290.228	149.868	102.517
0	293.564	148.859	102.724
0	296.900	148.730	102.698
0	300.236	148.212	102.336
0	303.572	148.238	102.077
0	306.908	147.617	101.741
0	310.244	147.203	101.197
0	313.580	146.090	99.153
0	316.916	145.780	98.506
0	320.252	145.159	98.118
0	323.588	145.159	98.092
0	326.924	145.159	97.885
0	330.260	145.211	97.368
0	333.596	145.211	97.212
0	336.932	144.797	96.591
0	340.268	144.615	96.798
0	343.604	144.512	96.798
0	346.940	145.185	96.359
0	350.276	145.211	96.281
0	353.611	145.288	96.281
0	356.947	145.366	96.100
0	360.283	146.090	96.229
0	363.619	145.883	95.970
0	366.955	145.495	95.893
0	370.291	145.081	95.893
0	373.627	145.004	95.893
0	376.963	144.615	95.789
0	380.299	144.771	95.789
0	383.635	145.185	95.789
0	386.971	145.211	95.660
0	390.307	145.211	95.401
0	393.643	145.521	95.298
0	396.979	146.064	94.987
0	400.315	146.323	94.987
0	403.651	146.064	95.298
0	406.987	145.029	95.841
0	410.323	145.004	95.996
0	413.659	144.564	96.333
0	416.995	144.201	96.488
0	420.331	143.451	96.333
0	423.667	143.348	96.488
0	427.003	143.891	97.005
0	430.339	144.408	97.394
0	433.674	144.176	97.885
0	437.010	144.201	97.937
0	440.346	144.227	98.092
0	443.682	144.201	98.351
0	447.018	143.891	98.868
0	450.354	143.451	98.946
0	453.690	143.166	98.972
0	457.026	143.166	98.377
0	460.362	143.632	97.601
0	463.698	143.813	97.394
0	467.034	143.943	97.419
0	470.370	144.279	97.031
0	473.706	144.848	96.850
0	477.042	145.262	96.384
0	480.378	145.469	96.022
0	483.714	145.909	96.850
0	487.050	145.754	97.290
0	490.386	145.366	97.730
0	493.722	144.486	99.903
0	497.058	144.512	100.007
0	500.394	144.020	100.317
0	503.730	143.373	100.809
0	507.066	143.166	101.094
0	510.401	143.270	101.094
0	513.737	142.752	101.818
