#vx_post  vy_post  v_post
0 0 0
-6.87809 -0.61615 6.90563
1.33752 -10.657 10.7406
0 0 0
0 0 0
0 0 0
-7.9663 -1.21813 8.0589
0 0 0
0 0 0
0 0 0
3.86571 -2.85612 4.80636
-16.3234 -17.4818 23.9179
-7.46492 -3.07305 8.07271
0 0 0
0 0 0
0 0 0
-0.489829 2.05243 2.11007
0 0 0
0 0 0
-2.73611 -0.820692 2.85655
-2.45998 -0.737866 2.56826
11.656 0.60756 11.6718
-6.45988 0.950999 6.52951
0 0 0
0 0 0
-14.1474 -8.58918 16.5506
5.26956 -0.158812 5.27195
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
7.05565 6.60451 9.66446
0 0 0
0 0 0
-15.075 -4.98127 15.8767
7.27655 0.166542 7.27846
3.9612 -0.369909 3.97844
0 0 0
-7.11877 -0.645036 7.14793
6.10401 2.2841 6.51736
0 0 0
0 0 0
0 0 0
0 0 0
-10.1822 -7.13407 12.4327
0 0 0
0 0 0
-1.98443 -2.3669 3.08872
-4.38991 -2.05269 4.84612
-2.37661 -5.58891 6.07323
0 0 0
0 0 0
-7.41535 -1.04618 7.48879
-0.940382 0.278027 0.980621
0 0 0
0 0 0
0 0 0
0.165114 11.4707 11.4719
0 0 0
9.05604 4.44246 10.087
0 0 0
-9.34414 -10.9436 14.3901
0 0 0
4.89873 -7.55304 9.00255
5.93377 -3.00873 6.65297
-11.2039 -0.804277 11.2327
7.46046 1.37904 7.58684
-0.99719 -0.637895 1.18376
-1.26609 -0.578753 1.3921
0.793453 -3.64082 3.72627
4.86016 0.183345 4.86362
-7.24733 12.0963 14.1012
0 0 0
0 0 0
0.713428 6.02413 6.06623
0 0 0
0 0 0
-1.78264 -1.29549 2.20365
-7.80167 -1.278 7.90565
-2.22839 2.77132 3.55611
-4.22173 -9.48001 10.3776
0 0 0
-3.72041 -3.15112 4.87555
-0.987523 1.15915 1.52277
0 0 0
-1.57622 -0.675946 1.71504
-11.9842 -10.4544 15.9033
0.615046 0.30836 0.688017
2.57183 0.261065 2.58505
0 0 0
-2.62953 -9.58995 9.94392
1.66063 2.99971 3.42869
2.22839 -2.77132 3.55611
-0.543911 -0.487997 0.73074
0.543911 0.487997 0.73074
0 0 0
0 0 0
0 0 0
0 0 0
-4.94167 -4.72354 6.83608
-0.427316 1.17329 1.24868
0 0 0
0.290636 8.25894 8.26405
0 0 0
-5.58145 2.08551 5.95835
0 0 0
0.59233 -0.742919 0.950149
-1.96387 -0.701921 2.08554
-0.210489 0.185526 0.280581
0 0 0
8.83688 0.165229 8.83843
0 0 0
0 0 0
-10.4829 -3.46809 11.0417
6.31171 -4.65703 7.84383
12.0911 9.3699 15.2967
0 0 0
-5.20237 7.40544 9.05015
1.54267 -6.89686 7.06728
0 0 0
12.329 6.65643 14.0112
0 0 0
-0.923704 2.87184 3.01674
0 0 0
-5.84552 -12.1141 13.4507
0 0 0
5.88905 -2.6086 6.44094
-2.97184 8.33488 8.84885
-7.50033 -0.167778 7.5022
0 0 0
0 0 0
1.09166 -2.3258 2.56925
0 0 0
1.13921 -5.51598 5.63239
0 0 0
1.34941 -1.44389 1.97629
0 0 0
0 0 0
0 0 0
0 0 0
10.9619 4.80896 11.9704
7.14452 -0.447167 7.1585
-7.14452 0.447167 7.1585
0 0 0
1.90628 0.53223 1.97918
0 0 0
4.81295 3.98097 6.24601
0 0 0
0 0 0
0 0 0
0 0 0
6.19702 2.18869 6.57217
-3.65458 -9.0551 9.76477
6.68253 13.6929 15.2365
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1.42701 -0.804056 1.63795
-1.42701 0.804056 1.63795
0 0 0
-3.86545 8.82278 9.6324
0 0 0
0 0 0
0 0 0
0 0 0
-2.24865 -0.721391 2.36153
-1.79579 -5.04547 5.35552
7.8754 0.492331 7.89077
-4.31986 0.648321 4.36824
0 0 0
-3.66081 -5.02784 6.21938
-2.02473 -0.117899 2.02816
0 0 0
0 0 0
15.4034 14.0346 20.8383
0 0 0
0 0 0
0 0 0
0 0 0
-5.05148 -5.49159 7.46157
1.6823 -10.3626 10.4983
-13.6682 -6.79961 15.2661
-13.1794 -5.63177 14.3323
6.65755 11.1032 12.9462
3.89075 -2.39568 4.56916
0 0 0
-5.42911 -0.492394 5.45139
5.42911 0.492394 5.45139
0 0 0
0 0 0
0 0 0
-1.36327 -3.48495 3.74211
0 0 0
0 0 0
0 0 0
0 0 0
-0.10665 0.683072 0.691347
0 0 0
0 0 0
0 0 0
3.66613 9.08789 9.79951
-1.74331 0.484098 1.80928
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-1.33854 -6.00485 6.15223
0 0 0
0.704283 -7.44264 7.47589
0 0 0
0 0 0
1.23051 -5.59991 5.73352
-11.8352 -6.13559 13.331
5.09429 1.03659 5.19868
-0.885899 -0.570039 1.05345
-0.997239 -0.478788 1.10622
0.407374 -3.01814 3.04551
-2.55946 -10.1203 10.439
-1.96734 2.16782 2.92744
-0.616451 0.59127 0.854174
0 0 0
0.469579 3.8976 3.92579
0.289864 -2.55437 2.57076
0 0 0
-2.35296 -1.1825 2.63339
0 0 0
-1.60615 2.07373 2.62299
0 0 0
-8.51794 -0.513485 8.53341
0.760443 -0.928027 1.19979
-0.760443 0.928027 1.19979
0 0 0
-7.84667 5.78925 9.75119
2.9796 1.29097 3.24725
0 0 0
0 0 0
0 0 0
1.42876 -6.27164 6.43233
0 0 0
1.60615 -2.07373 2.62299
-0.403582 -0.360644 0.541241
0.403582 0.360644 0.541241
0 0 0
0 0 0
0 0 0
-11.7076 -0.237825 11.71
0 0 0
-0.406872 1.14165 1.21199
0 0 0
-4.11213 3.92567 5.68512
0 0 0
0 0 0
0 0 0
0.483858 -0.571561 0.748866
-0.246449 0.361591 0.437591
-0.237409 0.20997 0.316939
0 0 0
0 0 0
2.81243 14.1362 14.4132
0 0 0
0.406872 -1.14165 1.21199
0 0 0
0 0 0
-7.62879 4.7734 8.9991
0 0 0
-1.30059 2.72966 3.02367
0 0 0
0 0 0
0 0 0
-0.74853 0.940136 1.20173
0 0 0
-6.28954 -12.5858 14.0699
0 0 0
-0.383782 -8.96627 8.97448
0 0 0
0 0 0
0 0 0
-0.620419 1.50341 1.6264
1.30059 -2.72966 3.02367
0.794891 3.57315 3.6605
-3.57106 -10.2977 10.8993
0 0 0
0.74853 -0.940136 1.20173
10.5435 4.2533 11.3691
-5.7206 -6.19392 8.43148
-3.83753 -2.56109 4.61366
0.090382 3.69736 3.69847
0 0 0
5.05129 -0.399957 5.0671
-5.05129 0.399957 5.0671
0 0 0
-3.41962 -4.78811 5.88386
0 0 0
0 0 0
0 0 0
0 0 0
-8.42054 -12.1006 14.7421
0 0 0
0 0 0
-5.05471 -10.4693 11.6257
