#vx_post  vy_post  v_post
3.59268 -0.578093 3.63889
-9.65919 -7.617 12.3012
6.93074 2.56678 7.39078
3.00124 3.58113 4.67247
7.76753 9.83248 12.5305
-0.837767 -1.22489 1.48399
-0.364106 3.40012 3.41956
0 0 0
6.60457 13.3604 14.9037
-1.25422 3.97673 4.16983
1.20161 -0.436265 1.27835
4.64479 10.5007 11.4821
0 0 0
0 0 0
-6.80744 2.67839 7.3154
-11.7452 -2.30396 11.9691
-11.4199 -5.45548 12.6561
8.91786 4.47395 9.97719
0 0 0
0 0 0
0.837767 1.22489 1.48399
0 0 0
0 0 0
0 0 0
-7.3304 4.65036 8.68105
1.24442 0.649348 1.40365
0 0 0
0 0 0
0 0 0
0 0 0
2.11576 9.9483 10.1708
7.78481 0.85214 7.83131
0.805213 -5.71383 5.77029
-3.82656 4.52771 5.92813
0 0 0
0 0 0
-8.77439 -3.09424 9.30399
0 0 0
0 0 0
0 0 0
4.60871 5.02143 6.81579
-1.30241 -4.62822 4.80798
0 0 0
-0.340317 0.393063 0.519918
0 0 0
0 0 0
3.40082 1.28685 3.63614
2.97505 11.0019 11.397
2.72864 -1.15138 2.96161
4.99533 -3.31143 5.99324
-2.73148 -2.16087 3.48286
-2.21193 -3.06234 3.77764
-0.0369725 -0.125956 0.13127
-2.12192 2.07292 2.9664
-4.78126 -1.65484 5.05954
4.78126 1.65484 5.05954
0.310702 3.26189 3.27666
-9.03761 3.46348 9.67854
-2.42203 -4.81441 5.38932
10.1121 3.17136 10.5977
-5.4467 13.7019 14.7448
-1.60353 -0.990177 1.88461
-0.793359 2.77317 2.88442
0 0 0
0 0 0
-9.06586 1.36962 9.16874
0 0 0
0 0 0
-0.399969 -1.94789 1.98853
-3.88349 -0.250187 3.89154
0 0 0
0.991709 1.36632 1.68829
3.58699 13.7025 14.1642
0 0 0
0 0 0
0 0 0
0 0 0
0.793359 -2.77317 2.88442
-6.58295 -0.96689 6.65358
4.54658 -9.06735 10.1434
-1.86737 -1.94146 2.69376
1.86737 1.94146 2.69376
0 0 0
2.55886 0.000924147 2.55886
0 0 0
-3.5143 -4.89179 6.02329
-2.46634 -0.597447 2.53767
2.46634 0.597447 2.53767
-1.36653 6.03242 6.18526
-1.745 -1.72569 2.45419
1.745 1.72569 2.45419
-0.456354 -0.4711 0.655892
0 0 0
-1.79041 2.05012 2.72186
0 0 0
-2.75396 5.43664 6.09437
2.80147 -1.23681 3.06234
-3.60387 2.02197 4.13234
1.86578 1.74032 2.55144
-0.373355 -0.257906 0.453772
-3.17109 10.8269 11.2817
-10.8557 1.53181 10.9632
0 0 0
-4.80747 -5.37081 7.20814
-0.895652 -2.23587 2.40859
-3.20717 0.761031 3.29623
0.456354 0.4711 0.655892
5.33396 -5.68796 7.79769
1.49127 -1.70758 2.2671
0 0 0
0.356924 -0.604699 0.702179
0 0 0
-9.11651 -3.40416 9.73135
-0.114017 -0.405348 0.421079
0.373355 0.257906 0.453772
-1.62571 4.01194 4.32881
4.20447 -3.0036 5.16712
-4.45318 3.18127 5.47278
1.39258 -1.18186 1.82649
-0.0189266 6.81853 6.81855
3.68573 -2.26359 4.32532
-2.52842 -0.721242 2.62928
0 0 0
0 0 0
0 0 0
3.49727 -8.72526 9.40006
-3.76108 -1.18372 3.94296
3.76108 1.18372 3.94296
0.114017 0.405348 0.421079
0 0 0
15.9868 0.352256 15.9906
0.248713 -0.177676 0.305658
-5.08811 9.84884 11.0855
5.01663 0.697321 5.06486
0.914579 -4.58266 4.67303
7.33082 8.02107 10.8664
-4.00539 -3.63919 5.41173
0 0 0
0 0 0
-10.1823 -6.52248 12.0923
0.528901 -1.06615 1.19014
-2.44602 4.29409 4.94189
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-3.7187 -2.90987 4.72187
3.81071 -5.0896 6.3581
0.257871 0.00712535 0.257969
-6.95989 3.48832 7.78514
-7.13241 -9.01631 11.4963
0 0 0
2.44602 -4.29409 4.94189
-14.1623 -8.52074 16.528
1.29751 -0.961012 1.61464
-1.29751 0.961012 1.61464
-1.84088 -6.00618 6.28196
0 0 0
4.42731 -3.8297 5.85386
1.61944 -0.786462 1.80031
-1.61944 0.786462 1.80031
-1.05735 -3.69657 3.84481
-0.819523 -0.791413 1.13928
-12.3097 1.01559 12.3515
0 0 0
0 0 0
0.320096 -0.32801 0.458314
-0.320096 0.32801 0.458314
0.407085 -0.447327 0.604831
2.17891 -1.18549 2.48054
-4.34762 1.37322 4.55934
0 0 0
5.41027 5.0927 7.43012
0.392002 0.341046 0.519594
0.00282937 0.155673 0.155699
-0.848608 0.783741 1.15516
-0.0566517 -0.198058 0.206001
1.11255 0.411727 1.18629
-1.58581 -2.49134 2.95323
0 0 0
-2.80438 -2.48023 3.7438
0 0 0
0 0 0
0.50055 2.10863 2.16722
0 0 0
0 0 0
3.46453 8.39525 9.08202
-0.0161445 -0.0608323 0.0629382
-7.213 -11.5051 13.5792
-0.711578 -1.96877 2.09342
7.45576 -7.30109 10.4352
1.114 3.89462 4.05081
-5.48122 -1.16934 5.60456
1.58581 2.49134 2.95323
-2.08256 -2.15064 2.99372
1.35132 0.980318 1.66946
2.19731 -0.366904 2.22773
-2.19731 0.366904 2.22773
-0.485663 -4.7862 4.81078
0.695234 0.723344 1.00328
8.44388 10.4795 13.4581
-0.632062 -0.919712 1.11596
-4.1676 -0.70146 4.22622
4.41769 3.97184 5.94067
0.711578 1.96877 2.09342
2.60474 7.77252 8.19736
1.03701 -0.38214 1.10518
-1.03701 0.38214 1.10518
0 0 0
0 0 0
3.53562 3.65055 5.08204
-10.9263 -1.46673 11.0243
0 0 0
2.10735 2.19256 3.04109
0 0 0
0 0 0
0.632062 0.919712 1.11596
-6.69194 3.99997 7.79627
0 0 0
-11.0332 1.00299 11.0787
-0.711128 -0.369022 0.801174
0.711128 0.369022 0.801174
0 0 0
0 0 0
0 0 0
0 0 0
-0.162784 -0.152437 0.223015
-5.42577 -2.96084 6.18106
1.67302 1.56668 2.29205
-2.88044 3.401 4.45687
0 0 0
-0.164437 -12.7944 12.7954
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-12.7789 -3.67846 13.2977
0 0 0
-0.196148 0.228712 0.301303
-2.87654 8.94998 9.40088
0.0512081 -0.0583345 0.077622
3.86432 1.60493 4.18435
2.24355 10.2687 10.5109
2.88044 -3.401 4.45687
-6.20272 -14.561 15.827
-4.30968 -8.04615 9.12765
2.28098 1.52357 2.74302
5.30766 4.82972 7.17617
-1.70621 1.63044 2.35998
-1.04806 -3.01636 3.19326
3.51396 1.25065 3.72988
0.0969198 2.23252 2.23462
-0.149526 -0.915534 0.927664
0.345674 0.686821 0.768904
2.24618 -1.72249 2.8306
-13.3045 1.78208 13.4233
-0.336828 0.627389 0.712088
-0.771458 4.79103 4.85274
-12.1409 -5.9288 13.5112
0 0 0
0 0 0
0 0 0
0 0 0
-0.209628 -1.27438 1.2915
0 0 0
-0.446366 -0.261451 0.5173
6.6051 -5.7006 8.72492
0 0 0
0 0 0
-4.49275 -0.134336 4.49476
2.199 -2.11703 3.05244
0 0 0
-9.49488 -8.24327 12.5739
-5.25626 -0.785325 5.3146
5.25626 0.785325 5.3146
-1.41266 -1.48546 2.04993
2.15368 -1.90352 2.87432
0 0 0
2.04299 0.0368387 2.04333
0 0 0
-2.17358 -3.26727 3.92422
-1.80179 -0.444116 1.85572
7.79015 1.91157 8.02126
0 0 0
-1.32016 -1.31859 1.86588
-2.87413 0.803149 2.98424
-0.349494 -0.360092 0.501809
-0.983722 10.4072 10.4536
-1.40626 1.59724 2.12808
0 0 0
-2.282 4.37742 4.93653
2.00961 -0.892435 2.19886
-3.54864 -0.557266 3.59213
1.53903 1.4497 2.11429
-7.869 -11.8278 14.2062
2.61994 3.52872 4.39499
-2.36101 10.0251 10.2994
-0.162334 -0.326532 0.364658
-0.951679 1.25467 1.57477
-0.600382 -1.4829 1.59983
-10.2304 5.39904 11.5676
12.3602 -0.353653 12.3652
0.0701369 -0.0796622 0.106138
1.33612 -1.51758 2.02195
0 0 0
0.499022 -1.05126 1.16368
4.46605 2.90757 5.32913
0 0 0
-0.0835246 -0.296197 0.307749
0.28225 0.194526 0.342791
-1.22283 3.09321 3.32615
2.56455 -1.88152 3.18073
-3.32557 2.43986 4.1246
1.11401 -0.928137 1.44999
-0.0749623 4.73764 4.73823
2.91419 -1.83895 3.4459
-0.463224 -3.13092 3.165
0 0 0
0.53197 -0.302105 0.611767
0 0 0
1.03242 -1.92598 2.18525
0.350683 -9.15535 9.16206
5.38288 11.3158 12.5308
5.81538 1.93881 6.13006
0 0 0
1.22283 -3.09321 3.32615
-1.71804 0.14464 1.72412
-3.77737 -0.564201 3.81928
7.21699 -5.25019 8.92466
0.65616 -3.19538 3.26206
-7.49237 -6.78611 10.1088
-5.52683 -5.18965 7.58145
0 0 0
0 0 0
0 0 0
0.750563 -1.40018 1.58866
-1.85911 3.19249 3.69436
0 0 0
0 0 0
0 0 0
0 0 0
-2.74265 0.851546 2.8718
6.54147 2.99841 7.19592
0 0 0
0.0191843 -0.0593518 0.0623752
3.26589 -0.306633 3.28025
3.42037 -5.41284 6.40295
4.8872 -7.43819 8.90008
-6.84232 2.92213 7.44017
0 0 0
0 0 0
-1.1659 -2.06014 2.36717
-9.00852 -3.34458 9.60936
0.977734 -0.72796 1.21897
-0.977734 0.72796 1.21897
-3.81651 2.95806 4.82865
0 0 0
0 0 0
1.20026 -0.587029 1.33613
-1.20026 0.587029 1.33613
-0.903578 -3.01363 3.14617
-16.5393 -11.3172 20.0406
0 0 0
3.49631 12.1925 12.6839
0 0 0
0.243747 -0.250198 0.349302
-0.243747 0.250198 0.349302
0.35064 -0.386474 0.521834
-1.41625 1.56099 2.10771
3.81651 -2.95806 4.82865
0 0 0
-0.792656 -1.00062 1.27654
2.77232 6.83261 7.37362
0.00221009 0.144004 0.144021
0 0 0
-0.0374639 -0.12495 0.130446
-6.43608 6.26399 8.98113
-1.19993 -1.86136 2.21461
0 0 0
-2.1834 -1.95009 2.92747
0.753316 0.589932 0.95682
0 0 0
0.808664 2.17685 2.3222
0 0 0
-13.491 -0.820167 13.5159
0 0 0
-2.55917 -6.58459 7.06443
0 0 0
-0.531067 -1.45441 1.54834
-0.209996 -0.416111 0.466098
0.941042 3.13858 3.27662
-5.27827 -0.954517 5.36388
1.19993 1.86136 2.21461
-7.22532 -10.5369 12.7762
0.958624 0.719988 1.19889
1.60828 -0.274095 1.63147
-1.60828 0.274095 1.63147
-1.97313 -2.02134 2.82472
0.435378 0.446015 0.623285
0 0 0
-4.03309 -8.15166 9.0948
1.04312 4.61366 4.73011
0 0 0
-4.44307 -15.0733 15.7145
0.209996 0.416111 0.466098
0.757577 -0.280704 0.807909
-0.757577 0.280704 0.807909
0 0 0
0 0 0
3.14969 3.1634 4.46404
0 0 0
0 0 0
7.62445 6.42315 9.96941
0 0 0
0 0 0
0.476545 0.690937 0.839338
0 0 0
0 0 0
0 0 0
-6.61285 -9.46184 11.5437
0.529324 0.275461 0.59671
0 0 0
0 0 0
0 0 0
-0.502154 0.610597 0.790561
-0.630167 -0.583022 0.858501
-3.27849 -1.58208 3.64026
1.09357 1.01175 1.48981
-0.438866 -0.0576993 0.442643
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-0.679017 -2.27204 2.37133
12.0096 14.0187 18.4596
-0.198576 0.232052 0.305419
0 0 0
0.163787 -0.185294 0.247305
2.6513 1.33864 2.97008
0 0 0
2.10131 -2.56852 3.31855
4.66225 -3.74644 5.98101
-1.60283 -1.29364 2.05975
1.60283 1.29364 2.05975
-0.380736 -1.24317 1.30017
-7.76578 7.32565 10.6758
-1.96778 -4.41363 4.83242
2.78068 1.00209 2.95573
-0.259218 0.995974 1.02915
-0.117349 -0.702574 0.712307
0.315925 0.470523 0.566745
0.977533 -0.759735 1.23805
-0.315196 -0.478179 0.572716
-0.662337 1.23791 1.40397
-2.90662 1.17624 3.1356
0 0 0
-11.3825 0.655423 11.4013
-1.1944 -2.75451 3.00231
0 0 0
3.40482 3.71023 5.03573
0.119623 -0.103087 0.157914
0 0 0
-0.691377 -0.403865 0.800693
13.5054 1.19673 13.5583
-9.54539 2.26562 9.81058
0 0 0
-5.67192 -1.29676 5.81827
7.39727 3.0843 8.01452
0 0 0
0.260369 -0.866895 0.905152
-3.86592 -0.605573 3.91306
3.86592 0.605573 3.91306
-1.15696 -1.23657 1.69342
3.13294 -0.918451 3.26479
-4.10956 7.1674 8.26197
1.64534 0.0454479 1.64597
0.330677 -4.21992 4.23286
-1.49612 -2.91735 3.27862
-0.824559 -0.205798 0.849853
0.824559 0.205798 0.849853
-6.26074 3.62837 7.23615
11.8666 -0.712363 11.888
1.26377 1.27179 1.79292
4.39434 -2.25627 4.93973
0 0 0
-1.0839 1.22237 1.63372
0 0 0
-1.86239 3.49319 3.95864
1.43807 -0.641033 1.57447
-2.56839 -0.432159 2.60449
1.13032 1.07319 1.55864
0 0 0
6.75954 3.62314 7.66932
0 0 0
-0.111064 -0.229057 0.254564
-0.727987 0.923553 1.17597
-0.399087 -0.97895 1.05717
-0.919079 0.28749 0.962993
0 0 0
-5.0742 -2.51529 5.66341
0.854661 -0.963845 1.28819
-10.7259 -14.9832 18.4266
11.5839 -0.377866 11.59
0 0 0
0 0 0
7.29215 -1.922 7.54119
3.10806 1.61307 3.50172
-11.306 3.46487 11.825
1.30294 0.161574 1.31292
-2.56757 1.91699 3.20426
0.839051 -0.694495 1.08919
-3.59603 2.75064 4.52741
1.54972 -1.52256 2.17251
-3.12287 -1.40317 3.42362
-6.48325 -2.56057 6.97058
0 0 0
-7.55496 4.32971 8.70769
0.884929 -1.61596 1.84239
-1.57404 -0.515139 1.65619
2.50688 9.25482 9.58833
0 0 0
3.41025 -0.11755 3.41227
8.35323 0.0347391 8.3533
1.21727 -0.908832 1.51912
-2.50351 -0.388741 2.53351
2.50351 0.388741 2.53351
12.6818 4.87584 13.5868
0 0 0
1.37959 1.68571 2.17828
-8.74567 -5.09607 10.1221
0 0 0
0 0 0
0.709104 -1.29488 1.47633
-5.39238 -1.09957 5.50335
2.7568 1.843 3.31611
6.73513 5.32491 8.58584
0 0 0
5.38818 0.908016 5.46415
5.25406 8.84789 10.2903
5.76145 2.19808 6.16652
0 0 0
0.0831349 -0.257123 0.270229
-3.45579 -2.76936 4.42852
6.79778 1.58922 6.98108
4.93947 5.73993 7.57266
1.44296 10.2303 10.3316
-3.14266 -6.22205 6.97067
0 0 0
5.02291 5.11028 7.16551
0 0 0
0.737247 -0.551065 0.920438
-0.737247 0.551065 0.920438
0 0 0
0 0 0
0 0 0
0.890032 -0.437573 0.99178
-0.890032 0.437573 0.99178
5.641 -3.02526 6.40102
0 0 0
-0.31275 0.316173 0.444722
0 0 0
3.11582 -0.0107154 3.11584
0.185664 -0.190824 0.266242
-0.185664 0.190824 0.266242
0.0528351 -0.0583934 0.0787486
1.95337 -1.15924 2.27145
-3.58496 2.48285 4.36079
0 0 0
1.82121 1.84525 2.59263
0.287098 -0.46295 0.544745
-0.0174876 0.803486 0.803676
0 0 0
-6.54683 5.3769 8.47184
-7.46353 4.63148 8.78378
5.52216 -7.4449 9.26935
0 0 0
7.25029 3.05289 7.86682
0 0 0
0 0 0
1.16092 -1.28305 1.7303
0 0 0
-12.5024 -0.229378 12.5045
-4.31959 3.23183 5.39477
0 0 0
0 0 0
8.88524 0.239856 8.88848
-0.157644 -0.3119 0.349475
3.87442 -1.7044 4.23274
0 0 0
1.87941 0.996717 2.12736
-1.09784 -1.07896 1.53929
-0.0472529 -0.189229 0.195039
7.83429 14.6412 16.6055
-1.17743 0.203636 1.19491
-0.831087 -0.844277 1.1847
0.232307 0.235993 0.331148
0 0 0
6.80213 2.8906 7.39084
0 0 0
-12.9212 -15.0252 19.817
0.990245 2.6916 2.86798
-0.134918 0.15738 0.207296
-0.768325 6.57738 6.62211
3.86225 11.6722 12.2946
0 0 0
0 0 0
2.80951 2.7612 3.93923
-6.96165 1.55521 7.13325
0 0 0
0.598781 0.608284 0.85355
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0.292563 0.154519 0.330861
-2.13412 -12.4848 12.6659
0 0 0
0 0 0
0 0 0
-5.67506 -4.54196 7.26882
-0.842806 -0.773883 1.14421
-2.02014 -0.789935 2.16909
-5.38386 -1.11908 5.49894
-3.88619 -4.29911 5.79525
0 0 0
0 0 0
3.42567 -0.10824 3.42738
-3.85885 -2.17673 4.43045
0 0 0
0 0 0
0.826079 -1.72877 1.916
-0.530043 -1.74707 1.8257
0 0 0
-8.08085 2.79946 8.55203
0 0 0
0.214124 -0.241217 0.322544
1.90759 1.12442 2.21432
-4.95671 4.18647 6.48811
1.72342 -2.15782 2.76159
-4.23691 -12.6951 13.3834
-1.20732 -0.982478 1.55656
6.64135 3.03265 7.30099
-0.364934 -1.14148 1.1984
-6.84521 6.57674 9.49265
-2.03951 -0.741334 2.17006
