0.000	33.351	47.423
3.335	33.400	47.409
6.669	33.438	47.408
10.004	33.385	47.324
13.338	33.418	47.457
16.673	33.393	47.387
20.007	33.378	47.347
23.342	33.371	47.447
26.677	33.371	47.424
30.011	33.402	47.386
33.346	33.434	47.388
36.680	33.408	47.342
40.015	33.363	47.284
43.349	33.381	47.366
46.684	33.425	47.542
50.018	33.393	47.481
53.353	33.386	47.420
56.688	33.385	47.427
60.022	33.390	47.420
63.357	33.384	47.406
66.691	33.380	47.448
70.026	33.371	47.418
73.360	33.326	47.362
76.695	33.334	47.328
80.030	33.333	47.361
83.364	33.334	47.301
86.699	33.336	47.295
90.033	33.382	47.382
93.368	33.378	47.345
96.702	33.361	47.295
100.037	33.349	47.332
103.371	33.361	47.351
106.706	33.358	47.314
110.041	33.352	47.326
113.375	33.415	47.356
116.710	33.442	47.324
120.044	33.477	47.314
123.379	33.470	47.461
126.713	33.433	47.390
130.048	33.416	47.292
133.383	33.340	46.820
136.717	33.275	46.602
140.052	33.180	46.199
143.386	33.110	45.520
146.721	33.102	45.156
150.055	32.840	44.662
153.390	32.721	44.475
156.724	32.430	44.251
160.059	31.992	43.936
163.394	31.559	43.572
166.728	30.71	42.45
170.063	30.82	42.61
173.397	30.88	42.61
176.732	31.069	42.685
180.066	30.9	42.54
183.401	30.82	42.35
186.736	30.75	42.59
190.070	30.77	42.29
193.405	30.93	41.65
196.739	31.251	40.874
200.074	31.14	39.93
203.408	31.647	39.177
206.743	31.986	38.653
210.077	32.626	37.803
213.412	32.86	37.09
216.747	33.422	36.419
220.081	33.530	36.336
223.416	33.631	36.089
226.750	33.851	35.819
230.085	33.962	35.738
233.419	34.319	35.390
236.754	34.546	35.080
240.089	34.762	34.667
243.423	35.377	33.943
246.758	35.793	33.471
250.092	36.027	33.141
253.427	36.485	32.467
256.761	36.67	31.52
260.096	36.93	31.2
263.430	37.36	30.66
266.765	38.180	29.936
270.100	38.7	29.16
273.434	38.86	28.79
276.769	39.08	28.46
280.103	39.432	27.936
283.438	40.26	27.07
286.772	40.85	26.64
290.107	41.273	26.665
293.442	41.317	26.513
296.776	41.22	26.27
300.111	41.309	26.319
303.445	41.92	26.21
306.780	42.531	26.106
310.114	42.976	26.034
313.449	43.346	25.973
316.783	43.586	25.905
320.118	44.362	25.855
323.453	44.513	25.836
326.787	44.582	25.870
330.122	44.651	25.836
333.456	44.513	25.699
336.791	44.92	25.68
340.125	45.72	25.62
343.460	46.008	25.718
346.795	46.299	25.802
350.129	46.573	25.733
353.464	46.512	25.809
356.798	46.573	25.802
360.133	46.779	25.905
363.467	47.327	25.958
366.802	47.946	26.036
370.136	48.582	26.233
373.471	49.196	26.488
376.806	49.502	26.562
380.140	50.315	26.825
383.475	50.925	27.106
386.809	51.380	27.209
390.144	51.997	27.448
393.478	52.186	27.512
396.813	52.302	27.505
400.148	52.306	27.491
403.482	52.366	27.500
406.817	52.676	27.733
410.151	52.856	28.342
413.486	53.647	28.784
416.820	53.791	28.982
420.155	53.926	29.203
423.489	54.210	29.589
426.824	54.311	29.815
430.159	54.293	29.898
433.493	54.295	29.936
436.828	54.326	30.101
440.162	54.308	30.172
443.497	54.414	30.200
446.831	54.479	30.241
450.166	54.469	30.269
453.501	54.497	30.318
456.835	54.505	30.316
460.170	54.364	30.023
463.504	54.418	30.161
466.839	54.447	30.210
470.173	54.401	30.231
473.508	54.453	30.285
476.842	54.546	30.210
480.177	54.360	29.919
483.512	54.316	30.032
486.846	54.309	30.032
490.181	54.395	30.093
493.515	54.264	29.819
496.850	54.358	29.963
