#vx_post  vy_post  v_post
0 0 0
0 0 0
-6.5416 14.9356 16.3053
0 0 0
-3.86321 -4.15521 5.67363
0 0 0
6.30906 4.53231 7.76827
3.60981 1.225 3.812
1.19075 -1.93369 2.27091
0 0 0
3.52413 -23.6684 23.9293
-3.97452 9.46693 10.2674
1.15885 -0.40528 1.22768
-8.52064 4.2028 9.50078
10.6668 -7.21788 12.8794
-15.431 -3.32725 15.7856
16.3509 5.13199 17.1374
2.40836 0.748794 2.52208
8.51841 9.04082 12.4217
3.97452 -9.46693 10.2674
1.7663 -6.78347 7.00966
-0.155074 -0.53412 0.556176
0.155074 0.53412 0.556176
-10.3469 -1.94779 10.5286
0 0 0
0 0 0
-2.05576 1.79815 2.73121
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
-2.0382 9.55166 9.7667
-0.824123 -0.883506 1.20821
-11.5908 1.71426 11.7169
0 0 0
0 0 0
4.27874 -11.0562 11.8553
0 0 0
0 0 0
0.715613 -9.23004 9.25774
0.824123 0.883506 1.20821
13.6466 -3.51241 14.0913
0 0 0
0 0 0
2.9955 10.7 11.1114
0 0 0
9.51607 -0.868923 9.55566
3.27559 5.44614 6.35531
11.2703 1.80343 11.4136
0 0 0
6.37346 8.01264 10.2383
0 0 0
0 0 0
-11.131 -11.7443 16.1811
-7.13178 5.06391 8.74674
0 0 0
0 0 0
2.86331 -0.278983 2.87687
1.2758 -1.18749 1.74293
0 0 0
8.83094 2.60681 9.20766
-0.11791 -3.22198 3.22414
0 0 0
1.82593 -1.19347 2.18137
1.71753 -1.10652 2.04311
0.677775 -2.71116 2.7946
10.4926 -2.74791 10.8464
3.69093 -1.53914 3.99899
12.7802 3.94223 13.3744
0 0 0
0 0 0
0 0 0
-0.579262 -2.39082 2.45999
0 0 0
-0.705659 -6.72965 6.76654
-3.88791 4.00391 5.58097
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
3.67579 0.241676 3.68373
3.88791 -4.00391 5.58097
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1.24311 -8.80338 8.89072
2.09188 2.21719 3.04826
8.98604 5.16221 10.3633
0 0 0
0 0 0
-1.93229 2.25147 2.96696
