2 2 0.861022 -1.56196
2 4 4.52868 -9.24105
2.10696 5.96913 1.23444 0.873461
1.89304 8.03087 4.76664 2.71415
2 10 0.87588 3.19959
2 12 4.86261 2.17454
2 14 5.29508 2.13096
2 16 0.420746 -0.590245
2.01179 17.9291 0.128777 6.12287
1.9928 0.0367853 0.211365 3.5719
3.93106 2.00943 2.08308 3.44931
4.04969 4.02869 1.81796 0.00855584
4 6 3.89313 1.19725
4 8 4.77936 2.31517
4 10 0.0576342 3.41273
4 12 5.69674 0.173526
4 14 0.261758 2.38095
4 16 5.49136 3.86602
3.929 18.0375 2.06837 2.97609
3.99785 19.9458 0.123566 0.861876
6 2 2.67383 -0.222316
5.98673 3.95327 3.0873 5.93942
6 6 4.28132 5.15212
6.07236 8.0279 1.04624 0.00943013
6 10 4.55555 3.91327
6 12 5.92933 -5.84126
6 14 3.89236 0.893428
6 16 2.193 5.91614
6.04925 17.9826 4.47753 0.183602
6.00935 0.0173696 5.77994 2.15418
8 2 3.00627 2.79884
8.01327 4.04673 5.98334 5.92377
8 6 4.25486 3.64891
8 8 0.0604989 0.553202
8 10 1.71817 6.14439
8 12 2.15563 4.03238
8 14 5.57091 6.09344
8 16 3.78385 1.55942
7.92631 17.9958 3.99368 -3.48759
8 0 1.23468 0.320457
10 2 3.87242 1.07676
9.96845 3.98805 1.56323 0.0909572
10.0278 6.01051 5.09215 1.76117
10.0038 8.00143 4.75442 3.06612
10 10 6.27404 5.92703
10 12 0.0979606 2.44599
10 14 3.16149 -0.871447
9.94149 15.9832 4.60606 2.92026
10 18 2.19871 3.34408
10 0 4.0553 -0.830626
12 2 4.54801 4.21719
12 4 2.36969 5.2014
12 6 6.01488 2.89403
11.9392 7.92 2.0768 1.20681
12.0608 10.08 1.2562 -8.33223
12 12 4.03645 4.17827
11.9551 13.9912 1.71018 6.18155
12.0449 16.0088 4.92872 -2.23917
12 18 3.36999 2.87639
12 0 4.12502 5.89015
13.9846 1.98763 4.41994 1.5232
14.0126 3.98374 5.34405 1.14038
14.0028 6.02863 0.992158 -3.15908
13.9985 7.9663 4.12788 -3.52834
13.9983 9.99635 2.18585 -5.33645
14.0032 12.0373 1.00179 2.34049
13.9786 13.906 6.01242 6.01619
13.9664 15.9944 3.69468 4.93235
14 18 0.981399 2.70705
14 0 0.306744 2.75809
16 2 0.662789 3.751
16 4 5.76467 2.12285
16 6 1.95042 -8.62633
16 8 5.06987 3.4278
16 10 5.12671 1.81909
16 12 0.235634 3.93065
16.0207 14.0924 3.10892 -4.82437
16.0336 16.0056 5.65918 4.12523
16 18 2.51989 2.47998
16 0 4.24034 5.97856
18 2 0.0478156 -1.88384
18 4 5.1074 2.86344
18 6 3.9795 1.85429
18 8 2.22907 5.77365
18 10 5.80872 0.434126
18 12 5.14323 6.2446
18.0007 14.0016 2.71819 1.91564
18 16 6.07263 4.09575
18 18 4.89269 1.70127
18 0 6.04262 2.47921
0 2 4.36552 3.22072
0 4 0.129032 3.11998
19.902 5.98259 4.96207 2.11934
0.0980255 8.01741 4.93697 5.51512
0 10 0.325331 3.82379
0 12 2.70005 3.31725
0 14 2.41661 -2.57401
0 16 2.01583 9.47682
19.9882 18.0709 2.63229 -1.61532
0 0 2.45949 -8.02982
1.99131 1.96982 0.837041 4.22238
2.00218 3.91032 4.55919 4.81621
2.10549 5.96965 1.23374 0.873461
1.89304 8.03087 4.76664 2.71415
2.04571 9.96146 0.852636 3.19959
2.03163 11.7809 4.90437 5.07172
2 14 5.29508 2.13096
2.04886 16.0308 0.437706 3.69681
2.1015 17.9308 0.110765 6.24748
1.96222 0.0398699 0.228656 3.19511
3.85917 2.0174 2.19078 3.44931
4.04969 4.02869 1.81796 0.00855584
3.78519 5.83801 3.85153 3.84684
4.02321 7.91394 4.81126 5.07353
3.97073 10.0114 0.0815213 2.98033
3.9583 12.0437 5.72132 2.36704
4 14 0.261758 2.38095
3.97476 16.0164 5.47642 2.47995
3.89542 18.1878 1.9988 1.90208
4.08749 19.9456 0.102794 6.21678
6 2 2.67383 6.06087
5.98673 3.95327 3.0873 5.93942
6 6 4.28132 5.15212
6.12654 8.09933 1.02584 0.859711
6 10 4.55555 3.91327
6 12 5.92933 0.441927
5.86912 13.8764 3.89417 3.90105
5.95468 16.0775 2.17768 2.05328
6.04925 17.9826 4.47753 0.183602
6.08863 19.9748 5.78164 5.79541
8 2 3.00627 2.79884
8.10176 4.0333 6.00773 6.20694
8 6 4.25486 3.64891
7.91561 7.99165 0.0521983 2.8851
8 10 1.71817 6.14439
8 12 2.15563 4.03238
8.12041 13.867 5.53361 5.3781
8 16 3.78385 1.55942
7.96218 18.0399 3.98859 0.631035
8 0 1.23468 0.320457
10 2 3.87242 1.07676
9.96237 3.98561 1.56626 0.0909572
10.0621 5.83097 5.09283 5.03474
10.0297 7.92377 4.75388 4.61235
10.0883 9.98572 6.24934 6.04762
10 12 0.0979606 2.44599
10.0293 13.9905 3.18001 6.13399
9.93383 15.8935 4.60953 4.63761
10.0135 17.973 2.20782 5.2574
10 0 4.0553 5.45256
11.9758 1.91358 4.53023 4.38567
11.7967 4.29446 2.26912 2.08848
12 6 6.01488 2.89403
11.9392 7.92 2.0768 1.20681
12.2045 10.4095 1.20618 1.12169
12 12 4.03645 4.17827
11.9522 14.0809 1.69249 1.54866
12.0449 16.0088 4.92872 4.04401
12.0548 18.009 3.37536 6.19811
11.9644 19.9181 4.15396 4.3913
13.9562 1.92274 4.42553 4.63084
14.0228 3.98057 5.3537 1.14038
13.9968 6.00895 0.968127 4.32631
13.9985 7.9663 4.12788 2.75484
13.9405 10.0012 2.22641 5.10031
13.9868 12.0597 1.02393 3.88555
14.0359 13.8884 6.00879 2.78678
13.9762 16.017 3.67729 0.727892
14.0367 18.0483 0.978043 1.11583
14.0878 0.0190983 0.291544 0.168118
16 2 0.662789 3.751
16.1598 3.92299 5.78193 5.65863
15.9327 6.16689 1.95205 1.98168
16 8 5.06987 3.4278
16.0493 9.85885 5.10862 2.17926
16.089 12.0113 0.217715 0.0720009
16.018 14.0869 3.10611 1.45882
16.198 15.9163 5.68502 5.79685
15.927 18.0527 2.51935 2.51496
15.9242 19.8723 4.2296 4.39243
18.1764 2.01208 0.0578896 0.314421
18 4 5.1074 2.86344
17.9438 5.92983 3.98894 4.06546
17.9641 8.04807 2.22685 5.33123
17.9765 10.0191 5.82017 2.56281
17.9747 12.0544 5.14274 2.00377
18.0607 13.9949 2.69067 5.76584
18 16 6.07263 4.09575
18.0561 17.7361 4.90353 4.90169
18.1783 19.983 6.08712 0.00697308
0.0185629 2.05707 4.36185 1.2397
0 4 0.129032 3.11998
19.902 5.98259 4.96207 2.11934
0.0980255 8.01741 4.93697 5.51512
0.161902 10.0774 0.36174 0.501224
0.0310966 11.9983 2.67849 6.03896
19.9367 14.0638 2.40605 2.32052
0 16 2.01583 3.19363
19.9132 18.1204 2.62008 2.52106
19.8535 0.103782 2.47808 2.47986
2.05755 2.11016 0.906678 1.06963
2.02186 3.93506 4.57832 1.22385
2.13244 6.05624 1.22955 1.21526
1.89304 8.03087 4.76664 2.71415
2.08568 9.92632 0.834761 3.19959
2.02402 11.6692 4.90173 5.08312
