,spot ID,Track ID,x (micron),y (micron),T (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation,distance to nearest AC,smooth avg speed
1,3033,0,120.6810218,99.04951793,3.346568922,1,Before_Contact,0.0535612872600172,-0.0310345127436297,-0.0620689775112477,0.0693952372322934,0.0,23.82890935082357,0.0
2,3037,0,120.7845219,99.15301795,6.693137845,2,Before_Contact,0.01071225414,0.0310345127436297,0.0310344887556259,0.0438894118616049,-0.0028894199658805,23.683205533236027,0.0693952372322934
3,3042,0,120.3705218,99.15301795,10.03970677,3,Before_Contact,0.1821083369400064,-0.1241379610194889,0.0,0.1241379610194889,-0.0038525611332275,23.948726381429918,0.0438894118616049
4,3045,0,120.4740218,99.04951793,13.38627569,4,Before_Contact,0.1392593286600154,0.0310344827586197,-0.0310344887556259,0.043889390658998,-0.0038525574109495,23.96123024438785,0.1241379610194889
5,3048,0,120.3705218,99.25651797,16.73284461,5,Before_Contact,0.1713960828000063,-0.0310344827586197,0.0620689775112477,0.0693952238225862,-0.002889418104741,23.869853508798663,0.043889390658998
6,3051,0,120.2670218,99.25651797,20.07941353,6,Before_Contact,0.2678063535000168,-0.0310344827586239,0.0,0.0310344827586239,0.0009631391200951,23.93711103639928,0.0693952238225862
7,3054,0,120.4740218,99.15301795,23.42598246,7,Before_Contact,0.1071225662400092,0.0620689655172437,-0.0310344887556217,0.0693952157767637,-0.0019262782401905,23.881950120440276,0.0310344827586239
8,3057,0,120.7845219,99.04951793,26.77255138,8,Before_Contact,0.0428490165600062,0.0931034782608691,-0.0310344887556259,0.098139681865162,0.0067419760740322,23.76314873073161,0.0693952157767637
9,3060,0,121.716022,99.15301795,30.1191203,9,Before_Contact,0.8784046904399986,0.2793103748125918,0.0310344887556259,0.2810292244060635,0.0250416279170762,23.10175755331196,0.098139681865162
10,3063,0,122.5440222,99.15301795,33.46568922,10,Before_Contact,3.106553559840087,0.2482759220389821,0.0,0.2482759220389821,0.0693460408416499,22.60459247942362,0.2810292244060635
11,3066,0,122.7510222,98.99776792,36.81225815,11,Before_Contact,3.934075018275066,0.0620689655172394,-0.0465517331334347,0.0775862122938527,0.0154102296437983,22.609699278103506,0.2482759220389821
12,3069,0,123.0097723,99.10126794,40.15882707,12,Before_Contact,4.975841914515132,0.0775862368815593,0.0310344887556217,0.0835629322472844,0.0033709882231295,22.37592386707908,0.0775862122938527
