,spot ID,Track ID,x (micron),y (micron),T (sec),Frame,Classification,squared displacement,vx,vy,speed
0,2705,0,120.7845219,99.25651797,0.0,0,Before_Contact,0.0,,,
1,3033,0,120.6810218,99.04951793,3.346568922,1,Before_Contact,0.05356128726001727,-0.031034512743629714,-0.06206897751124772,0.06939523723229347
2,3037,0,120.7845219,99.15301795,6.693137845,2,Before_Contact,0.010712254140000084,0.031034512743629714,0.03103448875562599,0.04388941186160497
3,3042,0,120.3705218,99.15301795,10.03970677,3,Before_Contact,0.1821083369400064,-0.12413796101948892,0.0,0.12413796101948892
4,3045,0,120.4740218,99.04951793,13.38627569,4,Before_Contact,0.13925932866001542,0.031034482758619735,-0.03103448875562599,0.04388939065899801
5,3048,0,120.3705218,99.25651797,16.73284461,5,Before_Contact,0.17139608280000632,-0.031034482758619735,0.06206897751124772,0.06939522382258624
6,3051,0,120.2670218,99.25651797,20.07941353,6,Before_Contact,0.2678063535000168,-0.031034482758623996,0.0,0.031034482758623996
7,3054,0,120.4740218,99.15301795,23.42598246,7,Before_Contact,0.10712256624000929,0.06206896551724373,-0.03103448875562173,0.06939521577676376
8,3057,0,120.7845219,99.04951793,26.77255138,8,Before_Contact,0.04284901656000622,0.09310347826086918,-0.03103448875562599,0.09813968186516205
9,3060,0,121.716022,99.15301795,30.1191203,9,Before_Contact,0.8784046904399986,0.27931037481259186,0.03103448875562599,0.28102922440606354
10,3063,0,122.5440222,99.15301795,33.46568922,10,Before_Contact,3.106553559840087,0.2482759220389821,0.0,0.2482759220389821
11,3066,0,122.7510222,98.99776792,36.81225815,11,Before_Contact,3.934075018275066,0.06206896551723947,-0.046551733133434726,0.07758621229385275
12,3069,0,123.0097723,99.10126794,40.15882707,12,Before_Contact,4.975841914515132,0.07758623688155931,0.03103448875562173,0.08356293224728442
13,3072,0,122.1300221,99.04951793,43.50539599,13,Before_Contact,1.8532198047600559,-0.2637931634182877,-0.015517244377812996,0.2642491588242207
14,3075,0,121.560772,99.15301795,46.85196491,14,Before_Contact,0.6132764718900079,-0.17068968515742278,0.03103448875562599,0.17348806331117766
15,3078,0,120.9915219,99.10126794,50.19853383,15,Before_Contact,0.06695157181499975,-0.17068968515742278,-0.015517244377812996,0.17139356315865797
16,3081,0,120.6810218,99.10126794,53.54510276,16,Before_Contact,0.03481484251501345,-0.09310347826086918,0.0,0.09310347826086918
17,3084,0,120.7845219,99.25651797,56.89167168,17,Before_Contact,0.0,0.031034512743629714,0.046551733133434726,0.05594823356426045
18,3087,0,120.7845219,98.99776792,60.2382406,18,Before_Contact,0.0669515883750042,0.0,-0.07758622188905646,0.07758622188905646
19,3090,0,120.4222718,99.10126794,63.58480952,19,Before_Contact,0.15532770676501031,-0.10862071964017905,0.03103448875562173,0.11296725289867499
20,3093,0,120.3705218,98.8942679,66.93137845,20,Before_Contact,0.3026211960150125,-0.015517241379309868,-0.06206897751124346,0.06397923686099274
21,3096,0,120.3187718,99.04951793,70.27794737,21,Before_Contact,0.2597721722100238,-0.015517241379314128,0.046551733133430466,0.04906983429511482
22,3099,0,120.3705218,99.04951793,73.62451629,22,Before_Contact,0.21424509936001254,0.015517241379314128,0.0,0.015517241379314128
23,3102,0,120.3705218,99.04951793,76.97108521,23,Before_Contact,0.21424509936001254,0.0,0.0,0.0
24,3105,0,120.3705218,98.99776792,80.31765414,24,Before_Contact,0.23834767117501052,0.0,-0.015517244377808735,0.015517244377808735
25,3108,0,120.3187718,99.10126794,83.66422306,25,Before_Contact,0.24102572746502,-0.015517241379314128,0.03103448875562173,0.03469761191129312
26,3111,0,120.4740218,99.04951793,87.01079198,26,Before_Contact,0.13925932866001542,0.04655172413793386,-0.015517244377812996,0.049069826709446034
27,3121,0,120.8190219,99.04951793,90.3573609,27,Before_Contact,0.04403926656000582,0.10344830584707435,0.0,0.10344830584707435
28,3124,0,121.2330219,99.01501792,93.70392982,28,Before_Contact,0.25947452414999816,0.1241379310344832,-0.010344830584704026,0.12456822002962206
29,3127,0,122.4750222,99.15301795,97.05049875,29,Before_Contact,2.868503518440078,0.372413883058471,0.04137931934033002,0.3747056823211486
30,3130,0,122.9925223,98.98051792,100.3970677,30,Before_Contact,4.95144179400018,0.15517244377811293,-0.051724146926539434,0.16356611716168437
31,3133,0,123.5790224,98.98051792,103.7436366,31,Before_Contact,7.885409072100246,0.17586209895052324,0.0,0.17586209895052324
32,3136,0,124.5795225,99.11851794,107.0902055,32,Before_Contact,14.42107356228032,0.3000000299850064,0.04137931634183115,0.302840330557081
33,3139,0,124.8555226,99.04951793,110.4367744,33,Before_Contact,16.615895715960487,0.08275865067466402,-0.020689658170917707,0.08530566345044442
34,3142,0,124.8555226,99.11851794,113.7833434,34,Before_Contact,16.592090707680484,0.0,0.020689658170917707,0.020689658170917707
35,3145,0,124.6485226,98.94601791,117.1299123,35,Before_Contact,15.026911696860541,-0.06206896551723947,-0.051724146926539434,0.0807956920612634
36,3148,0,125.1315226,98.94601791,120.4764812,36,Before_Contact,18.99282537306046,0.1448275862068935,0.0,0.1448275862068935
37,3151,0,124.9935226,98.94601791,123.8230501,37,Before_Contact,17.812097179860537,-0.04137931034482489,0.0,0.04137931034482489
38,3154,0,125.0280226,98.98051792,127.169619,38,Before_Contact,18.083474218500484,0.010344827586205158,0.010344830584708286,0.014629797593084711
39,3157,0,125.3730227,99.04951793,130.516188,39,Before_Contact,21.097188608160696,0.1034483058470786,0.020689658170913446,0.10549698544441904
40,3160,0,125.3040227,98.8770179,133.8627569,40,Before_Contact,20.569907784330677,-0.020689655172414577,-0.051724146926535174,0.05570860980522866
41,3163,0,125.6835227,99.04951793,137.2093258,41,Before_Contact,24.043057854960608,0.11379310344827379,0.051724146926535174,0.12499703103541035
42,3166,0,126.1665228,99.04951793,140.5558947,42,Before_Contact,29.00878270416075,0.14482761619190349,0.0,0.14482761619190349
43,3169,0,126.5115229,99.01501792,143.9024637,43,Before_Contact,32.856862728151015,0.1034483058470786,-0.010344830584704026,0.10396426069788091
44,3172,0,126.994523,99.01501792,147.2490326,44,Before_Contact,38.622435936151206,0.14482761619190349,0.0,0.14482761619190349
45,3175,0,127.201523,99.08401793,150.5956015,45,Before_Contact,41.207659381201125,0.06206896551723947,0.020689658170913446,0.0654264352965184
46,3178,0,127.4775231,98.9115179,153.9421704,46,Before_Contact,44.91529011150141,0.08275865067466402,-0.051724146926535174,0.09759293845749735
47,3181,0,127.5465231,99.04951793,157.2887393,47,Before_Contact,45.767509245361445,0.020689655172414577,0.04137931934032576,0.04626348344236606
48,3184,0,127.3740231,99.08401793,160.6353083,48,Before_Contact,43.45128232860145,-0.051724137931034316,0.010344827586209419,0.05274847772682224
49,3187,0,127.4775231,99.22201796,163.9818772,49,Before_Contact,44.79745531389141,0.031034482758619735,0.04137931934033002,0.05172414512743614
50,3190,0,127.5120231,99.04951793,167.3284461,50,Before_Contact,45.302121412561334,0.010344827586205158,-0.051724146926539434,0.052748486547639924
51,3193,0,127.5465231,99.22201796,170.675015,51,Before_Contact,45.72585047949144,0.010344827586209419,0.051724146926539434,0.052748486547640756
52,3196,0,127.8915231,99.04951793,174.021584,52,Before_Contact,50.552315073361434,0.10344827586206863,-0.051724146926539434,0.11565869251428053
53,3199,0,128.0985232,99.36001798,177.3681529,53,Before_Contact,53.5053272684715,0.062068995502245185,0.09310346326836633,0.11189644800091632
54,3202,0,128.5470233,99.39451799,180.7147218,54,Before_Contact,60.275471990522036,0.1344827886057026,0.010344830584708286,0.13488007988947961
55,3205,0,128.9265233,99.49801801,184.0612907,55,Before_Contact,66.35050906692216,0.11379310344827805,0.03103448875562173,0.11794918348472498
56,3208,0,128.9610233,99.67051804,187.4078596,56,Before_Contact,67.02657120216185,0.010344827586200898,0.051724146926539434,0.052748486547639084
57,3211,0,129.0300234,99.87751808,190.7544286,57,Before_Contact,68.3739361231223,0.020689685157424555,0.06206897751124346,0.06542645520891836
58,3214,0,129.2025234,99.77401806,194.1009975,58,Before_Contact,71.13055559715207,0.051724137931030055,-0.03103448875562173,0.06032019510106904
59,3218,0,128.9610233,99.67051804,197.4475664,59,Before_Contact,67.02657120216185,-0.0724138230884546,-0.03103448875562173,0.07878388963873777
60,3221,0,128.8230233,99.70501805,200.7941353,60,Before_Contact,64.81865707956176,-0.041379310344829154,0.010344830584708286,0.04265281754397945
61,3224,0,129.3750234,99.80851807,204.1407043,61,Before_Contact,74.1014201319023,0.16551727136432234,0.03103448875562173,0.1684016229500581
62,3227,0,129.2715234,99.87751808,207.4872732,62,Before_Contact,72.41483559762234,-0.031034482758619735,0.020689658170913446,0.03729880796117097
