,spot ID,Track ID,x (micron),y (micron),T (sec),Frame,Classification,squared displacement,vx,vy,speed,diff time autocorrelation
364,4462,1,156.4144033,106.4497693,542.1441654,162,After_Contact,393.8988744341378,0.1629310644677636,-0.0465517241379296,0.1694508624611053,0.018058861293491886
365,4465,1,156.6214033,106.5015193,545.4907343,163,After_Contact,402.2410406327376,0.0620689655172394,0.0155172413793098,0.0639792252250996,0.009390608282065433
366,4468,1,156.8284034,106.6826443,548.8373033,164,After_Contact,410.93649200978894,0.0620689955022537,0.0543103448275888,0.0824752918027598,0.004695305071602317
367,4471,1,157.3717785,106.5015193,552.1838722,165,After_Contact,432.8729563968144,0.1629310644677636,-0.0543103448275888,0.1717444186105916,0.007163353952335425
368,4474,1,157.6305285,106.2686442,555.5304411,166,After_Contact,443.333247090464,0.0775862068965493,-0.0698276161919043,0.1043815859413817,0.016433565191541762
369,4477,1,157.7599036,106.4497693,558.87701,167,After_Contact,449.06876970136494,0.0387931334332846,0.0543103748125945,0.0667422206242579,-0.0007825519309320518
370,4480,1,157.7857786,106.1133942,562.2235789,168,After_Contact,449.7097192918643,0.0077586206896506,-0.1008620989505241,0.1011600672187953,-0.0051768771907161
371,4483,1,157.9151536,106.3203942,565.5701479,169,After_Contact,455.4655461705147,0.0387931034482789,0.0620689655172394,0.0731946811969909,-0.005959425166726896
372,4487,1,158.0704036,106.0875192,568.9167168,170,After_Contact,461.83331044426455,0.0465517241379296,-0.0698275862068944,0.0839223141702799,-0.002528240190249345
373,4490,1,158.1997786,105.9322692,572.2632857,171,After_Contact,467.283391781715,0.0387931034482789,-0.0465517241379338,0.0605967647268661,0.0050564803804995844
374,4493,1,158.1997786,105.8287692,575.6098546,172,After_Contact,467.226259761015,0.0,-0.0310344827586197,0.0310344827586197,0.001444708680142727
375,4496,1,158.3291537,105.7252691,578.9564236,173,After_Contact,472.7999826521409,0.0387931334332846,-0.0310345127436254,0.0496794543328213,0.0009631400506642059
376,4499,1,158.4585287,105.5958941,582.3029925,174,After_Contact,478.42837837464015,0.0387931034482704,-0.0387931034482789,0.0548617330230925,0.0027088311016903567
377,4502,1,158.8725288,105.2853941,585.6495614,175,After_Contact,496.8123925190414,0.1241379610194931,-0.0931034482758592,0.1551724377811111,0.008427468464043445
378,4505,1,159.0536538,104.897269,588.9961303,176,After_Contact,505.3170279582168,0.0543103448275888,-0.1163793403298382,0.1284280514953797,0.017577293361940152
379,4508,1,159.4935289,104.5091439,592.3426992,177,After_Contact,525.9765032559924,0.1318965817091438,-0.1163793403298339,0.1759001396308831,0.020707499689811646
380,4511,1,159.6229039,104.2762689,595.6892682,178,After_Contact,532.4850889983928,0.0387931034482789,-0.0698275862068944,0.0798798890248987,0.013243166158300165
381,4514,1,159.7005289,104.2245189,599.0358371,179,After_Contact,536.2078197180172,0.0232758620689605,-0.0155172413793098,0.0279741047234231,0.0019864744351959997
382,4517,1,159.6746539,104.0692688,602.382406,180,After_Contact,535.4648806979428,-0.0077586206896506,-0.0465517541229395,0.0471938767948607,0.0005417662203382419
383,4520,1,159.9075289,104.1210188,605.7289749,181,After_Contact,546.1166530449168,0.0698275862068901,0.0155172413793098,0.0715309483755419,-0.0012641205604090708
384,4523,1,159.7781539,103.9140188,609.0755439,182,After_Contact,540.7558404729926,-0.0387931034482704,-0.0620689655172437,0.0731946811969899,-0.003671967895362034
385,4526,1,160.036904,103.8363938,612.4221128,183,After_Contact,553.0934581489679,0.077586236881555,-0.0232758620689648,0.0810024068067995,-0.0015651022333654785
386,4529,1,159.959279,103.7070188,615.7686817,184,After_Contact,549.9328974652686,-0.0232758620689605,-0.0387931034482746,0.0452401440117272,-0.0009029436230156478
387,4532,1,160.062779,103.6035188,619.1152506,185,After_Contact,555.1854716674685,0.0310344827586197,-0.0310344827586197,0.043889386418474,0.0004815695600476638
388,4535,1,159.9334039,103.7328938,622.4618195,186,After_Contact,548.6264444013924,-0.0387931334332846,0.0387931034482746,0.0548617542257005,-0.002407848730806933
