spot ID,Track ID,x (micron),y (micron),T (sec),Frame
3374,0,141.9761507,97.31589261,371.4691504,111
3377,0,142.5454008,96.92776754,374.8157193,112
3380,0,142.4419008,96.82426753,378.1622882,113
3383,0,142.2090257,96.61726749,381.5088571,114
3386,0,141.7950257,97.13476758,384.8554261,115
3389,0,142.4677758,97.10889258,388.201995,116
3392,0,142.4936508,97.18651759,391.5485639,117
3395,0,142.9335259,97.29001761,394.8951328,118
3398,0,142.9594009,97.13476758,398.2417018,119
3401,0,143.451026,97.08301757,401.5882707,120
3404,0,143.787401,97.00539256,404.9348396,121
3407,0,144.1496511,96.85014253,408.2814085,122
3410,0,144.2272761,96.87601753,411.6279774,123
3413,0,144.0461511,96.97951755,414.9745464,124
3416,0,143.916776,96.92776754,418.3211153,125
3419,0,144.4342761,96.85014253,421.6676842,126
3422,0,144.7447762,96.92776754,425.0142531,127
3425,0,144.9776512,96.48789246,428.3608221,128
3428,0,145.6504014,96.22914242,431.707391,129
3431,0,145.3916513,96.1256424,435.0539599,130
3434,0,144.7706512,96.07389239,438.4005288,131
3437,0,143.839151,96.38439245,441.7470977,132
3440,0,143.735651,96.53964247,445.0936667,133
3443,0,143.451026,96.6690175,448.4402356,134
3446,0,143.0629009,96.90189254,451.7868045,135
3449,0,142.9076509,96.53964247,455.1333734,136
3452,0,142.1314007,97.00539256,458.4799424,137
3455,0,142.2607757,97.03126756,461.8265113,138
3458,0,141.4069006,97.65226768,465.1730802,139
3461,0,140.7082755,97.98864274,468.5196491,140
3464,0,140.6565255,98.16976777,471.866218,141
3467,0,139.9061503,98.73901787,475.212787,142
3470,0,139.6474003,98.9201429,478.5593559,143
3473,0,139.2851502,99.25651797,481.9059248,144
3476,0,138.5347751,99.72226805,485.2524937,145
3479,0,138.3019,100.2656431,488.5990627,146
3482,0,138.14665,100.5502682,491.9456316,147
3485,0,137.913775,101.1453933,495.2922005,148
3488,0,137.862025,101.1971433,498.6387694,149
3491,0,138.017275,100.8090182,501.9853383,150
3494,0,137.965525,101.1971433,505.3319073,151
3498,0,137.913775,101.1712683,508.6784762,152
3501,0,137.7585249,101.2747683,512.0250451,153
3504,0,137.8102749,100.8348933,515.371614,154
3507,0,137.7067749,100.6278932,518.718183,155
3510,0,137.8879,100.6537682,522.0647519,156
3513,0,137.7843999,101.1195183,525.4113208,157
3516,0,137.5773999,101.7663934,528.7578897,158
3519,0,137.5773999,101.9475185,532.1044586,159
3522,0,137.7585249,101.1453933,535.4510276,160
3526,0,137.6032749,101.4300184,538.7975965,161
3529,0,137.7585249,101.6111434,542.1441654,162
3532,0,137.5773999,102.3873935,545.4907343,163
3535,0,137.4221499,102.3356435,548.8373033,164
3538,0,137.5256499,102.9825186,552.1838722,165
3541,0,137.4221499,103.1118937,555.5304411,166
3544,0,137.4738999,103.4223937,558.87701,167
3547,0,137.4825249,103.7760188,562.2235789,168
3550,0,137.5515249,104.3280189,565.5701479,169
3553,0,137.896525,105.018019,568.9167168,170
3556,0,137.7585249,105.5700191,572.2632857,171
3559,0,138.172525,105.8805192,575.6098546,172
3562,0,138.310525,106.1565192,578.9564236,173
3565,0,138.276025,105.9150192,582.3029925,174
3568,0,138.4830251,106.2255192,585.6495614,175
3571,0,138.138025,106.0875192,588.9961303,176
3574,0,138.241525,106.0875192,592.3426992,177
3578,0,138.4485251,106.1910192,595.6892682,178
3581,0,138.5520251,105.8115192,599.0358371,179
3584,0,138.5175251,105.5010191,602.382406,180
3587,0,138.5520251,105.156019,605.7289749,181
3590,0,138.4830251,105.190519,609.0755439,182
3593,0,138.4140251,105.087019,612.4221128,183
3596,0,138.6900251,105.4320191,615.7686817,184
3599,0,138.9660252,105.6045191,619.1152506,185
3602,0,139.3800252,105.8115192,622.4618195,186
3605,0,139.4490252,106.0875192,625.8083885,187
3608,0,139.3455252,106.0185192,629.1549574,188
3612,0,139.1730252,105.9840192,632.5015263,189
3615,0,139.1385252,105.6390191,635.8480952,190
3618,0,139.2765252,105.6735191,639.1946642,191
3621,0,139.2420252,105.8460192,642.5412331,192
3624,0,139.3110252,105.7770191,645.887802,193
3627,0,139.3800252,105.8115192,649.2343709,194
3630,0,139.5525253,105.8805192,652.5809398,195
3633,0,139.2420252,105.6390191,655.9275088,196
3636,0,138.7590251,105.5010191,659.2740777,197
3639,0,138.5175251,105.156019,662.6206466,198
3642,0,138.000025,104.914519,665.9672155,199
3645,0,137.965525,104.845519,669.3137845,200
3648,0,137.8275249,104.811019,672.6603534,201
3655,1,136.5855247,105.6045191,0,0
3979,1,137.1375248,106.1910192,3.346568922,1
3982,1,137.6032749,106.0875192,6.693137845,2
3985,1,137.8102749,105.8287692,10.03970677,3
3988,1,138.069025,105.3112691,13.38627569,4
3991,1,138.379525,104.949019,16.73284461,5
3994,1,138.7417751,104.845519,20.07941353,6
3997,1,138.8452751,104.793769,23.42598246,7
4000,1,139.2592752,104.6902689,26.77255138,8
4003,1,139.6215253,104.5867689,30.1191203,9
4006,1,139.7250253,104.4832689,33.46568922,10
4009,1,139.7767753,104.4832689,36.81225815,11
4012,1,140.0355253,104.1727689,40.15882707,12
4015,1,140.3977754,103.7587688,43.50539599,13
4018,1,140.2425254,103.6035188,46.85196491,14
4021,1,140.7082755,103.0342686,50.19853383,15
4024,1,141.2775256,102.4132685,53.54510276,16
4027,1,141.6915256,102.1027685,56.89167168,17
4030,1,142.5712758,101.5852684,60.2382406,18
4033,1,143.0370259,101.0677683,63.58480952,19
4036,1,143.502776,100.8090182,66.93137845,20
4039,1,143.761526,100.7572682,70.27794737,21
4042,1,143.9685261,100.9642683,73.62451629,22
4045,1,144.0720261,100.6537682,76.97108521,23
4048,1,144.2272761,100.7055182,80.31765414,24
4051,1,144.4342761,100.8607683,83.66422306,25
4054,1,144.5377762,100.8090182,87.01079198,26
4057,1,144.5895262,100.9125183,90.3573609,27
4060,1,143.9685261,101.3265183,93.70392982,28
4063,1,143.813276,101.4300184,97.05049875,29
4066,1,143.709776,101.5852684,100.3970677,30
4069,1,144.0720261,101.4817684,103.7436366,31
4072,1,143.9685261,101.5335184,107.0902055,32
4075,1,144.4342761,101.6370184,110.4367744,33
4078,1,144.3307761,101.6887684,113.7833434,34
4081,1,144.3825261,101.7922684,117.1299123,35
4084,1,144.5377762,102.1545185,120.4764812,36
4087,1,144.8482762,102.2062685,123.8230501,37
4090,1,144.6930262,102.2062685,127.169619,38
