 ,Label,Area,X,Y,XM,YM
1,,2.939,72.478,63.777,72.438,63.763
2,Video 1_ Twitching motility_PA01WT_2X_13-07-23.tif:c:1/2; t:1/200 - Series 1,2.769,72.737,62.536,72.771,62.546
