,particle,x,y,time step
0,1,4.93042,5.07182,1
1,2,5.02017,5.09794,1
2,3,5.07503,5.06611,1
3,4,4.92216,5.06278,1
4,5,5.08992,4.95625,1
5,6,5.07064,4.92922,1
6,7,4.95288,4.9118,1
7,8,4.91483,5.05241,1
8,9,4.9217,4.9378,1
9,10,5.06332,5.0774,1
10,11,5.04571,5.08894,1
11,12,4.92861,4.92997,1
12,13,4.92704,4.93161,1
13,14,4.91589,4.94591,1
14,15,4.91785,5.05702,1
15,16,4.93691,4.92242,1
16,17,5.06967,4.92826,1
17,18,4.9023,4.97869,1
18,19,5.09883,5.01524,1
19,20,5.03804,5.09248,1
20,21,5.08252,5.05648,1
21,22,4.9002,4.99362,1
22,23,5.00803,5.09968,1
23,24,4.90016,5.00571,1
24,25,5.03809,4.90754,1
25,26,4.93848,4.92116,1
26,27,4.90584,4.96633,1
27,28,5.09848,5.01738,1
28,29,5.03601,4.90671,1
29,30,4.90063,5.01121,1
30,31,5.07902,4.93872,1
31,32,4.96729,4.9055,1
32,33,4.93872,4.92097,1
33,34,4.90956,4.95733,1
34,35,5.01453,4.90106,1
35,36,5.09939,4.98894,1
36,37,4.98938,4.90057,1
37,38,5.02884,5.09575,1
38,39,4.90794,4.96095,1
39,40,4.95229,5.08789,1
40,41,5.03726,4.9072,1
41,42,5.04515,4.91077,1
42,43,5.07044,5.07098,1
43,44,5.07351,4.93221,1
44,45,5.07665,5.06422,1
45,46,4.92163,4.93789,1
46,47,5.08991,4.95623,1
47,48,4.93647,5.07722,1
48,49,4.91473,5.05224,1
49,50,4.96022,4.90825,1
50,51,4.91233,4.9519,1
51,52,5.08842,5.04672,1
52,53,4.97861,4.90231,1
53,54,5.0495,4.91311,1
54,55,5.09986,5.00525,1
55,56,5.01621,4.90132,1
56,57,4.98003,5.09799,1
57,58,5.04506,4.91073,1
58,59,5.09767,4.97854,1
59,60,4.94743,4.91493,1
60,61,5.04654,5.08851,1
61,62,5.06984,5.07157,1
62,63,4.97632,5.09716,1
63,64,5.03744,4.90727,1
64,65,4.91705,4.94414,1
65,66,5.09091,5.04166,1
66,67,5.04808,5.08768,1
67,68,4.90308,5.02463,1
68,69,5.09743,5.02252,1
69,70,4.97145,4.90416,1
70,71,4.97575,4.90298,1
71,72,5.09829,5.01841,1
72,73,5.0703,5.07112,1
73,74,5.00708,5.09975,1
74,75,4.91366,4.94955,1
75,76,5.07188,4.93048,1
76,77,4.9411,5.08082,1
77,78,4.90906,4.9584,1
78,79,5.00926,4.90043,1
79,80,4.96349,5.0931,1
80,81,4.90171,4.98156,1
81,82,4.90789,4.96107,1
82,83,4.94239,4.91827,1
83,84,4.93584,4.9233,1
84,85,4.91096,5.04552,1
85,86,5.06846,4.92711,1
86,87,5.02824,4.90407,1
87,88,5.08673,5.04979,1
88,89,5.05673,4.91765,1
89,90,5.09961,4.99116,1
90,91,5.00995,5.0995,1
91,92,4.90006,4.99659,1
92,93,5.08926,5.04509,1
93,94,5.06221,4.92171,1
94,95,4.93237,4.92633,1
95,96,4.903,4.97567,1
96,97,4.95973,4.90847,1
97,98,5.09707,5.02403,1
98,99,4.94714,5.08489,1
99,100,5.05981,5.08014,1
100,101,4.95717,4.90963,1
101,102,5.01456,5.09893,1
102,103,5.09112,4.95881,1
103,104,5.07522,4.93411,1
104,105,4.96714,4.90555,1
105,106,5.00648,5.09979,1
106,107,4.91483,4.9476,1
107,108,4.95141,5.0874,1
108,109,5.09011,4.95665,1
109,110,4.94202,4.91852,1
110,111,5.06733,4.92606,1
111,112,4.97938,5.09785,1
112,113,5.01735,5.09848,1
113,114,5.0843,5.05379,1
114,115,4.90669,5.03597,1
115,116,4.96992,5.09537,1
116,117,5.09632,4.97313,1
117,118,4.93056,5.07196,1
118,119,5.08924,5.04512,1
119,120,4.99157,4.90036,1
120,121,4.94157,5.08115,1
121,122,5.02889,4.90426,1
122,123,5.09915,5.01299,1
123,124,5.09235,4.96164,1
124,125,4.92347,4.93563,1
125,126,4.94826,4.91443,1
126,127,4.97029,5.09548,1
127,128,4.97615,5.09712,1
128,129,4.91388,5.05082,1
129,130,5.04327,4.90985,1
130,131,4.90013,4.99484,1
131,132,5.09141,5.04054,1
132,133,4.91178,4.95292,1
133,134,5.09888,5.01493,1
134,135,5.00728,5.09973,1
135,136,5.07984,5.06022,1
136,137,4.9027,4.97694,1
137,138,5.08373,5.05468,1
138,139,4.99127,5.09962,1
139,140,5.09191,4.9606,1
140,141,4.90769,5.03845,1
141,142,4.93947,5.0796,1
142,143,4.97988,5.09795,1
143,144,4.90462,5.03006,1
144,145,5.09303,4.96332,1
145,146,5.06366,5.07712,1
146,147,5.06964,5.07176,1
147,148,4.9248,4.93408,1
148,149,4.94267,5.08193,1
149,150,5.08381,5.05456,1
150,151,4.90269,4.97698,1
151,152,5.02706,4.90373,1
152,153,5.03336,5.09427,1
153,154,5.07601,5.06499,1
154,155,5.09938,4.98887,1
155,156,4.9025,4.97777,1
156,157,5.09921,5.01255,1
157,158,4.9412,5.08089,1
158,159,5.05071,5.08619,1
159,160,4.91919,4.9411,1
160,161,5.05286,4.91511,1
161,162,4.93577,5.07665,1
162,163,5.09986,5.00535,1
163,164,4.94737,5.08503,1
164,165,5.06154,5.07883,1
165,166,4.97144,4.90416,1
166,167,4.98565,5.09896,1
167,168,4.90777,5.03865,1
168,169,5.0835,4.94498,1
169,170,5.00251,4.90003,1
170,171,4.96438,5.09344,1
171,172,5.08962,5.04437,1
172,173,5.09993,4.99636,1
173,174,5.09899,4.98579,1
174,175,4.94544,5.08381,1
175,176,5.0984,5.01782,1
176,177,4.9811,5.0982,1
177,178,5.06785,5.07346,1
178,179,4.90655,4.96439,1
179,180,4.91992,4.9401,1
180,181,5.01059,4.90056,1
